Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1992,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,2,20,-4.22,0.75,963.95,0.75,NA,0,NA,0,NA,0,NA,NA,0
1992,2,21,-3.25,1,966.68,1,NA,0,NA,0,NA,0,NA,NA,0
1992,2,22,-3.91,1,972.44,0.875,NA,0,NA,0,NA,0,NA,NA,0
1992,2,23,-6.54,1,968.09,1,NA,0,NA,0,NA,0,NA,NA,0
1992,2,24,-6.79,1,962.41,1,NA,0,NA,0,NA,0,NA,NA,0
1992,2,25,-5.65,1,962.88,0.75,NA,0,NA,0,NA,0,NA,NA,0
1992,2,26,-5.73,1,961.19,0.875,NA,0,NA,0,NA,0,NA,NA,0
1992,2,27,-4.46,1,971.35,0.25,NA,0,NA,0,NA,0,NA,NA,0
1992,2,28,-6.83,0.875,973.1,1,NA,0,NA,0,NA,0,NA,NA,0
1992,2,29,-7.39,0.875,970.94,1,NA,0,NA,0,NA,0,NA,NA,0
