Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1983,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,17,-7.68,0.5,992.08,1,2.36,1,275.62,1,NA,0,0.86,317.8,1
1983,1,18,NA,0.125,989.06,1,1.09,0.875,152.43,0.875,NA,0,0.13,6.13,0.875
1983,1,19,NA,0,992.04,1,1.29,0.875,89.86,0.875,NA,0,0.88,139.38,0.875
1983,1,20,NA,0.125,998.28,1,1.36,1,85.75,1,NA,0,0.8,80.53,1
1983,1,21,-7.43,0.375,999.69,1,1.67,0.875,80.29,0.875,NA,0,1.57,90.48,0.875
1983,1,22,-8.64,0.875,997.99,1,4.54,1,156,1,NA,0,4.11,162.05,1
1983,1,23,-6.05,0.25,996.18,1,1.57,1,211.75,1,NA,0,0.88,235.37,1
1983,1,24,-7.2,0.25,989.38,1,0.68,0.75,23.67,0.75,NA,0,0.6,32.71,0.75
1983,1,25,-7.53,0.375,986.52,1,1.48,0.75,109,0.75,NA,0,0.97,137.18,0.75
1983,1,26,-7.58,0.5,995.71,1,2.06,0.625,230.2,0.625,NA,0,1.58,193.39,0.625
1983,1,27,-9.87,0.375,1003.04,1,1.71,1,100.12,1,NA,0,1.61,89.88,1
1983,1,28,-7.07,0.375,1002.44,1,1.69,1,80.5,1,NA,0,1.5,77.09,1
1983,1,29,-8.18,0.5,1001.04,1,2.56,0.875,153.25,1,NA,0,2.47,161.63,0.875
1983,1,30,-11.07,0.375,1002.06,1,2.62,1,115.75,1,NA,0,2.31,149.04,1
1983,1,31,-11.91,0.875,1002.12,1,2.75,1,108.5,1,NA,0,2.54,107.59,1
1983,2,1,-12.05,1,1011.84,1,3.02,1,161,1,NA,0,2.89,160.18,1
1983,2,2,-15.3,0.25,1013.31,1,1.39,0.875,193.71,0.875,NA,0,0.45,129.9,0.875
1983,2,3,-12.02,0.625,1010.04,1,1.44,0.625,87,0.625,NA,0,0.81,98.87,0.625
1983,2,4,NA,0,1008.92,1,0.79,1,38.25,1,NA,0,0.64,55.42,1
1983,2,5,NA,0,1014.8,1,0.71,1,80.2,0.625,NA,0,0.4,167.73,0.625
1983,2,6,NA,0,1012.62,1,1.27,0.75,99.6,0.625,NA,0,1.65,157.53,0.5
1983,2,7,-12.78,0.5,1015.65,1,2.04,1,120.25,0.5,NA,0,1.78,127.33,0.5
1983,2,8,-12.4,1,1010.35,1,4.59,0.875,152.38,1,NA,0,3.85,161.11,0.875
1983,2,9,-16,0.5,1013.51,1,1.51,0.875,172.88,1,NA,0,1.3,288.89,0.875
1983,2,10,-10.15,0.25,1011.34,1,3.07,1,298.62,1,NA,0,2.77,293.11,1
1983,2,11,NA,0.125,996.24,1,1.55,1,135.5,1,NA,0,1.06,116.3,1
1983,2,12,-16.67,0.375,992.02,1,2.03,0.75,125.83,0.75,NA,0,1.75,85.48,0.75
1983,2,13,-14.07,0.5,1001.32,1,1.85,1,179.5,1,NA,0,0.53,110.2,1
1983,2,14,-13.14,0.625,1002.85,1,2.88,1,61.88,1,NA,0,2.56,60.98,1
1983,2,15,-12.46,1,999.28,1,7.57,0.75,189,0.875,NA,0,7.19,187.51,0.625
