Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2019,2,8,-13.36,1,831,1,11.35,1,105,1,83.38,1,10.42,107.28,1
2019,2,9,-15.59,1,836.5,1,9.5,0.625,120.25,1,72.12,1,6.7,114.52,0.625
2019,2,10,-15.41,1,843.38,1,14.3,0.75,127.38,1,73,1,14.25,127.82,0.75
2019,2,11,-14.86,1,833.25,1,17.85,0.75,135.38,1,73.38,1,17.83,133.86,0.75
2019,2,12,-14.91,1,832,1,15.38,0.75,125.38,1,70.12,1,15.33,124.83,0.75
2019,2,13,-14.74,1,837.88,1,17.45,1,132.62,1,72,1,17.41,132.73,1
2019,2,14,-15.72,1,832.88,1,18.96,1,137.62,1,71.5,1,18.95,137.59,1
2019,2,15,-16.77,0.875,832.62,1,16.88,0.75,125.12,1,72,1,16.56,127.53,0.75
2019,2,16,-8.64,1,838.75,1,27,0.5,124,1,87,1,26.98,118.94,0.5
2019,2,17,-7.66,1,844.12,1,22.26,0.875,132.12,1,86.25,1,22.17,132.19,0.875
2019,2,18,-9.91,1,843.38,1,17.79,1,137,1,74.25,1,17.74,137.03,1
2019,2,19,-11.66,0.875,836.75,1,11.59,1,137.62,1,64.12,1,11.56,137.7,1
2019,2,20,-15.53,1,836.12,1,11.35,1,125.62,1,64.12,1,11.1,126.14,1
2019,2,21,-14,1,839.75,1,12.19,1,129,1,67.25,1,12.1,129.17,1
2019,2,22,-11.79,0.875,845.75,1,10.27,0.875,133.62,1,68.88,1,10.23,132.12,0.875
2019,2,23,-15.16,0.625,838.12,1,14.79,1,139,1,67.25,1,14.76,139.07,1
2019,2,24,-16.68,0.75,830.38,1,12.75,0.75,132.75,1,64,1,12.73,135.35,0.75
2019,2,25,-19.29,0.875,827.38,1,9.9,0.875,111.88,1,71.25,1,9.69,110.15,0.875
2019,2,26,-16.74,0.875,827.88,1,14.9,0.375,124.5,1,77.62,1,14.86,130.32,0.375
2019,2,27,-12.78,1,830.12,1,15.07,1,121.5,1,80.25,1,14.99,121.51,1
2019,2,28,-15.64,1,832.88,1,16.14,1,122.25,1,72.25,1,15.99,122.5,1
2019,3,1,-15.64,1,831,1,15.44,1,125.62,1,70.12,1,15.36,125.54,1
2019,3,2,-17.88,1,824,1,17.88,0.75,129.12,1,70.62,1,17.81,129.8,0.75
2019,3,3,-19.3,1,824.5,1,14.54,1,125.25,1,67.5,1,14.45,125.59,1
2019,3,4,-20.56,1,833.38,1,10.68,1,134.12,1,67,1,10.6,133.41,1
2019,3,5,-21.03,0.875,840.12,1,11.66,0.875,123.25,1,63.62,1,11.58,122.3,0.875
2019,3,6,-15.39,1,837.25,1,11.84,1,119.75,1,74.25,1,11.79,119.6,1
2019,3,7,-14.46,1,827.88,1,13.25,1,125,1,76,1,13.17,125.02,1
2019,3,8,-16.98,1,828.88,1,10.7,1,120.5,1,67.62,1,10.64,120.6,1
2019,3,9,-19.24,1,827.62,1,12.86,0.875,123.75,1,66.5,1,12.78,122.51,0.875
2019,3,10,-23.79,0.875,826.38,1,11.03,1,131,1,62.12,1,10.98,131.37,1
2019,3,11,-25.57,0.875,822.5,1,11.23,0.75,135.12,1,65.38,1,11.21,134.27,0.75
2019,3,12,-24.74,1,821.75,1,16.84,1,138.38,1,69.5,1,16.83,138.35,1
2019,3,13,-23.9,1,825.25,1,17.88,1,133.25,1,67,1,17.86,133.21,1
2019,3,14,-25.26,1,826.12,1,15.12,1,128.12,1,67.25,1,15.05,127.96,1
2019,3,15,-25.02,1,818.38,1,14.36,1,130,1,67,1,14.32,130.22,1
2019,3,16,-21.94,1,816.25,1,14.28,1,133,1,72.5,1,14.26,132.93,1
2019,3,17,-19.19,0.875,820.12,1,14.17,0.875,120.62,1,78.88,1,13.86,124.56,0.875
2019,3,18,-18.54,1,825.38,1,10.21,1,103.38,1,80.25,1,10.04,103.05,1
2019,3,19,-21.46,1,825.88,1,8.99,1,126.12,1,76.62,1,8.92,126.24,1
2019,3,20,-27.44,0.875,825.12,1,13.29,0.875,137.75,1,69.38,1,13.26,138.65,0.875
2019,3,21,-28.41,1,825.12,1,14.9,1,136.5,1,68.62,1,14.82,136.65,1
2019,3,22,-28.46,1,836,1,11.2,0.5,129.75,1,69,1,11.13,127.7,0.5
2019,3,23,-22.39,0.875,836.12,1,16.82,1,131,1,75.62,1,16.61,131.07,1
2019,3,24,-18.92,1,831.88,1,11.45,1,121.5,1,77.88,1,11.4,121.65,1
2019,3,25,-18.8,1,828.14,0.875,10.36,1,114.25,1,79.75,1,10.19,115.28,1
2019,3,26,-21.51,1,830.62,1,11.76,1,121.75,1,76.38,1,11.74,121.48,1
2019,3,27,-22.91,0.875,832.38,1,9.03,1,119.88,1,73.25,1,8.93,120.43,1
2019,3,28,-18.66,1,821.62,1,9.32,1,102.12,1,77.12,1,8.86,101.93,1
2019,3,29,-20.46,0.875,822,1,10.66,1,103.88,1,77.75,1,10.53,103.88,1
2019,3,30,-17.73,1,822.38,1,12.31,1,110.88,1,80.75,1,12.22,111.15,1
2019,3,31,-21.97,0.75,824.75,1,10.49,0.875,105.75,1,76.12,1,10.04,104.57,0.875
2019,4,1,-27.98,1,820.12,1,9.96,1,118.25,1,63.38,1,9.89,118.15,1
2019,4,2,-26.66,1,816.62,1,12.07,1,85.12,1,75,0.875,11.92,83.66,1
2019,4,3,-25.4,1,822.12,1,12.85,1,71.5,1,76,1,12.79,71.28,1
2019,4,4,-28.98,1,823,1,7.8,0.875,78.25,1,73,1,7.7,78.41,0.875
2019,4,5,-38.52,1,825.06,1,8.86,0.875,155.12,1,64.81,1,8.03,157.91,0.875
2019,4,6,-25.68,0.625,837.12,1,15.6,1,137.75,1,73,1,15.31,136.15,1
2019,4,7,-17.35,1,831.75,1,19.19,1,121.75,1,81.62,1,19.1,121.79,1
2019,4,8,-21.75,1,828.25,1,15.89,1,128.25,1,75.5,1,15.85,128.23,1
2019,4,9,-27.34,1,828.25,1,14.9,1,135.5,1,70.38,1,14.86,135.25,1
2019,4,10,-27.81,1,828.38,1,14.9,1,137.25,1,71.38,1,14.85,137.03,1
2019,4,11,-28.01,1,826.38,1,16.45,1,140.88,1,70.5,1,16.39,140.89,1
2019,4,12,-28.74,1,822.25,1,14.84,1,137.5,1,68.62,1,14.8,137.62,1
2019,4,13,-32.46,1,818.88,1,13.86,1,133.25,1,66,1,13.79,133.61,1
2019,4,14,-30.42,1,826,1,12.77,0.75,132.5,1,70.88,1,12.64,133.83,0.75
2019,4,15,-25.85,1,832.38,1,13.44,0.875,130.5,1,74.25,1,13.41,129.95,0.875
2019,4,16,-29.65,1,831.88,1,15.86,1,137.75,1,71,1,15.81,137.8,1
2019,4,17,-28.86,1,825.88,1,11.35,1,137.12,1,68.38,1,11.29,137.7,1
2019,4,18,-23.49,0.875,833,1,14.64,1,132.75,1,74.5,1,14.58,133.33,1
2019,4,19,-17.62,1,829.75,1,16.42,1,129.88,1,77.12,1,16.28,129.73,1
2019,4,20,-19.35,1,833.75,1,13.27,0.875,132,1,77.5,1,13.22,131.54,0.875
2019,4,21,-24.22,1,830.44,1,14.76,1,133,1,71.62,1,14.72,132.87,1
2019,4,22,-25.6,1,825.88,1,15.69,1,130.12,1,69.75,1,15.65,130.12,1
2019,4,23,-27.91,1,824.25,1,13.64,1,135.5,1,68.25,1,13.62,135.44,1
2019,4,24,-27.09,1,828.88,1,11.34,1,121.25,1,72.38,1,11.22,121.95,1
2019,4,25,-21.96,1,830.75,1,15.12,1,130.62,1,77.12,1,15.08,130.69,1
2019,4,26,-24.89,1,830,1,15.8,1,130.38,1,69.5,1,15.74,130.45,1
2019,4,27,-24.71,1,832.25,1,15.51,1,131.38,1,75.62,1,15.47,131.32,1
2019,4,28,-22.2,1,830,1,18.86,1,133.25,1,76,1,18.84,133.21,1
2019,4,29,-23.3,1,829.38,1,15.61,1,128.25,1,76.62,1,15.59,128.13,1
2019,4,30,-26.32,1,817.88,1,16.94,1,134,1,71.75,1,16.87,134.15,1
2019,5,1,-23.55,1,819.25,1,16.42,1,123.88,1,74.88,1,16.34,124.04,1
2019,5,2,-22.29,1,833,1,10.52,0.625,103.25,1,78.62,1,9.82,104.18,0.625
2019,5,3,-29.55,1,831.12,1,14.64,1,135.38,1,73,1,14.6,135.25,1
2019,5,4,-33.04,1,826.88,1,14.21,1,137.5,1,69.88,1,14.16,137.2,1
2019,5,5,-32.31,1,828.38,1,15.91,1,135.75,1,69.88,1,15.89,135.79,1
2019,5,6,-28.98,1,823.75,1,15.38,1,133.38,1,71.12,1,15.32,133.33,1
2019,5,7,-28.6,1,825.75,1,13.2,1,128.25,1,70.38,1,13.19,128.37,1
2019,5,8,-26.42,1,828.88,1,13.73,0.875,135.5,1,71.75,1,13.69,135.54,0.875
2019,5,9,-29.95,1,818.38,1,16.02,1,131.38,1,70,1,15.97,131.47,1
2019,5,10,-30.23,1,818.75,1,13.29,1,128.19,1,69.06,1,13.28,128.25,1
2019,5,11,-29.78,1,819.88,1,14.21,1,130.44,1,67.81,1,14.16,130.94,1
2019,5,12,-28.3,1,819.5,1,15,1,135.88,1,70.38,1,14.97,135.95,1
2019,5,13,-27.94,1,820.88,1,10.62,1,125.5,1,72.12,1,10.54,126.18,1
2019,5,14,-32.36,0.875,824.75,1,9.3,1,136.75,1,68.12,1,9.17,137.15,1
2019,5,15,-35.86,1,827.75,1,12.84,1,134.75,1,65.12,1,12.82,134.7,1
2019,5,16,-35.14,1,824.62,1,12.94,1,132.75,1,63.12,1,12.9,132.79,1
2019,5,17,-32.77,0.875,824.88,1,10.29,1,123.75,1,67.75,1,10.13,124.42,1
2019,5,18,-28.2,1,826.25,1,12.01,1,126.88,1,73.5,1,11.97,127.06,1
2019,5,19,-30.88,1,827.25,1,12.32,1,125,1,67.75,1,12.28,125.06,1
2019,5,20,-33.53,1,828.12,1,13.59,1,124.94,1,66.44,1,13.51,124.93,1
2019,5,21,-35.04,1,831.25,1,11.93,1,126.5,1,64.88,1,11.83,126.73,1
2019,5,22,-36.96,1,829.88,1,14.14,1,149.25,1,66.62,1,13.99,150.11,1
2019,5,23,-34.71,1,825.38,1,18.3,1,148.38,1,68,1,18.15,148.64,1
2019,5,24,-34.49,1,828.62,1,13.82,1,139.88,1,63.25,1,13.78,139.86,1
2019,5,25,-33,1,836.88,1,14.29,1,132.38,1,66.88,1,14.24,132.44,1
2019,5,26,-27.8,1,839.75,1,14.89,1,131.12,1,72.25,1,14.82,131.23,1
2019,5,27,-28.1,1,846.25,1,14.61,1,134.25,1,68.38,1,14.55,134.58,1
