Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2003,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,1,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2003,2,8,-35.4,0.25,727.17,0.375,5.33,0.375,163.33,0.375,65,0.375,5.31,164.37,0.375
2003,2,9,-24.2,0.5,727.26,1,4.25,1,111.25,1,76.86,0.875,3.64,63.35,1
2003,2,10,-22.18,0.625,729.9,1,4.17,0.75,82.5,1,78,1,3.68,7.61,0.75
2003,2,11,-22.83,0.75,730.51,1,5,0.625,267.5,1,76.38,1,4.75,359.19,0.625
2003,2,12,-25.18,0.625,730.05,1,4.75,1,147.5,1,75.75,1,4.35,9.71,1
2003,2,13,NA,0,730.54,1,3.38,1,108.75,1,74.88,1,2.19,126.31,1
2003,2,14,-29.33,0.5,728.65,1,13,0.5,166,0.625,70.38,1,11.5,170,0.25
2003,2,15,-29.44,0.625,729.67,1,12.88,1,163.75,1,69.88,1,12.83,163.98,1
2003,2,16,-29.46,0.875,733.55,1,14,0.625,166.67,0.375,70.75,1,12.5,170,0.25
2003,2,17,-31.74,0.625,738.31,1,14.4,0.625,182,0.625,67.88,1,15.47,182.12,0.25
2003,2,18,-36.26,0.625,730.2,1,15.83,0.75,NA,0.125,65.63,1,NA,NA,0.125
2003,2,19,-35.86,0.625,728.05,1,14.8,0.625,193.33,0.375,65.5,1,13.42,195.66,0.375
2003,2,20,-38.2,0.875,722.74,1,16.75,0.5,193.33,0.75,61.63,1,15.94,196.25,0.375
2003,2,21,-35.44,0.625,723.59,1,12.75,0.5,192.5,0.5,65,1,13.95,194.64,0.25
2003,2,22,-33.35,0.75,726.81,1,11,0.625,193.75,1,66.5,1,10.81,189.39,0.625
2003,2,23,-34.22,0.625,731.98,1,13.5,0.5,201.67,0.75,66.13,1,12.55,200.53,0.375
2003,2,24,-34.12,0.625,729.54,1,11.5,0.25,212.5,1,65.25,1,11.33,218.68,0.25
2003,2,25,-36.63,0.5,727.65,1,7.43,0.875,187.14,0.875,64.75,1,7.19,186.67,0.75
2003,2,26,-31.05,0.5,729.85,1,16.33,0.375,176,0.625,69.63,1,17,180,0.25
2003,2,27,-33.02,0.625,729.34,1,9.33,0.375,186.67,0.75,69.25,1,NA,NA,0.125
2003,2,28,-37.51,0.875,727.94,1,8.5,0.75,207.14,0.875,62.88,1,8.43,205.91,0.75
2003,3,1,-33,0.5,730.46,1,4.71,0.875,176.67,0.375,63.63,1,4.48,185.56,0.25
2003,3,2,-37.36,0.875,729.01,1,10.4,0.625,177.5,1,61.25,1,10.24,186.15,0.625
2003,3,3,-40.45,0.5,732.8,1,10.2,0.625,207.5,1,59.5,1,10.1,206.12,0.625
2003,3,4,-33.17,0.75,730.9,0.875,22,0.5,164,0.625,66.63,1,24.74,159.73,0.375
2003,3,5,-31.61,0.875,NA,0,28,0.25,NA,0,68.88,1,NA,NA,0
2003,3,6,-35.25,0.75,NA,0,NA,0,NA,0,65.13,1,NA,NA,0
2003,3,7,-35.41,0.875,NA,0,NA,0,NA,0,65.63,1,NA,NA,0
2003,3,8,-27.46,0.875,NA,0,NA,0,NA,0,72.38,1,NA,NA,0
2003,3,9,-34.45,0.75,NA,0,NA,0,NA,0,65.5,1,NA,NA,0
2003,3,10,-30.52,0.625,NA,0,NA,0,NA,0,69.88,1,NA,NA,0
2003,3,11,-28.33,0.75,NA,0,NA,0,NA,0,72.13,1,NA,NA,0
2003,3,12,-40.45,0.25,NA,0,NA,0,NA,0,63,1,NA,NA,0
2003,3,13,-40.8,0.375,NA,0,NA,0,NA,0,57,1,NA,NA,0
2003,3,14,-50.65,0.5,NA,0,NA,0,NA,0,48.63,1,NA,NA,0
2003,3,15,-45.49,0.875,NA,0,NA,0,NA,0,52.38,1,NA,NA,0
2003,3,16,-46.15,1,NA,0,NA,0,NA,0,52.13,1,NA,NA,0
2003,3,17,-46.74,0.625,NA,0,NA,0,NA,0,52.13,1,NA,NA,0
2003,3,18,-42.76,0.625,NA,0,NA,0,NA,0,57.75,1,NA,NA,0
2003,3,19,-49.6,0.375,NA,0,NA,0,NA,0,53.88,1,NA,NA,0
2003,3,20,-49.36,0.625,NA,0,NA,0,NA,0,46.63,1,NA,NA,0
2003,3,21,-50.35,1,NA,0,NA,0,NA,0,47.5,1,NA,NA,0
2003,3,22,-49.81,0.875,NA,0,NA,0,NA,0,47.38,1,NA,NA,0
2003,3,23,-43.08,0.625,NA,0,NA,0,NA,0,55.75,1,NA,NA,0
