Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1989,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1989,1,19,NA,0,992.3,0.625,NA,0,NA,0,NA,0,NA,NA,0
1989,1,20,NA,0,991.07,0.875,NA,0,NA,0,NA,0,NA,NA,0
1989,1,21,NA,0,986.6,1,NA,0,NA,0,NA,0,NA,NA,0
1989,1,22,NA,0,988.77,0.75,NA,0,NA,0,14,0.75,NA,NA,0
1989,1,23,-2.48,0.75,990.85,0.75,NA,0,NA,0,61.83,0.75,NA,NA,0
