Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2017,11,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2017,11,23,-6,1,968.09,1,3.8,0.75,255.88,1,NA,0,2.63,298.89,0.75
2017,11,24,-9.78,1,977.88,1,7.97,0.5,122,1,NA,0,4.92,115.16,0.5
2017,11,25,-8.75,1,979.59,1,3.25,1,110.5,1,NA,0,2.75,84.79,1
2017,11,26,-9.85,0.25,977.8,0.25,5.15,0.25,82,0.25,NA,0,5.15,82,0.25
2017,11,27,-7.3,0.5,977.04,1,5.42,1,168.25,1,NA,0,2.81,98.43,1
2017,11,28,-12.36,0.625,978.95,1,5.44,0.875,64,1,NA,0,5.29,64.07,0.875
2017,11,29,-8.28,0.75,980.13,1,3.09,1,79,1,NA,0,2.81,77.38,1
2017,11,30,-6.86,1,986.54,1,4.72,0.75,119.25,1,NA,0,4.16,134.76,0.75
2017,12,1,-7.49,0.875,986.84,1,3.31,1,88.62,1,NA,0,2.36,66.76,1
2017,12,2,-5.22,0.625,984.09,1,3.02,1,126.25,1,NA,0,1.38,87.37,1
2017,12,3,-7.96,0.625,981.9,1,3.31,1,59.38,1,NA,0,2.83,64.75,1
2017,12,4,-7.98,0.5,982.21,1,2.57,0.875,185.12,1,NA,0,0.95,18.08,0.875
2017,12,5,-8.72,0.75,984.29,1,4.49,1,63.62,1,NA,0,4.3,62.68,1
2017,12,6,-7.02,1,981.01,1,3.26,1,195.5,1,81.4,0.75,2.02,17.96,1
2017,12,7,-8.08,0.5,983.04,1,2.27,0.875,113.88,1,72.46,1,1.06,100.3,0.875
2017,12,8,-5.86,0.625,981.85,1,4.65,1,225.88,1,81.09,1,2.62,357.4,1
2017,12,9,-11.41,1,982.15,1,4.78,1,83.38,1,79.66,1,4.73,83.65,1
2017,12,10,-10.14,0.625,986.15,1,2.64,1,180.25,1,76.28,1,1.15,143.02,1
2017,12,11,-6.59,0.875,986.46,1,5.82,0.75,180,1,79.73,1,3.98,139.51,0.75
2017,12,12,-6.11,0.875,989.69,1,3.84,0.625,130.75,1,75.5,1,1.37,74.27,0.625
