Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,12,30,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2013,12,31,-13.68,0.625,844.63,1,4.65,0.75,194.25,1,65.98,1,4.16,183.54,0.75
2014,1,1,-14.29,0.875,844.65,1,4.74,0.875,177.5,1,70.86,1,3.27,198.32,0.875
2014,1,2,-12.1,1,842.06,1,12.37,0.875,199.62,1,64.54,1,12.28,199.76,0.875
2014,1,3,-10.5,1,839.2,1,14.44,1,198.25,1,58.38,1,14.4,198.14,1
2014,1,4,-14.03,1,848.31,1,5.62,0.75,168.75,1,81.09,1,5.59,167.54,0.75
2014,1,5,-13.56,1,847.71,1,7.09,0.875,172.75,1,76.06,1,6.99,179.79,0.875
2014,1,6,-13.42,0.75,845.25,1,2.9,0.875,298.88,1,65.38,1,2.81,333.4,0.875
2014,1,7,-13.24,0.625,848.01,1,3.21,1,243.5,1,58.79,1,2.97,330.06,1
2014,1,8,-12.7,1,844.92,1,6.27,0.875,232.12,1,47.38,1,5.58,230.92,0.875
2014,1,9,-13.41,1,845.1,1,11.15,1,200.12,1,62.21,1,10.98,199.18,1
2014,1,10,-11.14,1,844.16,1,11.7,0.75,206.12,1,54.84,1,11.6,204.57,0.75
2014,1,11,-11.33,1,843.15,1,13.53,0.875,200.25,1,56.76,1,13.49,201.34,0.875
2014,1,12,-11.96,1,845.91,1,9.53,1,192.5,1,68.66,1,9.51,192.8,1
2014,1,13,-11.7,1,847.88,1,7.32,1,177,1,79.79,1,7.05,179.26,1
2014,1,14,-13.1,0.375,850.28,1,1.58,0.75,197.38,1,81.26,1,0.98,2.33,0.75
2014,1,15,-12.08,0.75,846.56,1,4.6,0.625,181.25,1,84.94,1,4.22,173.4,0.625
2014,1,16,-12.09,0.875,850.49,1,4.03,0.875,160.5,1,84.46,1,3.94,166.99,0.875
2014,1,17,-10.9,0.625,857.06,1,2.81,1,243.62,1,75.04,1,0.68,303.74,1
2014,1,18,-7.63,1,847.6,1,8.53,0.75,221,1,54.72,1,7.13,201.61,0.75
2014,1,19,-8.75,1,836.66,1,11.2,0.75,200.62,1,59.28,1,11.03,200.36,0.75
2014,1,20,-12.81,1,842.61,1,11.66,1,194.5,1,60.81,1,11.59,194.89,1
2014,1,21,-13.11,1,845.28,1,13.53,0.75,201.25,1,51.71,1,13.5,200.65,0.75
2014,1,22,-13.93,1,837.61,1,14.99,0.875,201.12,1,52.96,1,14.94,201.5,0.875
2014,1,23,-14.01,0.875,838.44,1,6.97,0.75,193.88,1,76.06,1,6.91,194.64,0.75
2014,1,24,-13.31,1,842.23,1,7.14,1,186.5,1,77.75,1,7.03,186.47,1
2014,1,25,-14.56,1,840.96,1,8.31,0.875,193.38,1,73.13,1,8.27,193.69,0.875
2014,1,26,-13.43,1,840.44,1,9.91,1,196.62,1,76.24,1,9.87,196.84,1
2014,1,27,-15.15,1,838.16,1,8.42,0.625,208.38,1,57.65,1,8.28,192.23,0.625
2014,1,28,-18.74,0.625,835.85,1,3.07,0.875,178.88,1,68.9,1,0.78,181.39,0.875
2014,1,29,-19.1,0.875,837.21,1,5.84,1,196.75,1,75.43,1,5.42,180.35,1
2014,1,30,-19.43,0.75,839.1,1,3.35,1,152.12,1,79.73,1,3.07,163.75,1
2014,1,31,-19.76,0.875,840.61,1,4.1,0.875,182.12,1,71.19,1,3.79,178.59,0.875
2014,2,1,-20.95,1,839.46,1,9.29,0.875,191.88,1,67.2,1,9.24,191.81,0.875
2014,2,2,-20.19,0.875,843.11,1,3.87,0.875,217.12,1,71.07,1,3.01,191.37,0.875
2014,2,3,-19.59,1,845.21,1,7.41,0.875,206.75,1,67.76,1,6.86,197.58,0.875
2014,2,4,-16.67,1,842.71,1,11.59,1,200.25,1,53.88,1,11.58,200.45,1
2014,2,5,-20.11,0.875,837.05,1,13.88,0.75,196.12,1,57.31,1,13.83,194.12,0.75
2014,2,6,-21.81,1,841.56,1,14.31,0.875,196.38,1,58.16,1,14.3,196.7,0.875
2014,2,7,-21.1,1,844.29,1,12.2,0.375,176,1,67.55,1,12.19,196.64,0.375
2014,2,8,-21.15,1,843.01,1,12.83,0.75,198.12,1,58.71,1,12.78,197.27,0.75
2014,2,9,-21.03,1,842.34,1,13.82,1,196.88,1,62.6,1,13.78,197.06,1
2014,2,10,-20.44,1,845.99,1,14.49,1,199.12,1,62.66,1,14.38,199.79,1
2014,2,11,-18.56,1,850.35,1,10.33,0.75,196.62,1,69.28,1,10.31,194.92,0.75
2014,2,12,-17.28,1,852.24,1,8.89,1,192.25,1,78.75,1,8.83,192.3,1
2014,2,13,-18.48,0.75,843.85,1,8.47,0.5,224.38,1,61.56,1,8.08,199.94,0.5
