Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1990,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,19,-0.05,0.5,NA,0,2.38,0.625,119.83,0.75,63.83,0.75,2.13,127.3,0.625
1990,1,20,1.8,0.875,NA,0,9.88,0.625,128.29,0.875,61.29,0.875,9.72,131.77,0.625
1990,1,21,0.86,1,NA,0,14.5,0.875,160.88,1,51.88,1,14.36,159.21,0.875
1990,1,22,-0.11,1,NA,0,14.07,0.75,155.25,1,47.12,1,14.02,158.43,0.75
1990,1,23,-0.11,1,NA,0,15.7,0.375,151.88,1,63.88,1,15.6,151.02,0.375
1990,1,24,1.16,1,NA,0,21.83,0.375,136.5,1,74,1,21.79,134.15,0.375
1990,1,25,-0.37,1,NA,0,16.93,0.75,160.75,1,52.62,1,16.62,160.26,0.75
1990,1,26,-0.97,0.875,NA,0,NA,0.125,127.88,1,47.25,1,NA,NA,0.125
1990,1,27,-1.85,1,NA,0,12.93,0.375,152.25,1,45.25,1,12.92,159.48,0.375
1990,1,28,-1.26,1,NA,0,8.5,0.625,148.5,1,46.38,1,8.27,141.44,0.625
1990,1,29,-1.61,1,NA,0,6.9,0.75,151.38,1,47.25,1,6.54,144.68,0.75
1990,1,30,-2.33,0.875,NA,0,9.5,0.5,141.12,1,61.25,1,9.12,157.11,0.5
1990,1,31,-1.87,0.75,NA,0,7.82,0.625,158,1,61.62,1,7.62,161.5,0.625
1990,2,1,-2.52,0.625,NA,0,7.23,0.375,212.25,1,47.25,1,3.36,188.74,0.375
1990,2,2,-4.16,0.625,NA,0,6.55,0.25,194.62,1,52.25,1,5.57,165.25,0.25
1990,2,3,-6.56,1,NA,0,14.38,1,166.38,1,71.5,1,14.28,165.92,1
1990,2,4,-7.62,1,NA,0,18.15,0.25,171.12,1,63,1,18.08,166.57,0.25
1990,2,5,-5.73,0.75,NA,0,14.5,0.25,180.88,1,38.12,1,14.46,181.75,0.25
1990,2,6,-2.82,1,NA,0,12.22,0.5,176.5,1,35.62,1,11.53,172.34,0.5
1990,2,7,-3.86,1,NA,0,10.45,0.25,170.75,1,48.12,1,10.38,163.59,0.25
1990,2,8,-3.58,0.75,NA,0,20.43,0.375,177.38,1,36.38,1,20.43,170.66,0.375
1990,2,9,-5.1,1,NA,0,16.5,0.75,177.12,1,38.25,1,16.44,175.92,0.75
1990,2,10,-7.07,0.875,NA,0,18.08,0.5,163.57,0.875,37.14,0.875,17.94,166.49,0.5
1990,2,11,-8.01,1,NA,0,18.4,0.375,159.38,1,64.12,1,18.26,167.15,0.375
1990,2,12,-6.17,0.875,NA,0,NA,0.125,185.38,1,36.38,1,NA,NA,0.125
1990,2,13,-6.23,0.875,NA,0,15.75,0.5,173.62,1,41.12,1,15.69,176.96,0.5
1990,2,14,-5.32,0.75,NA,0,14.6,0.375,168.88,1,38.38,1,14.54,156.06,0.375
1990,2,15,-6.85,1,NA,0,18.57,0.375,163.25,1,42.25,1,18.15,152.03,0.375
1990,2,16,-5.92,1,NA,0,14.8,0.75,159.25,1,44,1,14.71,155.56,0.75
1990,2,17,-5.22,1,NA,0,20.2,0.25,152.75,1,81.38,1,20.11,160.05,0.25
1990,2,18,-5.74,1,NA,0,28.4,0.375,163.43,0.875,89.88,1,28.38,159.79,0.375
1990,2,19,-6.71,1,NA,0,NA,0,NA,0,87.38,1,NA,NA,0
1990,2,20,-6.04,1,NA,0,NA,0.125,NA,0.125,93.38,1,NA,NA,0.125
1990,2,21,-5.71,1,NA,0,NA,0.125,NA,0.125,86.75,1,NA,NA,0.125
1990,2,22,-9.69,1,NA,0,20,0.375,173.25,0.5,72.88,1,19.99,172.45,0.375
1990,2,23,-11.66,1,NA,0,18.6,0.75,178.83,0.75,65.62,1,18.31,178.5,0.75
1990,2,24,-7.44,1,NA,0,NA,0.125,NA,0.125,60.5,1,NA,NA,0.125
1990,2,25,-6.19,1,NA,0,18.23,0.375,170.57,0.875,53.62,1,18.21,169.21,0.375
1990,2,26,-9.1,1,NA,0,15.03,0.375,148.38,1,66.5,1,14.46,157.54,0.375
1990,2,27,-11.87,0.875,NA,0,22.27,0.375,169.86,0.875,63.86,0.875,22.26,172.54,0.375
1990,2,28,-5.51,0.875,NA,0,5.7,0.375,118.43,0.875,75.29,0.875,5.61,96.33,0.375
1990,3,1,-6.94,1,NA,0,27.63,0.375,194.88,1,64.62,1,27.56,171.41,0.375
1990,3,2,-9.9,0.875,NA,0,28.85,0.25,171.12,1,66,1,28.81,175.04,0.25
