Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,1,18,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1994,1,19,-18.3,0.25,847.6,0.25,3.75,0.25,25.5,0.25,NA,0,3.75,25.33,0.25
1994,1,20,-15.75,0.25,851.35,0.25,5.5,0.25,37.5,0.25,NA,0,5.33,49.52,0.25
1994,1,21,-18.1,0.625,849.24,0.625,3.72,0.625,73.6,0.625,NA,0,3.6,74.75,0.625
1994,1,22,-16.12,0.5,849.28,0.5,4.7,0.5,43.75,0.5,NA,0,4.69,43.92,0.5
1994,1,23,-14.5,0.5,847.12,0.5,3.55,0.5,104,0.5,NA,0,3.52,16.04,0.5
1994,1,24,-13.63,0.75,848.13,0.75,3.97,0.75,20.17,0.75,NA,0,3.95,19.47,0.75
1994,1,25,-12.77,0.75,852.83,0.75,4.9,0.75,47,0.75,NA,0,4.49,49.34,0.75
1994,1,26,-9.95,0.25,849.63,0.375,3.43,0.375,148,0.375,NA,0,3.42,42.34,0.375
1994,1,27,NA,0.125,847.34,0.625,1.74,0.625,214.4,0.625,NA,0,1.62,2.43,0.625
1994,1,28,-13.23,0.375,845.78,0.5,5.18,0.5,38.5,0.5,NA,0,4.96,35.18,0.5
1994,1,29,-11.22,0.5,849.02,0.5,4.15,0.5,82.25,0.5,NA,0,3.12,6.42,0.5
1994,1,30,-18.45,0.25,851.12,0.625,1.46,0.625,124.6,0.625,NA,0,1.23,48.07,0.625
1994,1,31,NA,0.125,850.3,0.25,1.75,0.25,51,0.25,NA,0,1.75,39,0.25
1994,2,1,-13.73,0.375,850.17,0.375,4.03,0.375,42,0.375,NA,0,3.99,43.08,0.375
1994,2,2,-17.5,0.25,850.2,0.5,3.42,0.5,65.25,0.5,NA,0,2.98,66.2,0.5
1994,2,3,NA,0,849.2,0.25,2.2,0.25,188,0.25,NA,0,2.01,21.04,0.25
1994,2,4,-17.4,0.5,844.62,0.5,7.85,0.5,48.75,0.5,NA,0,7.79,49.4,0.5
1994,2,5,-15.55,0.25,848.8,0.25,4.5,0.25,164.5,0.25,NA,0,4.35,353.65,0.25
1994,2,6,-19.55,0.25,846.25,0.25,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1994,2,7,-20.74,0.625,842.88,0.75,4.3,0.75,29.17,0.75,NA,0,4.27,27.4,0.75
1994,2,8,-19.85,0.5,846.32,0.5,5.92,0.5,36.75,0.5,NA,0,5.79,37.45,0.5
1994,2,9,-20.3,0.5,842.65,0.5,6.85,0.5,51.75,0.5,NA,0,6.78,50.6,0.5
1994,2,10,-19.88,0.5,838.45,0.5,5.38,0.5,50.25,0.5,NA,0,5.22,50.2,0.5
1994,2,11,-18.83,0.375,840.3,0.375,3.37,0.375,250,0.375,NA,0,3.23,13.65,0.375
1994,2,12,NA,0.125,849.95,0.5,2.1,0.375,235,0.375,NA,0,1.9,28.52,0.375
1994,2,13,-19.55,0.25,848.3,0.25,3.6,0.25,60.5,0.25,NA,0,3.59,60.11,0.25
1994,2,14,-19.33,0.375,848.53,0.375,4.15,0.25,48.5,0.25,NA,0,4.07,46.67,0.25
1994,2,15,-19.25,0.25,850.25,0.25,4.5,0.25,46.5,0.25,NA,0,4.43,44.14,0.25
1994,2,16,NA,0,846.15,0.25,0.65,0.25,176,0.25,NA,0,0.62,351.46,0.25
1994,2,17,-19.2,0.25,836.75,0.25,6.5,0.25,44.5,0.25,NA,0,4.9,32.56,0.25
1994,2,18,-16.84,0.625,839.96,0.625,8.04,0.625,28.4,0.625,NA,0,7.75,25.46,0.625
1994,2,19,-20.07,0.375,838.63,0.375,7.07,0.375,44,0.375,NA,0,7.05,44.49,0.375
1994,2,20,-22.7,0.25,835.15,0.25,6.5,0.25,41,0.25,NA,0,6.5,40.78,0.25
1994,2,21,-20.1,0.5,845.25,0.5,7.38,0.5,41.5,0.5,NA,0,7.17,42.23,0.5
1994,2,22,-19.7,0.625,849.98,0.625,10,0.625,46,0.625,NA,0,9.87,47.41,0.625
1994,2,23,-21.2,0.375,852.17,0.375,5.53,0.375,36,0.375,NA,0,5.28,34.07,0.375
1994,2,24,-24.13,0.375,852.37,0.375,6.83,0.375,67.67,0.375,NA,0,6.82,67.78,0.375
1994,2,25,-21.43,0.375,847.5,0.375,5.07,0.375,39,0.375,NA,0,5.04,40.82,0.375
1994,2,26,-25.55,0.25,845.23,0.375,2.87,0.375,43,0.375,NA,0,2.75,42.83,0.375
1994,2,27,-29.38,0.5,846.12,0.5,5.45,0.5,55.5,0.5,NA,0,5.12,59.45,0.5
1994,2,28,-30.4,0.25,846.45,0.25,6,0.25,62,0.25,NA,0,5.93,61.7,0.25
1994,3,1,-24.9,0.375,849.03,0.375,4.8,0.375,51,0.375,NA,0,4.78,51.52,0.375
1994,3,2,-23.68,0.5,851.02,0.5,3.33,0.5,132,0.5,NA,0,3.07,71.12,0.5
1994,3,3,-35.9,0.25,845.95,0.5,2.95,0.5,35.25,0.5,NA,0,2.66,41.98,0.5
1994,3,4,-32.73,0.5,837.4,0.625,4.84,0.625,50.2,0.625,NA,0,4.77,51.51,0.625
1994,3,5,-27.55,0.25,839.6,0.25,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1994,3,6,-25.05,0.25,847.75,0.25,7.3,0.25,54,0.25,NA,0,7.25,53.52,0.25
1994,3,7,-17.33,0.375,836.13,0.375,15,0.375,52.67,0.375,NA,0,14.99,52.44,0.375
1994,3,8,-15.1,0.625,841.56,0.625,10.34,0.625,43.6,0.625,NA,0,10.22,43.22,0.625
1994,3,9,-23.2,0.375,842.1,0.5,9.1,0.5,75.75,0.5,NA,0,8.97,75.76,0.5
1994,3,10,-28.2,0.25,837.1,0.375,7.5,0.25,103.67,0.375,NA,0,7.5,65.56,0.25
1994,3,11,-29.27,0.5,840.15,0.5,6.75,0.5,57.5,0.5,NA,0,6.6,59.59,0.5
1994,3,12,-30.7,0.5,838.28,0.5,7.58,0.5,63.75,0.5,NA,0,7.28,62.46,0.5
1994,3,13,-28.97,0.375,838.63,0.375,6.73,0.375,38.33,0.375,NA,0,6.45,35.17,0.375
1994,3,14,-34.6,0.5,845.38,0.5,3,0.5,124.75,0.5,NA,0,2.78,42.18,0.5
1994,3,15,-31.32,0.5,843.06,0.625,4.5,0.375,87.2,0.625,NA,0,4.47,8.49,0.375
1994,3,16,-37.83,0.375,845.57,0.375,1.5,0.25,42,0.25,NA,0,1.49,44.34,0.25
1994,3,17,-36.87,0.375,847.52,0.5,4.22,0.5,71.25,0.5,NA,0,4.04,76.16,0.5
1994,3,18,-39.8,0.25,840.7,0.375,3.6,0.25,61,0.25,NA,0,3.59,61.56,0.25
1994,3,19,-37.17,0.375,832.27,0.375,4.9,0.375,48,0.375,NA,0,4.71,46.76,0.375
1994,3,20,-35.92,0.5,840.1,0.5,5.75,0.5,44.75,0.5,NA,0,5.75,44.66,0.5
1994,3,21,-36.47,0.375,847.6,0.375,4.6,0.375,37.67,0.375,NA,0,4.38,41.6,0.375
1994,3,22,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
