Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,1,10,-21.7,0.5,710.28,0.5,3.72,0.5,152.5,0.5,59,0.5,2.77,62.16,0.5
2009,1,11,-23.01,0.875,707.74,1,6.61,1,18.75,1,69.4,1,6.44,16.01,1
2009,1,12,-23.5,1,708.71,1,7.29,1,148.12,1,69.4,1,7.03,9.81,1
2009,1,13,-21.73,1,712.54,1,8.11,1,14.38,1,70.22,1,8.04,13.17,1
2009,1,14,-23.14,1,712.7,1,5.31,1,118.75,1,69.12,1,4.66,13.91,1
2009,1,15,-23.77,1,711.7,1,5.48,1,149.38,1,72.3,1,5.17,9.73,1
2009,1,16,-23.48,1,712.94,1,6.12,1,188.12,1,72.05,1,5.82,3.5,1
2009,1,17,-21.9,1,709.2,1,8.41,0.875,53,1,73.76,1,8.38,6.92,0.875
2009,1,18,-19.9,0.875,705.34,1,5.25,1,221.38,1,78.24,1,5.12,356.67,1
2009,1,19,-21.88,0.5,707.7,1,2.4,1,143.62,1,73.85,1,2.07,6.35,1
2009,1,20,-22.98,0.5,710.38,1,3.95,1,86.38,1,77.58,1,3.44,30.38,1
2009,1,21,-23.57,0.875,709.36,1,4.76,1,110.25,1,72.21,1,4.57,21.12,1
2009,1,22,-26.14,0.625,711.49,1,3.5,1,173.88,1,73.9,1,3.31,355.11,1
2009,1,23,-24.02,0.625,711.64,1,3.12,1,82.25,1,76.74,1,2.62,42.14,1
2009,1,24,-27.15,1,706.56,1,5.42,1,109.12,1,72.42,1,5.12,16.36,1
2009,1,25,-27.75,1,708.54,1,5.03,1,68,1,70.62,1,4.92,23.27,1
2009,1,26,-27.69,1,712.68,1,6.76,1,19.38,1,69.62,1,6.65,17.8,1
2009,1,27,-24.9,1,713.5,1,6.75,1,30.25,1,71.22,1,6.34,29.66,1
2009,1,28,-21.88,1,711.24,1,7.22,1,114.62,1,73.41,1,6.39,17.62,1
2009,1,29,-23.21,0.875,705.4,1,7.78,1,67.25,1,71.38,1,7.1,16.68,1
2009,1,30,-26.45,0.75,711.89,1,4.28,1,20.88,1,72.03,1,4.16,21.42,1
2009,1,31,-26.5,0.625,712.15,1,4.8,1,69.5,1,72.06,1,4.46,19.71,1
2009,2,1,-29.65,0.75,715.11,1,5.31,0.875,265,1,74.83,1,5.09,349.35,0.875
2009,2,2,-29.1,0.875,720.5,1,3.69,1,124.62,1,74.28,1,3.23,27.37,1
2009,2,3,-33.8,0.75,714.91,1,3.9,1,63.62,1,69.92,1,3.74,61.61,1
2009,2,4,-32.77,1,710.55,1,6.61,0.875,38.5,1,69.65,1,6.22,32.79,0.875
2009,2,5,-33.65,0.5,706.21,1,4.26,1,30.38,1,69.55,1,4.06,29.43,1
2009,2,6,-32.29,0.875,705.96,1,5.41,1,105,1,72.99,1,5.27,11.4,1
2009,2,7,-30.76,0.875,707.01,1,4.79,1,105.38,1,73.42,1,4.6,16.28,1
2009,2,8,-36.9,0.75,708.38,1,3.44,1,31.25,1,70.04,1,3.21,28.32,1
2009,2,9,-38.98,0.625,707.24,1,2.9,1,84.5,1,68.2,1,2.74,81.08,1
2009,2,10,-41.43,0.75,707.96,1,3.51,1,106.75,1,68.04,1,3.32,10.35,1
2009,2,11,-42.09,1,712.36,1,4.65,1,54,1,68.4,1,4.63,9.1,1
2009,2,12,-39.4,1,717.11,1,5.11,1,25.5,1,69.65,1,4.99,23.03,1
2009,2,13,-40.35,0.75,714.42,1,4.44,1,83.75,1,66.75,1,4.4,83.67,1
2009,2,14,-37.44,0.625,705.31,1,5.95,1,41.75,1,69.39,1,5.71,40.62,1
2009,2,15,-36.94,0.875,705.32,1,6.62,1,27.75,1,70.97,1,6.49,25.33,1
2009,2,16,-38.2,0.625,705.18,1,5.95,1,34.62,1,70.26,1,5.77,32.37,1
2009,2,17,-38.66,0.875,705.38,1,6.1,1,42.5,1,68.22,1,5.98,41.58,1
2009,2,18,-40.11,0.875,709.08,1,5.43,0.875,27.75,1,66.96,1,5.4,28.92,0.875
2009,2,19,-43.71,0.875,715.59,1,3.76,1,42.75,1,66.39,1,3.68,41.9,1
