Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,2,7,-3.21,1,995.95,1,6.57,0.875,160.75,1,85.9,1,6.12,1.9,0.875
2010,2,8,-3.76,0.625,990.2,1,2.32,0.625,111.25,1,90.63,1,0.95,95.94,0.625
2010,2,9,-2.21,1,986.8,1,NA,0.125,213.25,1,90.7,1,NA,NA,0.125
2010,2,10,-2.89,1,978.5,1,10.6,0.625,234.29,0.875,94.34,1,10.51,234.84,0.625
2010,2,11,-0.85,1,971.04,1,15.57,0.375,233.5,1,96.99,1,15.56,234.79,0.375
2010,2,12,-0.17,0.75,986.56,1,4.14,0.875,208.88,1,97.36,1,3.98,234.37,0.875
2010,2,13,0.16,0.875,999.51,1,4.9,0.625,179.57,0.875,98.18,1,4.34,207.32,0.625
2010,2,14,-1,0.5,1004.29,1,2.46,1,72,1,94.54,1,1.66,80.65,1
2010,2,15,-3.16,0.625,1002,1,3.1,0.75,195.57,0.875,92.65,1,0.94,353.24,0.75
2010,2,16,-3.09,0.875,995.74,1,7.37,0.375,214.5,1,90.26,1,2.6,338.73,0.375
2010,2,17,5.9,0.875,986.65,1,11.76,0.625,250.38,1,51.79,1,11.66,248.56,0.625
2010,2,18,3.09,0.875,991.18,1,8.42,0.75,258.88,1,56.13,1,8.21,252.02,0.75
2010,2,19,2.23,0.5,989.51,1,3.79,0.875,184.25,1,62.91,1,2.54,324.62,0.875
2010,2,20,-5.07,1,994.07,1,10.54,0.625,225.75,1,84.18,1,10.39,225.98,0.625
2010,2,21,-9.66,1,1003.49,1,7.3,0.625,188.38,1,71.6,1,2.75,238.62,0.625
2010,2,22,-8.16,1,994.74,1,9.62,0.625,136.5,1,87.86,1,9.07,16.91,0.625
2010,2,23,-6.11,1,996.35,1,4.77,0.875,199.62,1,87.16,1,3.99,229.07,0.875
2010,2,24,-5.33,0.75,988.35,1,3.88,0.5,148.5,1,84.24,1,1.43,317.28,0.5
2010,2,25,-6.25,0.75,987.69,1,5.5,0.375,166.75,1,94.79,1,0.18,341.2,0.375
2010,2,26,-4.86,1,972.73,1,7.75,0.75,160.62,1,94.61,1,3.5,267.73,0.75
2010,2,27,-6.98,1,976.26,1,14.24,0.875,248.38,1,87.14,1,14.21,249.04,0.875
2010,2,28,-7.64,1,973.08,1,9.02,0.75,235.25,1,91.64,1,8.66,231.97,0.75
2010,3,1,-11.64,1,986.14,1,13.19,0.875,234.12,1,87.24,1,13.1,233.66,0.875
2010,3,2,-12.31,1,996.1,1,2.9,0.25,203.25,1,90.18,1,2.75,345.08,0.25
2010,3,3,-8.33,1,983.76,1,4.91,0.875,237.62,1,92.21,1,4.81,237.82,0.875
2010,3,4,-10.14,1,989.43,1,6.32,1,239.75,1,81.53,1,5.43,261.06,1
2010,3,5,-1.33,0.5,1000.48,1,6.62,0.625,263.62,1,52.84,1,4.82,347.02,0.625
2010,3,6,-0.8,1,985.34,1,5.25,0.75,217.62,1,78.34,1,2.73,281.47,0.75
2010,3,7,-4.57,1,990.96,1,6.05,0.5,176.14,0.875,93.1,1,3.71,251.66,0.5
2010,3,8,-0.55,0.5,976.33,1,5.03,0.375,187.67,0.75,90.95,1,1.57,357.42,0.375
2010,3,9,2.87,1,966.51,1,11,0.25,306,1,68.28,1,10.37,284.42,0.25
2010,3,10,3.22,0.625,976.99,1,11.75,0.25,260.88,1,55.99,1,11.62,252.48,0.25
2010,3,11,-2.53,0.875,981.54,1,5.18,0.75,244.25,1,76.04,1,2.8,274.55,0.75
2010,3,12,-9.66,1,986.31,1,7.82,0.625,194.25,1,92.7,1,4.55,259.51,0.625
2010,3,13,-8,1,988.55,1,2.89,1,187.62,1,92.75,1,1.51,220.17,1
2010,3,14,-7.5,1,991.82,1,3.35,1,211.75,1,91.63,1,3.24,212.63,1
2010,3,15,-6.46,1,989.26,1,4.32,1,129.25,1,94.89,1,2.16,14.39,1
2010,3,16,-7.74,1,985.55,1,3.96,0.625,216.62,1,92.55,1,3.64,254.67,0.625
2010,3,17,-11.53,1,991.71,1,14.47,0.875,236.75,1,90.08,1,14.39,236.11,0.875
2010,3,18,-13.89,1,989.89,1,9.57,0.875,238.12,1,86.52,1,9.43,240.65,0.875
2010,3,19,-14.79,1,985.6,1,6.01,1,230.88,1,88.43,1,5.76,235.98,1
2010,3,20,-17.61,1,977.71,1,6.81,0.875,231.88,1,87.64,1,6.7,233.73,0.875
2010,3,21,-19.6,1,969.53,1,15.65,0.75,243.25,1,83.75,1,15.57,242.47,0.75
2010,3,22,-19.71,1,974.56,1,10.32,1,238.62,1,83.79,1,10.28,238.24,1
2010,3,23,-20.8,1,980.85,1,7.02,0.75,240.5,1,76.7,1,6.88,243.22,0.75
2010,3,24,-17.96,0.875,982.57,1,9.13,0.375,309.38,1,74,1,6.66,302.32,0.375
2010,3,25,-10.96,0.625,973.09,1,5.72,0.625,196.5,1,76.56,1,1.27,347.48,0.625
2010,3,26,-14.85,1,983.98,1,7.04,0.625,182.75,1,80.15,1,6.17,234.08,0.625
2010,3,27,-10.2,0.25,984.68,1,9.28,0.5,246,1,68.96,1,8.69,337.43,0.5
2010,3,28,-13.8,0.875,978.76,1,NA,0,215.5,1,85.15,1,NA,NA,0
2010,3,29,-15.84,1,977.34,1,4.5,0.375,232.75,1,84.4,1,4.36,242.01,0.375
2010,3,30,-17.49,1,975.26,1,7.39,0.875,233.12,1,83.68,1,7.27,237.16,0.875
2010,3,31,-18.65,1,981.93,1,5.09,1,234.88,1,84.91,1,4.93,237.69,1
2010,4,1,-18.65,1,977.98,1,8.2,0.75,241.38,1,85.43,1,8.01,243.22,0.75
2010,4,2,-19.94,1,986.96,1,5.36,0.875,246.88,1,70.69,1,5.14,247.46,0.875
2010,4,3,-18.75,1,995.12,1,4.67,0.75,86.25,1,82.52,1,3.03,3.71,0.75
2010,4,4,-14.52,0.75,977.99,1,12.52,0.625,208.62,1,88.93,1,9.47,256.11,0.625
2010,4,5,-16.32,0.625,983.4,1,14.35,0.25,185.88,1,69.79,1,14.31,248.18,0.25
2010,4,6,-1.47,0.5,984.04,1,7.42,0.5,212.12,1,69.48,1,4.67,284.37,0.5
2010,4,7,-11.21,1,983.43,1,NA,0,231.38,1,87.05,1,NA,NA,0
2010,4,8,-7.71,0.875,978.76,1,1.15,0.25,228,1,85.98,1,1.14,166.95,0.25
2010,4,9,-14.34,0.875,983.46,1,12.41,0.875,237.88,1,82.21,1,12.38,238.48,0.875
2010,4,10,-12.11,1,995.24,1,8.6,0.625,241.62,1,75.75,1,5.61,354.63,0.625
2010,4,11,-5.64,0.625,976.9,1,4.2,0.375,219.12,1,74.93,1,2.03,335.74,0.375
2010,4,12,-13,0.75,975.56,1,14.43,0.375,197.38,1,79.25,1,14.07,250.47,0.375
2010,4,13,-14.84,0.875,986.04,1,7.94,0.625,185.62,1,80.79,1,6.28,0.48,0.625
2010,4,14,-19.4,0.75,983.32,1,6.85,0.25,234.25,1,83.86,1,6.7,228.1,0.25
2010,4,15,-22.51,1,978.62,1,17.42,0.625,242.88,1,81.9,1,17.41,249.37,0.625
2010,4,16,-21.09,1,990.39,1,16.5,0.625,248.25,1,80.8,1,16.45,248.7,0.625
2010,4,17,-21.71,1,984.3,1,10.76,0.875,242.75,1,82.51,1,10.64,242.76,0.875
2010,4,18,-19.39,1,978.66,1,15.7,0.875,243.12,1,84.33,1,15.66,244.54,0.875
2010,4,19,-18.76,1,983.76,1,17.07,0.75,236.38,1,84.84,1,17.01,234.49,0.75
2010,4,20,-20.2,1,991.5,1,17.6,0.875,237.12,1,82.69,1,17.58,237.43,0.875
2010,4,21,-22.05,0.75,990.29,1,6.05,0.25,248.12,1,59.76,1,5.99,237.39,0.25
2010,4,22,-19.94,1,979.53,1,2.83,0.75,211.75,1,78.11,1,2.16,241.02,0.75
2010,4,23,-23.95,1,971.97,1,11.57,1,234,1,80.52,1,11.4,234.3,1
2010,4,24,-23.48,1,975.23,1,12.5,0.875,244.62,1,77.6,1,12.45,245.23,0.875
2010,4,25,-16.26,1,978.9,1,15.9,0.25,262.25,1,82.9,1,15.89,242.24,0.25
2010,4,26,-20.33,1,976.4,1,4.67,0.375,215.38,1,85.94,1,2.75,353.5,0.375
2010,4,27,-24.25,1,971.9,1,9.94,0.625,273.75,1,81.94,1,4.58,307.99,0.625
2010,4,28,-27.24,1,976.88,1,3.93,0.375,181.88,1,82.34,1,1.2,332.4,0.375
2010,4,29,-25.99,1,976.91,1,12.06,0.875,239.75,1,82.7,1,12.03,240.21,0.875
2010,4,30,-25.86,1,981.86,1,9.94,0.625,200.88,1,81.45,1,8.07,245.03,0.625
2010,5,1,-24.69,1,981.51,1,12.65,0.5,208,1,75.7,1,12.59,359.83,0.5
2010,5,2,-24.32,0.625,991.63,1,10.24,0.875,241.25,1,78.73,1,9.96,242.14,0.875
2010,5,3,-24.74,1,998.54,1,10.32,0.625,237.62,1,84.2,1,10.29,239.22,0.625
2010,5,4,-27.73,1,993.38,1,5.03,0.75,188,1,78.15,1,4.12,248.83,0.75
2010,5,5,-27.5,0.25,980.5,1,1.15,0.25,201.62,1,75.51,1,0.55,53.21,0.25
2010,5,6,-24.7,0.75,979.03,1,9.55,0.25,238.62,1,75.1,1,9.28,235.92,0.25
2010,5,7,-18.94,0.875,988.76,1,14.52,0.75,238.88,1,84.04,1,14.45,237.5,0.75
2010,5,8,-20.99,1,989.15,1,2.18,0.75,147.75,1,85.64,1,0.36,185.8,0.75
2010,5,9,-21.46,1,983.98,1,3.75,0.75,207.12,1,85.78,1,1.93,354.58,0.75
2010,5,10,-20.66,1,985.26,1,9.36,0.625,236,1,82.1,1,9.31,239.09,0.625
2010,5,11,-19.61,0.875,997.71,1,2.3,0.875,166.75,1,79.12,1,2.18,3.73,0.875
2010,5,12,-21.8,0.625,994.95,1,2.85,0.75,98.38,1,84.65,1,0.94,22.81,0.75
2010,5,13,-20.3,0.375,986.2,1,7.26,0.625,176.5,1,78.56,1,6.21,359.41,0.625
2010,5,14,-20.18,0.75,995.91,1,NA,0.125,223.12,1,79.63,1,NA,NA,0.125
2010,5,15,-19.61,1,988.16,1,6.25,0.5,96.88,1,85.8,1,5.97,39.57,0.5
2010,5,16,-21.9,0.875,966.65,1,6.17,0.375,152.33,0.75,79.76,1,2.04,213.94,0.375
2010,5,17,-19.86,1,969.89,1,8.9,0.25,276,0.375,81.51,1,6.66,277.15,0.25
2010,5,18,-21.79,1,977.43,1,7.38,0.625,237.5,1,81.48,1,7.35,235.36,0.625
2010,5,19,-22.59,1,978.9,1,9.76,0.875,237.62,1,81.41,1,9.7,238.82,0.875
2010,5,20,-23.7,1,989.83,1,9.15,0.75,183,1,79.31,1,4.55,268.67,0.75
2010,5,21,-21.66,1,982.68,1,9.15,0.25,198,1,84.13,1,2.32,177.07,0.25
2010,5,22,-25.5,0.5,977.39,1,6.92,0.5,156.12,1,82.31,1,3.93,27.47,0.5
2010,5,23,-13.55,0.5,978.84,1,NA,0.125,232.25,1,78.19,1,NA,NA,0.125
2010,5,24,-8.2,0.625,976.06,1,NA,0.125,167.62,1,87.73,1,NA,NA,0.125
2010,5,25,-9.1,0.75,970.36,1,15.94,0.625,245.43,0.875,80.33,1,15.72,251.2,0.625
2010,5,26,-1.81,0.875,973.86,1,10.3,0.625,276.25,1,47.91,1,10.18,272.64,0.625
2010,5,27,-0.48,0.625,947.81,1,11.2,0.5,245.38,1,67.36,1,9.91,348.33,0.5
2010,5,28,-8.4,0.5,948.84,1,13.3,0.625,251,1,77.6,1,13.13,249.7,0.625
2010,5,29,-10.56,1,961.64,1,9.85,0.25,241.75,1,73.61,1,5.47,284.94,0.25
2010,5,30,-15.4,0.75,971.7,1,6.78,0.5,265.75,1,75.79,1,5.61,252.03,0.5
2010,5,31,1.46,0.875,976.38,1,9.57,0.875,315.12,1,53.24,1,9.27,311.02,0.875
2010,6,1,3.75,0.25,974.46,1,9.67,0.75,242.38,1,61.19,1,6.81,277.34,0.75
2010,6,2,0.34,0.875,969.21,1,10.5,0.625,171.5,1,69.38,1,4.69,347.2,0.625
2010,6,3,1.64,1,977.74,1,12.22,0.75,287.5,1,64.38,1,11.34,329.75,0.75
2010,6,4,-0.27,1,977.06,1,9.39,1,281.88,1,63.03,1,8.1,280.63,1
2010,6,5,-2.9,1,981.03,1,7.9,0.75,292.75,1,53.28,1,6.97,280.64,0.75
2010,6,6,-6.65,0.75,984.43,1,4.45,0.75,226.5,1,74.3,1,3.25,325.34,0.75
2010,6,7,-3.15,0.75,988.08,1,5.82,0.5,270.38,1,36.48,1,3.84,329.8,0.5
2010,6,8,2.34,1,985.75,1,9.36,0.625,305.38,1,49.55,1,8.38,300.86,0.625
2010,6,9,0.92,1,970.48,1,10.47,0.5,288.88,1,69,1,8.85,279.86,0.5
2010,6,10,-3.06,0.875,973.57,1,9,1,287,1,51.51,1,7.74,286.48,1
2010,6,11,0.95,1,974.4,1,9.88,0.75,320.25,1,64.11,1,9.5,321.22,0.75
