Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1994,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1994,2,21,NA,0.125,825.55,0.25,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1994,2,22,NA,0.125,830.38,1,2.12,0.75,35.17,0.75,NA,0,1.77,48.99,0.75
1994,2,23,-27.55,0.25,835.06,1,4.3,0.875,269.12,1,NA,0,4.23,352.13,0.875
1994,2,24,-26.5,0.375,833.66,1,2.77,0.875,68.43,0.875,NA,0,2.63,16.87,0.875
1994,2,25,-25.33,0.375,828.62,1,3.65,1,56.5,1,NA,0,2.84,55.42,1
1994,2,26,-20.28,0.75,814.98,1,4.87,0.375,128.88,1,NA,0,4.04,112.6,0.375
1994,2,27,-14.7,1,817.42,1,15.92,0.75,145.25,1,NA,0,15.64,12.58,0.75
1994,2,28,-20.96,0.875,828.58,1,5.2,0.75,266.88,1,NA,0,5.09,355.9,0.75
1994,3,1,-18.64,1,834.89,1,11.21,1,268.62,1,NA,0,11.18,358.8,1
1994,3,2,-14.3,1,840.94,1,10.75,0.75,258.12,1,NA,0,10.48,349.35,0.75
1994,3,3,-10.74,1,836.95,1,10.37,0.375,351.75,1,NA,0,10.08,351.61,0.375
1994,3,4,-10.32,1,829.88,1,20.03,0.375,179.75,1,NA,0,20.01,357.54,0.375
1994,3,5,-8.42,0.75,825.57,0.75,11.03,0.75,127.5,0.75,NA,0,10.95,7.61,0.75
1994,3,6,-13.22,0.625,814.51,0.875,1.6,0.5,139.86,0.875,NA,0,0.54,240.5,0.5
1994,3,7,-13.83,0.75,816,1,4.9,0.75,244.62,1,NA,0,3.29,295.54,0.75
1994,3,8,-11.28,1,815.66,1,6.21,1,332.5,1,NA,0,6.04,331.21,1
1994,3,9,-17.37,0.875,813.81,1,2.59,1,212.12,1,NA,0,1.65,351.83,1
1994,3,10,-22.15,0.75,814.81,0.875,1.41,0.875,211.29,0.875,NA,0,0.46,35.67,0.875
1994,3,11,-19.3,0.625,817.73,0.875,4.04,0.875,230.86,0.875,NA,0,3.12,7.28,0.875
