Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2002,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,1,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,2,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2002,3,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
