Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2013,3,22,2.4,0.25,973,0.25,2.65,0.25,128.5,0.25,56.85,0.25,1.95,182.66,0.25
2013,3,23,0.75,1,985.79,1,1.4,1,135.75,1,75.65,1,0.41,210.34,1
2013,3,24,-0.25,1,998.32,1,1.39,1,162.62,1,69.69,1,0.51,157.95,1
2013,3,25,-1.09,1,991.89,1,1.18,0.625,160.2,0.625,81.46,1,0.36,56.6,0.625
2013,3,26,0.35,1,979.75,1,1.43,0.375,130,0.375,90.94,1,0.51,107.96,0.375
2013,3,27,0.61,1,984.89,1,1.2,1,141.88,1,72.76,1,0.09,133.2,1
2013,3,28,-1.15,1,988.15,1,1.68,1,115.75,1,78.81,1,0.98,96.84,1
2013,3,29,-1.38,1,988.06,1,2.08,1,233.88,1,87.91,1,1.4,265.7,1
2013,3,30,-2.51,1,996.99,1,1.43,1,202,1,84.44,1,0.8,289.59,1
2013,3,31,-2.96,1,997.02,1,1.36,1,157.38,1,76.66,1,0.74,123.91,1
2013,4,1,-0.3,0.875,983.55,1,1.64,0.875,170.71,0.875,90.7,1,0.3,95.59,0.875
2013,4,2,2.59,1,977.15,1,3.97,0.875,207.5,1,70.83,1,3.52,250.94,0.875
2013,4,3,1.25,1,970.56,1,1.19,1,205.25,1,85.4,1,0.4,216.05,1
2013,4,4,-0.29,1,973.9,1,1.01,0.875,118.71,0.875,80.95,1,0.44,95.29,0.875
2013,4,5,-0.5,1,972.18,1,2.51,0.875,98.12,1,73.89,1,2.09,51.93,0.875
2013,4,6,1.54,1,959.56,1,3.3,0.75,91.14,0.875,79.29,1,2.74,56.71,0.75
2013,4,7,-1.85,1,964.36,1,1.56,0.625,245.2,0.625,86.12,1,1.11,311.51,0.625
2013,4,8,-0.59,1,974.66,1,1.65,0.25,274.5,0.25,81.83,1,1.25,252.66,0.25
2013,4,9,2.69,1,977.25,1,4.46,0.875,251.12,1,90.56,1,4.23,338.42,0.875
2013,4,10,1.39,1,980.46,1,2.86,0.875,246.12,1,91.74,1,1.81,245.77,0.875
2013,4,11,0.61,1,993.72,1,2.2,0.625,169.14,0.875,80.4,1,1.54,11.76,0.625
2013,4,12,1.95,1,1004.06,1,1.21,1,152.75,1,81.9,1,0.95,141.56,1
