Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2012,12,24,-20.1,0.5,717,0.5,6.13,0.375,70,0.5,68,0.5,6.11,75.31,0.375
2012,12,25,-17.8,0.75,720,1,6.46,1,72,1,65.88,1,6.21,67.45,1
2012,12,26,-20.38,0.625,712.25,1,7.03,1,75.75,1,63,1,6.99,75.63,1
2012,12,27,-20.74,0.875,710.75,1,7.03,0.875,61,1,69.63,1,6.86,61.48,0.875
2012,12,28,-22.47,0.75,711,1,6.8,1,68.38,1,64.88,1,6.69,66.07,1
2012,12,29,-22.6,0.5,711.5,1,4.41,1,72.5,1,60.75,1,4.25,70.16,1
2012,12,30,-22.6,0.5,709.63,1,3.88,1,87,1,59.63,1,3.83,85.97,1
2012,12,31,-23.56,0.625,708.25,1,6.7,1,85.5,1,60.5,1,6.66,84.96,1
2013,1,1,-23.04,0.875,711,1,7.86,1,87.14,0.875,65.13,1,7.93,85.4,0.875
2013,1,2,-19.47,0.75,709,1,5.81,0.875,150.62,1,71.43,0.875,4.69,46.77,0.875
2013,1,3,-16,0.5,714.19,1,2.89,1,127.57,0.875,68.88,1,2.16,33.46,0.875
2013,1,4,-16.43,0.75,714,1,7.91,1,47.75,1,75.25,1,7.71,46.76,1
2013,1,5,-16.45,0.75,710.5,1,5.34,0.875,32.71,0.875,74.94,1,4.76,26.81,0.75
2013,1,6,-16.09,1,713.75,1,5.48,1,30.75,1,74.88,1,5.32,34.77,1
2013,1,7,-15.41,1,712.88,1,7,0.75,44.88,1,77.13,1,6.94,39.75,0.75
2013,1,8,-15.16,1,713.5,1,8.41,1,40.38,1,77,1,8.27,40.87,1
2013,1,9,-17.1,0.75,713.38,1,8.72,1,67.12,1,67.63,1,8.72,67.08,1
2013,1,10,-18.48,0.75,711.75,1,6.61,1,68.62,1,66.88,1,6.5,67.78,1
2013,1,11,-17.77,0.75,706.38,1,5.4,1,70.88,1,64.13,1,5.3,70.27,1
2013,1,12,-22.61,1,702.13,1,7.63,0.875,59,0.875,69.75,1,7.29,57.38,0.75
2013,1,13,-20.92,0.625,702.88,1,6.59,1,71.88,1,67.13,1,6.33,70.66,1
2013,1,14,-20.23,0.375,702.63,1,8.3,1,57.5,1,68.88,1,7.97,56.2,1
2013,1,15,-17.72,0.75,708.63,1,8.79,1,43.38,1,74.25,1,8.52,43.85,1
2013,1,16,-18.8,0.625,711.13,1,9.28,1,56.25,1,72.25,1,9.19,55.23,1
2013,1,17,-17.4,0.875,710,1,5.31,1,63.75,1,69.63,1,5.17,63.79,1
2013,1,18,-16.71,1,704.13,1,3.32,1,38.88,1,74.5,1,2.99,40.31,1
2013,1,19,-19.09,0.875,705.63,1,4.58,1,110,1,74.63,1,4.1,24.47,1
2013,1,20,-19.71,0.875,706.88,1,2.62,1,151.38,1,76.63,1,2.36,10.85,1
2013,1,21,-22,0.625,706.31,1,3.56,1,100.57,0.875,71.38,1,3.16,55.96,0.875
2013,1,22,-26.7,0.625,705.88,1,5.65,1,59.75,1,67.88,1,5.3,62.99,1
