Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2011,1,13,-3.23,0.375,983.35,0.75,2.98,0.75,167.5,0.75,68,0.75,2.86,165.96,0.75
2011,1,14,-3.3,1,989.82,1,4.1,0.75,174.25,1,76.84,1,3.33,157.47,0.75
2011,1,15,-1.98,0.75,990.68,1,3.81,1,190.5,1,68.03,1,3.31,178.5,1
2011,1,16,-2.25,1,988.6,1,15.22,0.75,143.88,1,81.67,1,15.19,142.14,0.75
2011,1,17,-2.88,1,992.88,1,12.2,1,140.75,1,81.62,1,12.19,140.69,1
2011,1,18,-3.86,1,994.34,1,6.36,0.875,152.12,1,73.59,1,6.18,147.64,0.875
2011,1,19,-4.54,0.625,993.81,1,2.85,1,109.25,1,74.62,1,1.35,118.37,1
2011,1,20,-11.43,0.75,993.05,1,3.16,1,188.25,1,90.59,1,1.79,124.49,1
2011,1,21,-11.45,0.75,987.11,1,3.44,1,223.38,1,85.3,1,0.8,319.47,1
