Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,12,7,-9.63,0.375,899.8,0.75,2.22,0.75,138.33,0.75,62.77,0.75,1.03,47.84,0.75
2014,12,8,-9.38,0.75,897.8,1,4.12,0.5,150.12,1,56.51,1,2.57,178.4,0.5
2014,12,9,-7.83,0.75,898.68,1,2.55,0.5,237.38,1,72.18,1,2.01,245.52,0.5
2014,12,10,NA,0.125,905.09,1,1.66,0.875,96.38,1,66.05,1,0.37,51.18,0.875
2014,12,11,-6.75,0.25,905.7,1,1.53,0.875,87.14,0.875,84.61,1,1.28,36.46,0.875
2014,12,12,-8.14,0.625,911.01,1,3.51,1,172.75,1,79.8,1,3.42,167.29,1
2014,12,13,-7.65,0.5,916.61,1,2.5,1,186.25,1,82.94,1,1.64,151.48,1
2014,12,14,-5.72,0.5,918.38,1,2.46,1,145.75,1,64.89,1,1.29,140.27,1
2014,12,15,-5.97,0.5,913.16,1,5.38,0.75,182.88,1,61.43,1,4.34,188.44,0.75
2014,12,16,-6.13,0.75,908.81,1,2.17,0.875,168.38,1,76.06,1,0.52,5.91,0.875
2014,12,17,-7.3,0.625,916.84,1,2.75,1,67.88,1,80.31,1,0.82,37.91,1
2014,12,18,NA,0.125,918.79,1,1.41,1,122.62,1,87.11,1,1.07,39.82,1
2014,12,19,NA,0.125,915.9,1,1.34,1,150.12,1,57.03,1,0.75,24.4,1
2014,12,20,-3.17,0.875,910.16,1,3.5,0.5,159.5,1,46.15,1,1.24,179.57,0.5
2014,12,21,-7.06,0.625,910.22,1,1.87,0.875,56.38,1,82.83,1,1.81,10.85,0.875
2014,12,22,NA,0.125,907.42,1,1.1,1,89.12,1,77.26,1,0.62,111.72,1
2014,12,23,-7.32,0.625,911.95,1,2.13,0.875,80.86,0.875,86.48,1,1.9,26.17,0.875
2014,12,24,-7.28,0.625,910.6,1,4.1,0.875,163.88,1,69.61,1,2.53,198.41,0.875
2014,12,25,-4.35,0.25,907.92,1,1.3,0.875,86.75,1,42.21,1,1.25,29.36,0.875
2014,12,26,-6.44,0.875,905.15,1,5.78,0.5,155.12,1,60.06,1,3.57,207.19,0.5
2014,12,27,-2.55,0.25,911.38,1,1.39,1,86,1,43.04,1,1.26,43.69,1
2014,12,28,NA,0.125,910.75,1,1.26,1,82.25,1,71.99,1,0.67,56.03,1
2014,12,29,-3.25,0.25,911.22,1,1.64,1,94.12,1,63.51,1,1.11,29.42,1
2014,12,30,-5.65,1,913.22,1,4.72,0.75,169.12,1,62.47,1,4.63,174.21,0.75
2014,12,31,-6.58,0.75,914.4,1,2.44,1,91.38,1,83.64,1,2.21,51.35,1
2015,1,1,-7.42,1,910.69,1,4.51,1,136.25,1,81.99,1,0.01,6.9,1
2015,1,2,-6.85,1,906.91,1,8.39,1,185,1,78.51,1,8.26,183.47,1
2015,1,3,-4.51,0.875,909.5,1,9.2,0.75,217,1,48.28,1,8.83,201.86,0.75
2015,1,4,-1.14,0.625,913.29,1,3.75,0.5,196.25,1,45.6,1,2.89,211.25,0.5
2015,1,5,NA,0.125,912.76,1,1.24,1,86,1,75.5,1,0.97,90.94,1
2015,1,6,-4.1,0.25,911.05,1,1.24,0.875,106.25,1,89.41,1,0.35,128.01,0.875
2015,1,7,-3.02,0.75,913.51,1,3.7,0.75,180.12,1,72.65,1,3.04,190.25,0.75
2015,1,8,NA,0.125,913.66,1,0.97,0.75,186.75,1,90.19,1,0.42,47.34,0.75
2015,1,9,-5.94,1,906.42,1,NA,0.125,NA,0.125,89.95,1,NA,NA,0.125
2015,1,10,-6.53,1,905.21,1,NA,0,NA,0,91,1,NA,NA,0
2015,1,11,-5.86,1,908.15,1,NA,0,NA,0,91.18,1,NA,NA,0
2015,1,12,-5.86,1,908.89,1,5.2,0.875,183.86,0.875,90.98,1,5.11,183.08,0.875
2015,1,13,NA,0.125,912.55,1,1.26,1,131.12,1,90.78,1,0.89,148.92,1
