Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,15,-7.68,0.75,836.07,0.75,7.77,0.75,73.83,0.75,88.62,0.75,7.55,74.24,0.75
2010,1,16,-10.31,1,835.49,1,6.1,1,84.5,1,83.21,1,5.95,83.04,1
2010,1,17,-12.7,0.5,834.85,1,3.31,1,107.12,1,82.14,1,3.04,95.43,1
2010,1,18,-13.97,0.5,835.89,1,3.29,1,109.62,1,82.7,1,2.94,90.98,1
2010,1,19,-16.38,0.5,836.71,1,2.26,1,122.12,1,86.19,1,1.11,135.48,1
2010,1,20,-15.6,0.375,833.4,1,2.58,1,146,1,81,1,2.34,131.82,1
2010,1,21,-15.93,0.375,835.29,1,3.25,0.75,107.88,1,83.2,1,3.05,101.2,0.75
2010,1,22,-17.02,0.5,843.1,1,4.64,0.875,116,1,80.88,1,4.09,106.1,0.875
2010,1,23,-19.24,0.625,839.1,1,2.7,1,149.25,1,78.25,1,2.5,142.83,1
2010,1,24,-12.81,1,834.15,1,6.71,1,104.88,1,87.97,1,6.32,100.64,1
2010,1,25,-12.65,1,840.12,1,4.78,1,97.38,1,88.59,1,4.35,95.76,1
2010,1,26,-11.7,1,840.06,1,4.38,1,114.75,1,87.62,1,4.26,114.32,1
2010,1,27,-13.99,0.875,839.2,1,3.17,1,138.12,1,80.22,1,3.11,136.61,1
2010,1,28,NA,0.125,843.38,1,1.82,1,131.12,1,79.36,1,1.58,127.63,1
2010,1,29,-15.3,0.375,845.45,1,1.77,1,123.25,1,80.62,1,1.59,109.97,1
2010,1,30,-19.06,0.625,843,1,2.55,1,217.5,1,81.2,1,1.75,217.47,1
2010,1,31,-18.88,0.5,838.85,1,2.71,1,110.38,1,85.34,1,2.02,97.46,1
2010,2,1,-14.85,1,839.05,1,4.4,0.375,97.25,1,88.83,1,4.22,40.27,0.375
2010,2,2,-16.68,0.625,839.46,1,3.62,1,116.25,1,87.84,1,3.39,112.93,1
2010,2,3,-13.91,0.875,835.82,1,3,1,109,1,87.75,1,2.96,108.58,1
2010,2,4,-15.8,0.375,836.91,1,1.82,1,160.88,1,77.62,1,1.62,149.46,1
2010,2,5,-15.9,0.375,846.89,1,2.21,1,130.5,1,83.49,1,1.37,79.91,1
2010,2,6,-14.75,0.25,847.69,1,1.3,1,146.88,1,82.74,1,0.89,136.75,1
2010,2,7,-19.63,0.375,837.12,1,2.98,1,190.62,1,75.08,1,2.75,185.61,1
2010,2,8,-21.7,0.5,835.05,1,3.89,1,162.88,1,74.99,1,3.63,161.56,1
2010,2,9,-16.9,0.5,843.16,1,4.35,1,72.62,1,87,1,4.14,62.26,1
2010,2,10,-18.6,0.375,846.42,1,2.34,1,90.62,1,85.97,1,1.34,33.06,1
2010,2,11,-18.6,0.25,844.41,1,2.39,1,129.62,1,79.19,1,2.29,130.73,1
2010,2,12,-17.04,0.625,845.51,1,2.85,1,146.38,1,84.08,1,2.72,141.65,1
2010,2,13,NA,0.125,846.36,1,1.24,1,187.25,1,85.61,1,0.54,206.13,1
2010,2,14,-23.8,0.625,847.48,1,2.42,1,125.25,1,84.94,1,2.28,130.08,1
2010,2,15,-15.99,1,841.05,1,4.26,1,116.25,1,86.04,1,4.07,116.53,1
2010,2,16,-17.02,0.5,837.71,1,2.9,1,186,1,82.03,1,2.42,178.26,1
2010,2,17,-17.92,0.75,839.32,1,2.7,1,254.38,1,81.11,1,2.45,254.58,1
2010,2,18,-26.1,0.25,841.88,1,3.1,1,172.25,1,72.8,1,2.62,181.23,1
2010,2,19,-17.4,0.625,841.88,1,3.47,1,43.5,1,81.35,1,3.42,43.13,1
2010,2,20,-10.95,1,838.55,1,7.94,0.625,87.38,1,91.61,1,5.38,18.7,0.625
2010,2,21,-10.65,1,830.58,1,8.86,0.875,86.88,1,90.76,1,8.78,84.92,0.875
2010,2,22,-13.76,1,831.46,1,8.31,1,89,1,89.33,1,8.27,88.69,1
2010,2,23,-11.01,1,829.64,1,9.46,1,76.12,1,91.01,1,8.87,78.19,1
2010,2,24,-12.28,1,834.39,1,5.97,1,80.88,1,89.72,1,5.44,76.18,1
2010,2,25,-17.31,1,835.35,1,4.7,0.75,136.62,1,88.16,1,2.88,91.15,0.75
2010,2,26,-25.48,0.625,830.54,1,5.53,0.875,199.88,1,83.42,1,5.09,202.92,0.875
2010,2,27,-23.25,0.25,827.6,1,1.46,1,154.88,1,82.94,1,0.92,146.09,1
2010,2,28,-21.6,0.75,828.75,1,2.51,1,74.5,1,82.22,1,2.16,54.64,1
2010,3,1,-21.38,1,831.04,1,2.35,1,113.12,1,85.94,1,1.99,104.33,1
2010,3,2,-21.64,0.875,834.96,1,2.66,1,127.38,1,86.8,1,2.46,135.04,1
2010,3,3,-20.22,0.75,836.48,1,2.33,1,128.75,1,86.51,1,1.78,141.16,1
2010,3,4,-22.61,1,834.26,1,9.31,0.875,129.62,1,85.67,1,5.77,125.04,0.875
2010,3,5,-21.95,0.75,829.26,1,5.45,0.75,106.62,1,87.33,1,5.39,94.56,0.75
