Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2004,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,2,3,NA,0.125,NA,0.125,NA,0,NA,0,NA,0.125,NA,NA,0
2004,2,4,-15.34,0.625,986.01,1,NA,0,NA,0,70.01,1,NA,NA,0
2004,2,5,-14.55,0.5,995.08,1,NA,0,NA,0,62.36,1,NA,NA,0
2004,2,6,-15.6,0.75,997.25,1,NA,0,NA,0,80.4,1,NA,NA,0
2004,2,7,-13.2,1,995.82,1,NA,0,NA,0,81.22,1,NA,NA,0
2004,2,8,-17.76,0.625,996.2,1,NA,0,NA,0,75.51,1,NA,NA,0
2004,2,9,-14.07,0.875,987.5,1,NA,0,NA,0,71.65,1,NA,NA,0
2004,2,10,-16.51,1,981.35,1,NA,0,NA,0,85.03,1,NA,NA,0
2004,2,11,-21.3,0.875,980.4,1,NA,0,NA,0,77.36,1,NA,NA,0
2004,2,12,-21.98,1,981.8,1,NA,0,NA,0,72.11,1,NA,NA,0
2004,2,13,-21.38,0.625,983.31,1,NA,0,NA,0,74.15,1,NA,NA,0
2004,2,14,-22.22,0.75,989.2,1,NA,0,NA,0,76.61,1,NA,NA,0
2004,2,15,-14.22,0.75,993.06,1,NA,0,NA,0,92.28,1,NA,NA,0
2004,2,16,-16.8,1,991.7,1,NA,0,NA,0,85.3,1,NA,NA,0
2004,2,17,-14.61,0.875,985.91,1,NA,0,NA,0,91.3,1,NA,NA,0
2004,2,18,-16.1,0.75,997.61,1,NA,0,NA,0,79.8,1,NA,NA,0
2004,2,19,-11.19,1,999.3,1,NA,0,NA,0,84.1,1,NA,NA,0
2004,2,20,-16.64,0.625,998.8,1,NA,0,NA,0,81.28,1,NA,NA,0
2004,2,21,-21.73,0.5,1005.3,1,NA,0,NA,0,73.21,1,NA,NA,0
2004,2,22,-15.98,0.625,1008.24,1,NA,0,NA,0,90.25,1,NA,NA,0
2004,2,23,-12,0.625,1003.12,1,NA,0,NA,0,85.14,1,NA,NA,0
2004,2,24,-12.2,1,992.89,1,NA,0,NA,0,91.62,1,NA,NA,0
2004,2,25,-24.3,0.75,987.99,1,NA,0,NA,0,79.65,1,NA,NA,0
2004,2,26,-21.54,0.875,984.29,1,NA,0,NA,0,76.72,1,NA,NA,0
2004,2,27,-16.71,0.875,980.32,1,NA,0,NA,0,81.28,1,NA,NA,0
