Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,13,-6.82,1,916.5,1,4.72,0.5,147,1,62.3,1,2.94,122.57,0.5
2010,1,14,-4.32,1,917.08,1,5.61,1,131,1,64.45,1,4.15,107.27,1
2010,1,15,-4.62,1,913.11,1,7.81,0.875,108.62,1,67.03,1,6.4,89.81,0.875
2010,1,16,-5.6,1,908.58,1,9.32,0.75,203.38,1,65.72,1,9.25,207.82,0.75
2010,1,17,-6.71,0.875,906.16,1,8.6,0.375,210.62,1,64.26,1,8.24,200.72,0.375
2010,1,18,-9.81,1,911.01,1,9.94,1,197.25,1,75.56,1,9.82,196.77,1
2010,1,19,-9.21,1,909.11,1,9.03,1,194.25,1,75.66,1,8.86,193.79,1
2010,1,20,-10.79,1,906.54,1,4.15,1,181.88,1,85.31,1,3.95,186.19,1
2010,1,21,-12,1,914.29,1,5.32,0.625,185,1,90.85,1,3.67,166.72,0.625
2010,1,22,-11.55,1,919.78,1,8.1,1,184.5,1,84.96,1,8.09,184.25,1
2010,1,23,-9.91,1,915.21,1,9.15,1,187.88,1,80.25,1,9.1,188.06,1
2010,1,24,-9.12,1,914.1,1,9.32,1,185.75,1,78.54,1,9.32,185.75,1
2010,1,25,-8.84,1,916.18,1,10.71,1,194.5,1,77.79,1,10.64,194.38,1
2010,1,26,-7.88,1,910.72,1,14.85,0.75,202.38,1,71.95,1,14.83,204.33,0.75
2010,1,27,-11.26,1,910.49,1,15.13,0.375,187.25,1,71.3,1,15.13,185.58,0.375
2010,1,28,-12.05,1,917.19,1,14.14,0.875,203.25,1,75.85,1,13.9,200.77,0.875
2010,1,29,-9.88,1,918.39,1,9.1,1,206.62,1,75.03,1,9.08,206.78,1
2010,1,30,-9.82,1,914.76,1,9.74,0.875,214.25,1,67.86,1,9.68,212.26,0.875
2010,1,31,-10.28,1,910.28,1,10.12,1,219.88,1,66.92,1,9.9,217.95,1
