Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1991,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1991,1,26,NA,0.25,NA,0.375,NA,0.375,NA,0.375,NA,0,NA,NA,0.375
1991,1,27,-13.24,0.875,812.49,1,4.8,1,310,1,NA,0,4.78,354.66,1
1991,1,28,-12.5,0.75,812.22,1,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1991,1,29,NA,0.375,811.2,1,NA,0.625,249.12,1,NA,0,NA,NA,0.625
1991,1,30,-14.58,0.75,805.8,1,3.78,1,106.62,1,NA,0,2.29,102.79,1
1991,1,31,-18.06,0.875,811.56,1,NA,0.5,27.75,1,NA,0,NA,NA,0.5
1991,2,1,-14.47,0.875,814.69,1,8.11,0.875,37.88,1,NA,0,8.09,35.92,0.875
1991,2,2,NA,0.375,811.86,1,3.31,1,191.88,1,NA,0,3.21,16.15,1
1991,2,3,NA,0.5,817.5,1,6.16,1,39.88,1,NA,0,5.84,37.08,1
1991,2,4,-11.1,0.875,821.89,1,3.99,0.875,72.75,1,NA,0,3.6,60.6,0.875
1991,2,5,-10.78,1,819.39,1,4.94,1,162.88,1,NA,0,4.2,349.4,1
1991,2,6,NA,0.5,816.31,1,2.15,1,178.5,1,NA,0,2.02,187.05,1
1991,2,7,-15.89,1,822.41,1,4.71,1,36,1,NA,0,4.31,31.39,1
1991,2,8,NA,0.5,823.4,1,3.35,1,77.12,1,NA,0,2.67,73.9,1
1991,2,9,NA,0.25,813.2,1,3.65,1,128.5,1,NA,0,2.8,105.66,1
1991,2,10,NA,0.5,809.98,1,4.58,1,333.5,1,NA,0,4.37,335.59,1
1991,2,11,NA,0.375,814.24,1,4.85,1,14.38,1,NA,0,4.81,13.79,1
1991,2,12,-16.49,1,816.64,1,3,0.75,128.17,0.75,NA,0,2.95,10.82,0.75
1991,2,13,-16.06,0.875,816.02,1,5.54,1,297.38,1,NA,0,5.43,340.66,1
1991,2,14,-16.09,1,811.6,1,5.9,1,329,1,NA,0,5.75,330.33,1
1991,2,15,-15.81,1,809.61,1,4.74,1,328.62,1,NA,0,4.58,329.88,1
1991,2,16,-15.21,1,810.96,1,5.31,1,292,1,NA,0,4.92,345.93,1
1991,2,17,-15.54,0.875,812.39,1,2.87,0.875,320,0.875,NA,0,2.82,319.81,0.875
1991,2,18,-18.51,1,816.38,1,2.9,1,159.25,1,NA,0,1.4,55.84,1
1991,2,19,-19.53,0.75,819.64,1,5.97,0.75,19.71,0.875,NA,0,5.95,19.2,0.75
1991,2,20,-15.8,0.75,826.74,1,5.21,1,78.62,1,NA,0,4.7,30.97,1
1991,2,21,-13.41,0.875,814.22,1,6.06,0.875,40.5,1,NA,0,5.87,41.46,0.875
1991,2,22,-15.69,0.875,811.62,1,13.67,0.75,29,1,NA,0,13.63,30.02,0.75
1991,2,23,-17.76,1,815.9,1,7.17,0.875,27.12,1,NA,0,7.13,29.49,0.875
1991,2,24,NA,0.5,812.2,1,7.59,0.875,28.75,1,NA,0,7.56,30.19,0.875
1991,2,25,NA,0.5,810.7,1,6.8,1,105,1,NA,0,6.65,17.82,1
1991,2,26,NA,0.5,810.6,1,4.15,1,27.12,1,NA,0,4.02,23.4,1
1991,2,27,NA,0.375,803.64,1,4.76,1,183.62,1,NA,0,4.65,5.3,1
1991,2,28,NA,0.625,799.91,1,5.04,1,NA,0.625,NA,0,NA,NA,0.625
1991,3,1,NA,0.625,807.14,1,5.81,1,183.62,1,NA,0,5.75,3.52,1
1991,3,2,NA,0.625,813.01,1,4.24,0.875,117.43,0.875,NA,0,4.14,9.75,0.875
1991,3,3,NA,0.5,812.8,1,4.84,1,19.38,1,NA,0,4.76,18.84,1
1991,3,4,-17.69,1,811.69,1,7.79,1,100.62,1,NA,0,7.68,10.38,1
1991,3,5,-13.21,1,811.01,1,5.46,1,268.62,1,NA,0,5.3,358.72,1
1991,3,6,-13.43,1,809.36,1,4.44,1,61.38,1,NA,0,4.36,17.79,1
