Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,2,4,NA,0.5,973,0.75,3.08,0.75,201,0.75,69.67,0.75,2.83,200.85,0.75
1999,2,5,NA,0.25,965.66,0.875,NA,0.625,206,0.75,73.43,0.875,NA,NA,0.5
1999,2,6,NA,0.5,968.49,0.875,3.31,0.875,192,0.875,77.43,0.875,3.02,207.88,0.875
1999,2,7,NA,0.5,966.13,0.75,NA,0.625,209,0.75,74,0.75,NA,NA,0.625
1999,2,8,NA,0.375,NA,0.625,NA,0.625,NA,0.625,NA,0.5,NA,NA,0.625
1999,2,9,NA,0.375,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1999,2,10,NA,0.625,984.49,0.875,5.21,0.875,210,0.875,74.57,0.875,5.11,205.31,0.875
1999,2,11,NA,0.625,975.9,1,6.24,1,208.5,1,69.75,1,5.9,200.01,1
1999,2,12,NA,0.125,986.03,0.75,2.42,0.75,245,0.75,63.33,0.75,2.35,249.12,0.75
1999,2,13,NA,0.25,980.73,0.75,NA,0.5,222,0.75,68.67,0.75,NA,NA,0.5
1999,2,14,NA,0.375,982.37,0.875,2.71,0.875,236.57,0.875,64.86,0.875,2.48,221.48,0.875
1999,2,15,NA,0.5,989.43,0.75,3.15,0.75,233,0.75,70.67,0.75,2.93,222.18,0.75
1999,2,16,NA,0.25,986.37,0.75,3.7,0.75,283,0.75,61.33,0.75,3.14,283.65,0.75
1999,2,17,NA,0.5,986.7,0.75,5.08,0.75,219,0.75,67.33,0.75,5.06,217.97,0.75
1999,2,18,NA,0.375,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1999,2,19,NA,0.125,985.17,0.75,2.9,0.75,227,0.75,66,0.75,2.82,226.9,0.75
1999,2,20,NA,0.375,987.63,0.875,1.97,0.875,220.29,0.875,72.57,0.875,1.87,217.76,0.875
1999,2,21,NA,0.25,986.7,0.75,1.62,0.75,271,0.75,75,0.75,1.25,263.92,0.75
1999,2,22,NA,0.375,988.1,1,2.69,1,231,1,69.75,1,2.44,232.4,1
1999,2,23,NA,0.375,985,0.875,4.34,0.875,216,0.875,72,0.875,4.27,214.06,0.875
1999,2,24,NA,0.625,984.34,0.875,NA,0.625,222.86,0.875,68.86,0.875,NA,NA,0.625
1999,2,25,NA,0.5,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1999,2,26,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1999,2,27,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1999,2,28,-4.45,0.875,978.63,0.875,7.33,0.75,216,0.75,88.29,0.875,NA,NA,0.625
