Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2008,1,17,-23.09,1,760.43,1,6.68,1,82.88,1,68.08,1,6.56,83.72,1
2008,1,18,-22.71,0.875,765.91,1,3.09,1,66.25,1,67.64,1,3.04,65.78,1
2008,1,19,NA,0,764.69,1,1.05,1,233.25,1,66.19,1,0.5,269.62,1
2008,1,20,-25.27,0.75,761.88,1,3.52,1,66.62,1,70.69,1,3.43,64.36,1
2008,1,21,-24.14,1,762.13,1,5.14,1,55.12,1,74.3,1,5.11,54.66,1
2008,1,22,-26.07,1,762.74,1,5.61,1,63.5,1,70.56,1,5.57,62.99,1
2008,1,23,-26.66,1,766.19,1,4.36,1,50.38,1,70.16,1,4.06,55.23,1
2008,1,24,-26.58,1,765.16,1,5.34,1,65,1,70.7,1,5.27,65.05,1
2008,1,25,-27.96,0.875,761.6,1,4.94,1,57.5,1,69.04,1,4.6,55.59,1
2008,1,26,-26.75,1,761.24,1,7.28,1,58.62,1,72.16,1,7.2,57.18,1
2008,1,27,-24.44,1,760.37,1,7.92,1,51,1,76.29,1,7.83,51.01,1
2008,1,28,-24.8,1,758.33,1,7.51,1,59.75,1,74.76,1,7.36,59.85,1
2008,1,29,-24.09,0.875,758.43,1,3.93,0.875,187.12,1,77.31,1,2.01,20.72,0.875
2008,1,30,NA,0.625,762.39,1,2.2,1,83.25,1,70.86,1,1.69,45.13,1
2008,1,31,-30.3,1,761.28,1,4.81,1,90.88,1,67.64,1,4.75,92.35,1
2008,2,1,NA,0.375,759.4,1,2.08,1,78,1,74.12,1,1.82,74.35,1
2008,2,2,NA,0.625,760.09,1,1.84,1,245,1,74.4,1,1.71,331.91,1
2008,2,3,NA,0.625,761.51,1,1.95,1,86.88,1,72.35,1,1.74,78.62,1
2008,2,4,-32.57,0.875,759.89,1,4.84,1,64.5,1,65.24,1,4.7,63.5,1
2008,2,5,-28.35,1,755.86,1,6.39,1,50.12,1,72.49,1,6.37,49.87,1
2008,2,6,-29.53,1,755.8,1,5.12,1,63.25,1,68.11,1,5.11,63.31,1
2008,2,7,-31.31,1,759.68,1,3.71,1,72.25,1,66.27,1,3.63,71.7,1
2008,2,8,-33.57,0.875,754.02,1,4.7,1,88.88,1,61.86,1,4.56,89.7,1
2008,2,9,NA,0.625,753.24,1,6.2,0.875,53.88,1,67.08,1,6.09,49.93,0.875
2008,2,10,-32.33,0.875,755.43,1,6.82,1,71.62,1,67.79,1,6.75,70.39,1
2008,2,11,-29.65,1,756.06,1,7.18,1,62.38,1,71.15,1,7.15,62.27,1
2008,2,12,-31.37,0.875,761.32,1,6.16,1,68.12,1,68.76,1,6.15,67.63,1
2008,2,13,-29.36,1,764.29,1,8.43,1,69.12,1,68.08,1,8.41,68.95,1
2008,2,14,-28.69,1,765.9,1,9.01,1,63.5,1,61.21,1,8.71,64.23,1
2008,2,15,-30.85,1,767.34,1,10.55,1,63.75,1,66.69,1,10.53,63.9,1
2008,2,16,-32.93,1,769.86,1,6.38,1,72.88,1,63,1,6.36,72.77,1
2008,2,17,-30.95,1,765.59,1,7.65,1,79.62,1,61.39,1,7.64,79.41,1
2008,2,18,-31.24,1,758.21,1,7.8,1,70.88,1,63.18,1,7.71,71.41,1
2008,2,19,-30.01,1,760.93,1,8.68,1,60.38,1,66.48,1,8.52,62.84,1
2008,2,20,NA,0.625,760.99,1,9.41,1,66.38,1,75.39,1,9.38,66.83,1
2008,2,21,-23.34,1,764.91,1,9.01,1,74,1,77.8,1,8.87,75.24,1
2008,2,22,-26.61,1,761.05,1,10.75,1,78.62,1,67.55,1,10.72,78.56,1
2008,2,23,NA,0.5,763.74,1,4.11,1,54,1,71.93,1,3.96,65.74,1
2008,2,24,-24.51,0.875,763.1,1,3.13,0.875,99.43,0.875,78.58,1,2.66,59.09,0.875
2008,2,25,-32.26,0.875,761.45,1,2.91,1,94.38,1,69.89,1,2.48,55.49,1
2008,2,26,-34.25,0.75,765.71,1,3.67,1,330.12,1,69,1,3.47,328.42,1
2008,2,27,-30.72,1,767.43,1,5.56,1,80.38,1,71.41,1,4.98,40.61,1
2008,2,28,-33.05,1,765.76,1,4.6,1,38.25,1,68.88,1,4.54,39.51,1
2008,2,29,NA,0.375,762.63,1,3.2,1,193.25,1,68.03,1,2.45,323.59,1
2008,3,1,NA,0.25,758.53,1,5.49,1,106.5,1,59.54,1,5.32,101.74,1
2008,3,2,NA,0,756.16,1,8.69,0.875,96.12,1,57.99,1,8.53,94.48,0.875
2008,3,3,NA,0.5,754.95,1,10.36,1,92.38,1,62.07,1,10.31,92.83,1
2008,3,4,-34.55,1,763.13,1,9.31,1,81.88,1,67,1,9.26,81.88,1
2008,3,5,-34.58,1,760.46,1,9.25,1,72.38,1,67.5,1,9.2,72.17,1
2008,3,6,-35.16,1,758.53,1,10.62,1,75.5,1,66.39,1,10.59,75.59,1
2008,3,7,-37.33,1,756.84,1,12.75,1,72.75,1,63.75,1,12.73,72.86,1
2008,3,8,NA,0,756.94,1,11.74,1,82,1,58.46,1,11.7,81.73,1
2008,3,9,NA,0,759.33,1,9.06,1,86.88,1,53.98,1,9.05,86.91,1
2008,3,10,NA,0,757.44,1,8.18,1,87.88,1,51.41,1,8.14,88.34,1
2008,3,11,NA,0,751.1,1,6.66,1,81,1,51.2,1,6.57,82.08,1
2008,3,12,NA,0,749.76,1,7,1,60.25,1,53.6,1,6.82,60.64,1
2008,3,13,-35.91,1,762.01,1,6.21,1,44.25,1,65.06,1,6.16,43.9,1
2008,3,14,NA,0.25,760.97,1,6.5,1,70.75,1,61.47,1,6.49,70.86,1
2008,3,15,-35.86,0.875,758.28,1,8.24,1,60.12,1,64.89,1,8.17,61.11,1
2008,3,16,-36.6,0.75,757.99,1,8.31,1,73.5,1,62.93,1,8.22,74.75,1
2008,3,17,NA,0.125,756.21,1,7.54,1,70.62,1,58.31,1,7.45,71.17,1
2008,3,18,NA,0.375,757.93,1,8.72,1,72,1,60.93,1,8.69,72.35,1
2008,3,19,-35.71,0.875,761.16,1,7.84,1,77.75,1,64.95,1,7.78,78.26,1
2008,3,20,-33.97,0.75,768.29,1,8.68,1,74,1,67,1,8.64,75,1
2008,3,21,-32.3,0.875,775.36,1,10.29,1,92.12,1,68.89,1,10.27,92.1,1
2008,3,22,NA,0.125,770.68,0.75,13.13,0.875,100.62,1,60.28,1,13.02,102.68,0.875
2008,3,23,NA,0,NA,0,NA,0.5,82.88,1,64.01,1,NA,NA,0.5
2008,3,24,-30.53,1,NA,0.125,9.93,1,44.62,1,71.85,1,9.88,45.06,1
2008,3,25,NA,0.375,NA,0.125,9.6,1,68.38,1,63.26,1,9.49,68.97,1
2008,3,26,NA,0.125,NA,0,9.85,1,75.38,1,59.64,1,9.79,75.18,1
2008,3,27,NA,0,NA,0.125,9.88,1,79,1,57.99,1,9.87,79.26,1
2008,3,28,NA,0.375,NA,0,5.25,1,53.62,1,60.8,1,5.12,53.77,1
2008,3,29,NA,0,NA,0.375,6.61,1,74.25,1,56.31,1,6.61,74.26,1
2008,3,30,NA,0,NA,0.125,8.59,1,76.88,1,56.28,1,8.58,77.18,1
2008,3,31,NA,0,NA,0.25,12.07,1,84.75,1,57.38,1,12.06,84.67,1
2008,4,1,NA,0.25,763.57,0.875,12.91,1,85.5,1,60.2,1,12.89,85.55,1
2008,4,2,NA,0.25,754.93,0.75,14.2,1,89.62,1,59.41,1,14.19,89.58,1
2008,4,3,NA,0,NA,0.625,12.05,1,84.38,1,53.03,1,12.01,84.49,1
2008,4,4,NA,0.625,NA,0,8.64,1,60.38,1,63.16,1,8.52,62.42,1
2008,4,5,NA,0.5,NA,0.25,8.53,1,78.38,1,60.9,1,8.45,79.62,1
2008,4,6,NA,0,758.93,0.75,8.51,1,69.75,1,57.79,1,8.35,72.79,1
2008,4,7,NA,0.25,NA,0.625,5.42,1,85.75,1,57.24,1,5.38,86.41,1
2008,4,8,NA,0,764.6,0.75,9.54,1,89.38,1,57.71,1,9.41,88.56,1
2008,4,9,-33.57,1,NA,0,11.65,1,63.5,1,68.35,1,11.57,62.93,1
2008,4,10,-33.83,0.75,NA,0,10.32,1,75.75,1,66.8,1,10.06,75.4,1
2008,4,11,NA,0.5,NA,0,10.4,1,69.5,1,63.01,1,10.38,69.52,1
2008,4,12,NA,0.25,NA,0.25,5.71,1,59.5,1,62.3,1,5.61,60.68,1
2008,4,13,NA,0.125,762.03,0.75,5.69,1,79.12,1,57.5,1,5.65,79.46,1
2008,4,14,NA,0,760.25,1,5.58,1,81.75,1,51.46,1,5.56,82.06,1
2008,4,15,NA,0,755.22,1,7.59,1,85.38,1,50.57,1,7.57,85.27,1
2008,4,16,NA,0,756.39,1,4.59,0.875,80.57,0.875,45.85,1,4.56,81.79,0.875
2008,4,17,NA,0,759.06,1,NA,0.125,NA,0.125,49.52,1,NA,NA,0.125
2008,4,18,NA,0,757.4,1,6.55,1,73.25,1,48.89,1,6.5,74.3,1
2008,4,19,NA,0,753.32,1,8.04,1,86,1,43.11,1,8.03,86,1
2008,4,20,NA,0,753.91,1,6.45,0.75,78.33,0.75,42.64,1,6.42,79.07,0.75
2008,4,21,NA,0,760.56,1,NA,0.625,NA,0.625,49.35,1,NA,NA,0.625
2008,4,22,-30.4,0.875,NA,0,5.84,1,62.38,1,71.19,1,5.77,63.29,1
2008,4,23,-25.94,1,NA,0,7.47,1,57.88,1,76.83,1,7.31,57.52,1
2008,4,24,-21.35,1,NA,0,8.18,1,48.75,1,81.75,1,7.98,49.25,1
2008,4,25,-21.43,1,NA,0,7.25,1,54.75,1,81.88,1,7.09,54.93,1
2008,4,26,-25.75,1,NA,0,7.34,1,72.25,1,77.41,1,7.32,72.36,1
2008,4,27,-30.43,0.875,NA,0,9.24,1,82,1,71.68,1,9.16,81.63,1
2008,4,28,NA,0,NA,0.5,10.93,1,76.88,1,60.43,1,10.91,76.86,1
2008,4,29,NA,0.25,769.71,0.875,9.64,1,75.38,1,61.06,1,9.62,75.49,1
2008,4,30,-31.9,0.75,NA,0,6.97,1,62.25,1,68.88,1,6.93,61.98,1
2008,5,1,NA,0,767.01,0.875,7.69,1,74.12,1,58.4,1,7.68,74.22,1
2008,5,2,NA,0.5,769.74,1,6.82,1,70.62,1,60.19,1,6.82,70.69,1
2008,5,3,NA,0.375,NA,0.625,8.06,1,82,1,57.09,1,8.04,82.29,1
2008,5,4,NA,0,769.06,1,9.68,1,68.62,1,55.53,1,9.63,68.83,1
2008,5,5,NA,0,779.33,1,7.39,1,60.75,1,58.86,1,7.31,62.33,1
2008,5,6,NA,0,778.35,1,5.1,0.75,77.67,0.75,50.23,1,5.08,77.77,0.75
2008,5,7,NA,0,773.32,1,5.01,1,82.25,1,44.81,1,5.01,82.35,1
2008,5,8,NA,0,774.36,1,6.97,1,94.38,1,44.29,1,6.97,94.49,1
2008,5,9,NA,0,770.18,1,8.11,1,87.5,1,43.05,1,8.09,87.55,1
2008,5,10,NA,0,766.63,1,8.44,1,85.88,1,41.99,1,8.43,85.92,1
2008,5,11,NA,0,764.59,1,9.16,1,84.5,1,42.28,1,9.14,84.82,1
2008,5,12,NA,0,763.31,1,5.4,1,78.62,1,41.21,1,5.39,78.73,1
2008,5,13,NA,0,765.04,1,7.2,1,82.38,1,42.36,1,7.19,82.61,1
2008,5,14,NA,0,770.18,1,8.04,1,77.88,1,46.59,1,8.03,77.93,1
2008,5,15,NA,0,771.97,1,8.95,1,81.38,1,53.55,1,8.93,81.54,1
2008,5,16,NA,0,769.6,1,9.85,1,88.25,1,50.45,1,9.84,88.24,1
2008,5,17,NA,0,765.53,1,9.7,1,86.38,1,48.39,1,9.69,86.42,1
2008,5,18,NA,0,755.26,1,11.84,1,90.5,1,43.2,1,11.81,90.63,1
2008,5,19,NA,0,747.8,1,6.86,1,64.25,1,39.71,1,6.71,67.38,1
2008,5,20,NA,0,758.95,1,6.15,1,54.38,1,52.76,1,6.09,54.98,1
2008,5,21,NA,0,761.82,1,8.3,1,74.12,1,50.74,1,8.28,74.66,1
2008,5,22,NA,0,755.01,1,10.36,1,73.5,1,50.25,1,10.33,73.5,1
2008,5,23,NA,0,754.89,1,7.32,1,66.38,1,53.33,1,7.32,66.63,1
2008,5,24,NA,0,759.65,1,8.09,1,66.12,1,58.36,1,8.07,66.37,1
2008,5,25,NA,0,759.51,1,6.85,1,71,1,57.7,1,6.81,70.47,1
2008,5,26,NA,0,751.95,1,5.61,1,74.12,1,48.31,1,5.6,73.97,1
2008,5,27,NA,0,753.89,1,6.26,1,66.75,1,47.24,1,6.25,66.41,1
2008,5,28,NA,0,757.24,1,8.75,1,66,1,54.19,1,8.71,66.57,1
2008,5,29,NA,0,751.25,1,11.51,1,84.75,1,52.29,1,11.42,85.14,1
2008,5,30,NA,0,746.64,1,9.81,1,75.38,1,51.7,1,9.71,76.29,1
2008,5,31,NA,0.25,742.73,0.875,10.43,0.875,72.38,1,60.59,1,10.16,74.2,0.875
2008,6,1,NA,0.5,756.17,0.75,NA,0.375,NA,0.375,62.68,1,NA,NA,0.375
2008,6,2,NA,0,758.33,1,6.64,1,77.75,1,53.23,1,6.62,77.96,1
