Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,12,15,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
2010,12,16,-13.9,1,821.51,1,4.28,1,258.12,1,66.53,1,4.14,351.69,1
2010,12,17,-12,1,820.69,1,5.28,0.75,154.88,1,58.48,1,4.32,29.77,0.75
2010,12,18,-10.3,1,822.79,1,NA,0.625,46.38,1,51.2,1,NA,NA,0.625
2010,12,19,NA,0.625,821.38,1,2.54,1,99.38,1,59.25,1,1.48,351.7,1
2010,12,20,NA,0.5,817.9,1,2.22,1,244.75,1,57.15,1,2.09,244.07,1
2010,12,21,NA,0.375,821.24,1,1.72,0.75,190.88,1,56.3,1,1,264.91,0.75
2010,12,22,-9.81,1,825.44,1,7.94,1,70.5,1,59.83,1,7.79,69.35,1
2010,12,23,-9.04,1,830.84,1,4.86,1,158.62,1,61.71,1,4.24,22.18,1
2010,12,24,NA,0.625,832.25,1,2.59,1,102.5,1,55.24,1,1.97,17.1,1
2010,12,25,-8.79,1,834.11,1,7.45,1,69.25,1,51.14,1,7.24,67.88,1
2010,12,26,-9.29,1,833.2,1,10.27,0.875,75.12,1,62.77,1,9.9,72.4,0.875
2010,12,27,-9.5,0.875,831.7,1,4.27,0.75,164.25,1,82.42,1,3.99,19.63,0.75
2010,12,28,NA,0.625,829.9,1,2.38,1,226.25,1,75.03,1,2.15,4.09,1
2010,12,29,NA,0.625,825.05,1,NA,0.625,187.88,1,62.39,1,NA,NA,0.625
2010,12,30,NA,0.375,825.15,1,1.96,1,120.12,1,46.3,1,1.8,106.22,1
2010,12,31,NA,0.375,825.99,1,2.16,1,152.5,1,53.17,1,0.3,167.17,1
2011,1,1,NA,0.625,825.94,1,3.31,1,123.75,1,63.35,1,2.04,350.95,1
2011,1,2,-10.06,0.875,825.51,1,NA,0.5,135.38,1,65.4,1,NA,NA,0.5
2011,1,3,-8.82,1,824.68,1,NA,0.625,44.75,1,58.73,1,NA,NA,0.625
2011,1,4,-9.18,1,824.69,1,NA,0.625,55.88,1,48.12,1,NA,NA,0.625
2011,1,5,-9.63,0.875,821.65,1,4.2,1,145.75,1,60.31,1,3.96,21.99,1
2011,1,6,NA,0.625,821.55,1,3.31,1,210.12,1,72.05,1,2.32,9.16,1
2011,1,7,NA,0.375,822.35,1,2.4,1,208,1,66.64,1,1.88,339.26,1
2011,1,8,NA,0.5,823.38,1,2.14,1,291.12,1,75.59,1,1.51,308.54,1
2011,1,9,NA,0.625,824.41,1,3.19,0.875,68.75,1,65.06,1,2.62,32.06,0.875
2011,1,10,-12.69,1,827.58,1,5.98,0.75,65.62,1,54.73,1,5.47,55.54,0.75
2011,1,11,NA,0.5,831.04,1,2.25,1,110.12,1,42.8,1,0.68,81.27,1
2011,1,12,NA,0.375,828.91,1,2,1,235.75,1,54.42,1,1.67,227.03,1
2011,1,13,NA,0.5,827.4,1,2.5,0.75,154.75,1,58.51,1,0.96,311.57,0.75
2011,1,14,NA,0.375,832.72,1,3.22,1,103.12,1,48.21,1,2.75,39.74,1
2011,1,15,-7.79,1,835.62,1,NA,0.625,26.12,1,46.61,1,NA,NA,0.625
2011,1,16,-7.29,1,836.96,1,7.26,0.875,67.88,1,39.5,1,6.13,48.38,0.875
2011,1,17,NA,0.625,837.55,1,2.3,0.875,143.75,1,46.27,1,2.1,5.16,0.875
2011,1,18,NA,0.625,834.89,1,3.17,0.75,104.12,1,40.06,1,1.74,83.55,0.75
2011,1,19,NA,0.625,832.68,1,2.84,1,213.5,1,54.39,1,1.09,265.64,1
2011,1,20,-12.07,0.75,830.81,1,3.6,1,179,1,52.34,1,2.4,49.89,1
2011,1,21,-10.85,1,826.28,1,4.9,0.875,72.5,1,50.38,1,4.67,76.93,0.875
2011,1,22,-11,0.75,822.09,1,4.9,0.875,175,1,54.74,1,4.02,26.05,0.875
2011,1,23,NA,0.25,822.7,1,1.77,1,220.62,1,72.31,1,1.4,338.61,1
2011,1,24,NA,0.375,822.21,1,1.52,1,279.88,1,67.38,1,1.19,288.24,1
2011,1,25,NA,0.5,824.41,1,1.6,0.75,206.5,1,72.66,1,1.18,345.82,0.75
2011,1,26,NA,0.625,827.64,1,NA,0.625,183.25,1,66.36,1,NA,NA,0.625
2011,1,27,-15.99,0.875,825.45,1,3.21,0.875,252.25,1,74.71,1,2.68,259.15,0.875
2011,1,28,-18.17,0.75,820.7,1,3.09,1,233.88,1,67.28,1,3.01,228.88,1
2011,1,29,NA,0.125,822.41,1,1.25,1,222,1,60.26,1,0.73,228.05,1
2011,1,30,-15.21,0.875,824.08,1,4.62,1,91,1,48.65,1,4.46,75.71,1
2011,1,31,NA,0.5,826.09,1,NA,0.625,129,1,49.86,1,NA,NA,0.625
2011,2,1,-17.82,1,824.15,1,5.6,0.75,80.5,1,48.52,1,5.42,79.8,0.75
2011,2,2,-18.7,1,821.15,1,8.48,0.75,75.57,0.875,50.38,1,8.37,73.58,0.75
2011,2,3,-18.4,1,823.51,1,7.91,1,94.12,1,57.38,1,6.83,46.74,1
2011,2,4,-14.68,1,824.14,1,12.7,0.75,85.57,0.875,58.4,1,12.47,88.95,0.75
2011,2,5,-13.53,0.875,828.85,1,NA,0.125,52.17,0.75,66.34,1,NA,NA,0.125
2011,2,6,NA,0.25,827.25,1,1.49,0.875,255.38,1,59.06,1,1.09,307.78,0.875
2011,2,7,NA,0.5,819.89,1,2.11,1,278.75,1,69.24,1,1.56,351.65,1
2011,2,8,-13.91,1,821.32,1,NA,0.625,74.5,1,45.51,1,NA,NA,0.625
2011,2,9,-16.22,0.75,819.31,1,6.63,0.75,126.62,1,62.57,1,5.45,31.31,0.75
2011,2,10,-17.89,0.875,818.02,1,NA,0.625,186.62,1,64.56,1,NA,NA,0.625
2011,2,11,-16.96,1,823.42,1,6.92,0.75,79.75,1,55.3,1,6.44,76.71,0.75
2011,2,12,-16.58,1,827.31,1,NA,0.625,56.5,1,52.74,1,NA,NA,0.625
