Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,11,-15.73,0.75,756.45,0.75,NA,0.625,170.67,0.75,47.5,0.75,NA,NA,0.625
1986,1,12,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
1986,1,13,NA,0.5,NA,0.5,NA,0.25,NA,0.5,NA,0.5,NA,NA,0.25
1986,1,14,-13.86,1,764.14,1,9.43,0.75,160.75,1,54.5,1,9.17,164.11,0.75
1986,1,15,-15.82,1,758.76,1,8.54,1,179.38,1,44.75,1,8.38,180.39,1
1986,1,16,-14.44,1,755.34,1,NA,0.5,133.75,1,43.88,1,NA,NA,0.5
1986,1,17,-16.34,1,756.56,1,9.15,1,163.5,1,43.25,1,9.04,164,1
1986,1,18,-15.86,0.875,752.19,1,5.82,0.75,123.5,1,46,1,5.78,164.23,0.75
1986,1,19,NA,0.625,752.52,1,NA,0.625,NA,0.625,34.75,1,NA,NA,0.625
1986,1,20,NA,0.5,754.59,1,NA,0.625,NA,0.375,34.75,1,NA,NA,0.375
1986,1,21,-15.41,1,754.64,1,NA,0.5,NA,0.625,39.88,1,NA,NA,0.5
1986,1,22,NA,0.5,752.72,1,NA,0.625,116,0.875,35.75,1,NA,NA,0.625
1986,1,23,-16.84,1,752.89,1,NA,0.625,NA,0.625,38.88,1,NA,NA,0.625
1986,1,24,-20.35,1,752.89,1,7.36,0.875,157.25,1,44.12,1,7.31,157.1,0.875
1986,1,25,-18.44,0.875,749.39,0.875,7.04,0.875,149.71,0.875,43.57,0.875,6.92,150.93,0.875
1986,1,26,-17.29,0.875,749.18,1,3.98,1,156,1,43,1,3.83,156.69,1
1986,1,27,NA,0.375,748.6,1,NA,0.5,NA,0.625,36.5,1,NA,NA,0.5
1986,1,28,NA,0.5,749.81,1,NA,0.625,223.67,0.75,41,1,NA,NA,0.625
1986,1,29,NA,0.5,750.5,1,1.48,0.75,179.12,1,42.75,1,1.28,243.81,0.75
1986,1,30,NA,0.5,749.9,1,2.34,0.875,184,1,44,1,1.99,200.45,0.875
1986,1,31,NA,0.5,750.18,1,2.22,0.75,224.17,0.75,42.88,1,2.19,225.77,0.75
1986,2,1,NA,0.625,750.3,1,2.01,0.875,236.71,0.875,41.62,1,1.98,238.22,0.875
1986,2,2,-21.12,0.75,749.69,1,2.88,1,248.88,1,44.75,1,2.53,244.36,1
1986,2,3,-19.43,0.75,749.25,1,2.31,1,254.62,1,50,1,2.12,251,1
1986,2,4,-19.92,1,752,1,3.71,1,226.5,1,48.5,1,3.45,224.82,1
1986,2,5,NA,0.625,752.98,1,2.63,0.75,249.33,0.75,52.25,1,2.55,236.09,0.75
1986,2,6,-20.03,0.75,752.78,1,3.78,1,176.75,1,46.75,1,3.44,177.39,1
1986,2,7,-22.18,1,755.42,1,9.6,0.875,157.5,1,52.75,1,9.39,161.83,0.875
1986,2,8,-24.09,1,759.08,1,11.55,1,172.62,1,48.88,1,11.53,172.63,1
1986,2,9,-23.31,1,762.75,1,12.35,1,167.5,1,53.12,1,12.23,167.34,1
1986,2,10,-22.9,1,760.72,1,9.56,1,178.5,1,43.38,1,9.19,176.61,1
1986,2,11,-22.43,0.875,759.99,1,12.76,1,173.88,1,46,1,12.58,174.71,1
