Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,3,1,NA,0.25,NA,0.25,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1986,3,2,NA,0.625,995.82,1,2.57,0.75,211.33,0.75,NA,0,2.01,259.93,0.75
1986,3,3,-2.67,0.875,993.45,1,3.79,1,283,1,NA,0,2.55,342.62,1
1986,3,4,-1.48,1,990.55,1,2.81,0.875,223.38,1,NA,0,1.58,243.17,0.875
1986,3,5,-0.7,0.875,988.66,1,7.17,0.875,255.38,1,NA,0,6.92,249.48,0.875
1986,3,6,-4.27,0.875,982.36,1,NA,0.625,245.38,1,NA,0,NA,NA,0.625
1986,3,7,-10.44,0.875,973.21,1,4.27,0.875,210.38,1,NA,0,1.67,242.65,0.875
1986,3,8,-17.89,0.875,971.78,1,8.09,0.875,199.38,1,NA,0,7.9,201.12,0.875
1986,3,9,-18.21,1,967.98,1,14.13,0.75,195.5,1,NA,0,14.05,198.06,0.75
1986,3,10,-16.4,1,966.66,1,NA,0.625,212.38,1,NA,0,NA,NA,0.625
1986,3,11,-15.5,1,966.05,1,3.17,1,212.5,1,NA,0,1.62,260.71,1
1986,3,12,-13.7,1,967.11,1,6.41,1,207.75,1,NA,0,6.4,208.18,1
1986,3,13,-9.72,1,967.08,1,7.97,1,197.38,1,NA,0,7.94,196.32,1
1986,3,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,3,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,3,16,-10.62,1,979.65,1,17.23,0.875,190.88,1,NA,0,17.2,190.78,0.875
1986,3,17,-9.71,1,982.6,1,14.2,1,190,1,NA,0,14.17,190.08,1
1986,3,18,-8.69,1,982.69,1,9.85,1,187.38,1,NA,0,9.84,187.62,1
1986,3,19,-10.68,1,981.48,1,6.5,1,188,1,NA,0,6.47,188.05,1
1986,3,20,-14.78,1,981.9,1,6.12,1,186,1,NA,0,6.09,185.75,1
1986,3,21,-19,1,986.08,1,6.2,1,181.88,1,NA,0,6.19,182.03,1
1986,3,22,-21.15,1,982.32,1,5.18,1,180.38,1,NA,0,5.17,180.35,1
1986,3,23,-23.42,1,978.42,1,2.54,0.875,217.29,0.875,NA,0,1.61,231.56,0.875
1986,3,24,-24.56,1,980.54,1,4,1,144.75,1,NA,0,3.97,5.65,1
1986,3,25,-22.76,1,982.14,1,NA,0.625,202.57,0.875,NA,0,NA,NA,0.625
1986,3,26,-21.45,1,975.79,1,12.09,1,195,1,NA,0,12.04,195.39,1
