Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1999,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1999,1,11,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
1999,1,12,NA,0.375,981.55,1,1.79,1,183,1,68.38,1,0.7,138.25,1
1999,1,13,-5.15,1,977.65,1,5.13,0.875,239.88,1,79.38,1,3.52,233.69,0.875
1999,1,14,-3.33,0.75,975.78,1,4.36,0.875,259.12,1,52.88,1,3.43,262.14,0.875
1999,1,15,-5.81,0.875,978.74,1,5.09,0.875,154,1,79.62,1,4.02,181.37,0.875
1999,1,16,NA,0.625,985.69,1,NA,0.625,176.88,1,79.75,1,NA,NA,0.625
1999,1,17,NA,0.625,991.04,1,NA,0.625,223.88,1,82.12,1,NA,NA,0.625
1999,1,18,NA,0.125,989.25,1,2,1,254.88,1,65,0.875,1.89,342.22,1
1999,1,19,-3.39,0.875,986.86,1,6.01,0.875,265.5,1,83.88,1,5.02,304.43,0.875
1999,1,20,-6.18,0.75,992.8,1,3.34,0.875,194.88,1,77.83,0.75,1.09,42.25,0.875
1999,1,21,NA,0.625,983.19,1,NA,0.5,260.38,1,60.88,1,NA,NA,0.5
1999,1,22,-2.35,1,981.29,1,5,0.75,209.88,1,79.75,1,4.03,196.2,0.75
1999,1,23,-3.47,0.875,988.09,1,3.87,0.875,189.12,1,80,1,2.62,199.81,0.875
1999,1,24,NA,0.25,988.08,1,1.94,1,158.38,1,68.67,0.75,0.96,127.55,1
1999,1,25,NA,0,982.02,1,1.73,0.75,159.5,1,75.57,0.875,1.29,16.73,0.75
1999,1,26,-4.22,1,980.48,1,5.66,0.875,237.88,1,71.62,1,4.74,216.93,0.875
1999,1,27,-2.93,0.875,978.55,1,NA,0.375,201.25,1,81.86,0.875,NA,NA,0.375
1999,1,28,-7,0.875,981.86,1,NA,0.625,166.88,1,NA,0.625,NA,NA,0.625
1999,1,29,NA,0.625,986.19,1,2.65,1,182.62,1,83.57,0.875,1.87,161.54,1
1999,1,30,NA,0.375,983.84,1,1.65,1,187.38,1,66.33,0.75,0.48,2.35,1
1999,1,31,NA,0.625,982.22,1,3.06,1,229.62,1,84.5,0.75,1.85,176.77,1
1999,2,1,NA,0.25,980.5,1,1.74,1,152.88,1,84,1,0.49,89.46,1
1999,2,2,NA,0.125,979.39,0.875,1.06,0.875,249.43,0.875,73.14,0.875,0.69,350.09,0.875
1999,2,3,NA,0.5,977.06,0.875,2.07,0.875,77.71,0.875,74.86,0.875,1.7,70.49,0.875
1999,2,4,-9.33,0.875,973.59,1,4.73,0.875,116,1,82,1,2.83,131.01,0.875
1999,2,5,NA,0.375,992.6,1,3.06,1,192.12,1,72.38,1,0.97,25.23,1
1999,2,6,NA,0.625,998.49,1,2.12,0.75,166.25,1,70.86,0.875,1.03,103.5,0.75
1999,2,7,-10.83,0.875,989.79,1,3.83,0.875,195.38,1,75.12,1,1.18,156.46,0.875
1999,2,8,NA,0.625,979.71,1,2.8,0.75,171.62,1,67.62,1,0.59,281.54,0.75
1999,2,9,-7.43,0.75,982.09,1,3.34,1,177.25,1,NA,0.625,0.88,165.59,1
1999,2,10,-8.43,0.875,986.88,1,3.44,0.875,140.12,1,78.33,0.75,3.14,119.74,0.875
1999,2,11,NA,0.625,987.86,1,NA,0.5,171.75,1,78,0.875,NA,NA,0.5
1999,2,12,-7.82,0.75,989.81,1,2.5,0.875,171.75,1,60.5,1,0.14,173.93,0.875
1999,2,13,NA,0.375,987.68,1,2.25,1,65.88,1,74.5,1,2.01,59.42,1
1999,2,14,NA,0.625,984.58,1,2.47,0.75,219.38,1,70.12,1,1.05,285.19,0.75
1999,2,15,-10.86,0.875,985.38,1,4.68,1,80,1,80.14,0.875,3.93,90.83,1
1999,2,16,-11,0.75,989.14,1,2.79,1,106.25,1,79.62,1,1.9,61.6,1
1999,2,17,NA,0.5,991.88,1,2.41,1,186.12,1,76.25,1,0.91,110.38,1
1999,2,18,NA,0.5,992.21,1,3.41,0.875,101.38,1,82,0.875,1.63,91.07,0.875
1999,2,19,NA,0.625,992.1,1,2.51,1,135.38,1,83,1,2.05,5.48,1
