Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2005,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2005,2,2,-8.54,0.875,968.04,0.875,3.81,0.875,41.43,0.875,NA,0.625,3.68,38.89,0.875
2005,2,3,NA,0.625,970.34,1,2.67,1,178.62,1,74.93,0.875,2.3,216.36,1
2005,2,4,-13.13,0.875,967.64,1,3.71,1,289.62,1,84.33,1,2.95,288.19,1
2005,2,5,NA,0.5,969.09,1,2.58,1,204,1,82.96,0.875,1.31,197.97,1
2005,2,6,-15.12,0.75,975.94,1,3.55,1,226.88,1,79.47,1,3.37,228.47,1
2005,2,7,-11.86,1,981.72,1,4.9,1,211.62,1,83.36,1,4.67,210.69,1
2005,2,8,-10.99,1,982.34,1,7.58,1,240.5,1,80.74,1,7.45,240.98,1
2005,2,9,-12.41,0.875,979.94,1,6.18,1,235.62,1,83.78,1,6.03,234.04,1
2005,2,10,-14.8,0.75,973.96,1,4.22,1,233.25,1,84.12,1,4.08,232.11,1
2005,2,11,-15.03,0.75,964.08,1,6.81,1,256.38,1,77.44,1,6.66,254.46,1
2005,2,12,NA,0.375,962.76,1,3.45,1,203.75,1,73.36,1,2.97,196.69,1
2005,2,13,-15.43,0.875,962.76,1,4.44,1,214.5,1,79.59,1,4.27,217.83,1
2005,2,14,NA,0.5,960.45,1,2.85,1,239.62,1,74.85,1,2.5,231.34,1
2005,2,15,NA,0.375,960.79,1,3.7,0.875,162,1,79.69,1,1.56,204.16,0.875
2005,2,16,-16.32,1,962.78,1,6.69,1,227.25,1,87.78,1,6.41,227.49,1
2005,2,17,NA,0.5,966.84,1,3.4,1,254.38,1,74.8,1,3.2,246.45,1
2005,2,18,NA,0.375,975.45,1,2.35,1,214.75,1,78.1,1,1.27,181.98,1
2005,2,19,-16.57,0.75,979.26,1,2.61,0.875,227.5,1,85.75,1,1.49,14.2,0.875
2005,2,20,NA,0.375,982.76,1,5.75,1,267,1,83.79,0.875,4.54,307.25,1
2005,2,21,NA,0.375,987.21,1,2.38,1,244,1,77.89,1,2.22,248.41,1
2005,2,22,NA,0.375,977.58,1,1.59,1,123.75,1,84.71,1,0.93,123.55,1
2005,2,23,-21.65,1,975.25,1,4.36,1,185.62,1,93.39,1,3.92,189.46,1
2005,2,24,-23.44,0.875,979.72,1,6.04,1,233.62,1,86.12,1,5.93,236.97,1
2005,2,25,NA,0.625,984.56,1,2.78,1,214.12,1,80.53,1,2.05,199.59,1
2005,2,26,NA,0.625,983.44,1,2.65,1,236.88,1,70.62,1,2.52,236.17,1
2005,2,27,NA,0.625,980.76,1,2.72,1,203,1,68.58,1,2.57,201.22,1
2005,2,28,-28.27,1,990.75,1,4.62,1,231.38,1,74.51,1,4.1,233.8,1
2005,3,1,-26.74,0.875,986.12,1,4.47,1,208.25,1,79.41,1,4.36,208.45,1
2005,3,2,NA,0.625,983.92,1,1.91,1,193.62,1,73.7,1,1.82,203.5,1
2005,3,3,NA,0.625,989.21,1,2.74,1,325.75,1,77.27,1,2.57,330.08,1
2005,3,4,NA,0.5,991.36,1,2.81,1,318.62,1,80.3,1,2.57,321.16,1
2005,3,5,-24.37,0.875,986.22,1,2.17,1,181.75,1,76.11,1,1.22,161.54,1
2005,3,6,-32.27,0.875,987.09,1,2.46,1,233.12,1,82.22,1,1.21,230.65,1
2005,3,7,-34.34,1,990.61,1,5.14,1,242.88,1,71.84,1,5.01,243.81,1
2005,3,8,-32.33,0.875,988.2,1,4.44,1,265.88,1,72.05,1,4.37,266.35,1
2005,3,9,NA,0.625,984.45,1,6.28,1,261.88,1,80.04,1,5.9,263.85,1
2005,3,10,NA,0.625,980.74,1,6.82,0.75,304.88,1,87.19,0.875,6.26,301.86,0.75
