Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,4,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
2010,1,5,-9.2,0.875,875,1,NA,0.625,101.5,1,65.79,1,NA,NA,0.625
2010,1,6,-7.84,0.875,876.84,1,3.67,0.75,117.62,1,60.7,1,2.59,49.14,0.75
2010,1,7,-9.01,0.875,876.06,1,6.27,0.875,118.5,1,69.73,1,4.45,31.5,0.875
2010,1,8,NA,0.625,875.7,1,2.49,1,139.75,1,70.94,1,1.62,29.18,1
2010,1,9,NA,0.625,879.64,1,2.59,1,282.12,1,78.88,1,2.38,326.67,1
2010,1,10,NA,0.5,877.91,1,1.94,1,149.25,1,65.91,1,1.14,70.48,1
2010,1,11,NA,0.5,873.25,1,2,1,157.5,1,77.19,1,1.26,44.85,1
2010,1,12,NA,0.375,871.95,1,1.91,1,218.25,1,84.64,1,0.95,264.81,1
2010,1,13,NA,0.625,868.84,1,2.53,0.875,207.62,1,78.7,1,1.49,332.5,0.875
2010,1,14,-14.33,0.875,865.31,1,8.47,0.75,152.38,1,82.24,1,7.38,114.73,0.75
2010,1,15,-8.72,0.75,860.48,1,8.63,0.875,103.62,1,74.74,1,8.15,106.66,0.875
2010,1,16,-7.14,0.875,862.52,1,4.74,1,98.38,1,78.48,1,4.56,101.15,1
2010,1,17,-8.02,0.75,864.52,1,3.6,1,93,1,74.05,1,2.4,57.59,1
2010,1,18,NA,0.5,867.15,1,2.48,1,124.5,1,72.53,1,0.7,35.53,1
2010,1,19,NA,0.625,869.76,1,9.13,0.875,115.5,1,80.85,1,9.04,113.13,0.875
2010,1,20,-13.37,0.75,865.74,1,11.96,1,120.75,1,83.14,1,11.81,119.64,1
2010,1,21,NA,0.625,864.06,1,10.62,0.75,109,1,78.13,1,10.54,113.67,0.75
2010,1,22,NA,0.625,871.81,1,5.19,1,82.62,1,76.84,1,4.05,98.2,1
2010,1,23,NA,0.625,873.32,1,3.08,1,131.62,1,64.29,1,2.85,17.26,1
2010,1,24,NA,0.5,866.12,1,2.37,0.875,124.62,1,76.8,1,1.17,86.54,0.875
2010,1,25,-18.1,1,871.56,1,12.74,0.875,117.5,1,79.76,1,12.69,117.6,0.875
2010,1,26,-11.9,0.75,873.04,1,NA,0.5,86.88,1,60.4,1,NA,NA,0.5
2010,1,27,-8.51,1,870.85,1,6.33,0.875,42.5,1,63.85,1,5.62,33.8,0.875
2010,1,28,-8,0.875,874.28,1,5.3,0.875,98.25,1,64.18,1,4.98,14.57,0.875
2010,1,29,-9.65,0.75,875.66,1,3.06,1,160.5,1,76.81,1,2.56,2.98,1
2010,1,30,NA,0.5,876.16,1,1.97,1,97.12,1,80.29,1,1.73,31.21,1
2010,1,31,-9.13,0.75,863.48,0.75,NA,0.5,31,0.75,75.98,0.75,NA,NA,0.5
2010,2,1,-8.64,0.875,860.19,1,NA,0.25,57.25,1,76.06,1,NA,NA,0.25
2010,2,2,-8.43,0.875,868.39,1,5.42,0.75,124.75,1,78.88,1,4.96,11.9,0.75
2010,2,3,-8.34,1,863.19,1,9.78,1,24.12,1,80.11,1,9.75,24.11,1
2010,2,4,-8.07,0.875,866.58,1,6.33,0.75,41.38,1,75.23,1,6.29,32,0.75
2010,2,5,-8.31,0.875,876.21,1,3.66,0.875,76,1,71.16,1,3.11,75.37,0.875
2010,2,6,-9.4,0.75,878.9,1,3.74,0.875,106.25,1,72.51,1,3.29,73.72,0.875
2010,2,7,NA,0.625,870.85,1,3.47,0.875,74.12,1,75.01,1,3.13,74.77,0.875
2010,2,8,NA,0.375,867.99,1,1.62,1,97.75,1,67.29,1,1.32,54.09,1
2010,2,9,-10.03,1,871.71,1,4.14,1,25.5,1,59.55,1,4.12,26.4,1
2010,2,10,-11.07,0.875,875.39,1,3.17,0.75,43.88,1,68.61,1,2.93,33.13,0.75
