Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1983,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1983,1,14,NA,0.625,721.04,0.875,NA,0.375,NA,0.375,NA,0,NA,NA,0.375
1983,1,15,NA,0.375,719.68,1,4.42,1,146,1,NA,0,4.28,143.94,1
1983,1,16,-20.88,0.75,717.89,1,10.29,1,106.88,1,NA,0,10.16,106.56,1
1983,1,17,-19.85,1,720.65,1,9.09,1,105.88,1,NA,0,8.82,102.75,1
1983,1,18,-19.6,1,722.5,1,4.95,1,113.62,1,NA,0,4.62,108.94,1
1983,1,19,-19.01,1,722.71,1,5.14,1,129.62,1,NA,0,5.01,128.26,1
1983,1,20,NA,0.625,724.8,1,6.5,1,143.75,1,NA,0,6.43,142.9,1
1983,1,21,-19.48,0.75,727.89,1,6.89,1,121.25,1,NA,0,6.73,122.35,1
1983,1,22,-18.99,1,726.22,1,7.42,1,117.75,1,NA,0,7.16,118.17,1
1983,1,23,NA,0.5,723.48,1,6.46,1,151.25,1,NA,0,6.18,148.5,1
1983,1,24,NA,0.5,719.14,1,6.08,1,155.12,1,NA,0,5.79,152.17,1
1983,1,25,NA,0.5,716.89,1,4.92,1,161.25,1,NA,0,4.72,160.28,1
1983,1,26,NA,0.375,716.13,1,7.54,1,142.88,1,NA,0,7.51,142.65,1
1983,1,27,-26.84,0.875,715.11,1,10.1,1,NA,0.5,NA,0,NA,NA,0.5
1983,1,28,-21.52,0.75,719.91,1,8.1,0.875,123,1,NA,0,7.7,125.94,0.875
1983,1,29,-21.18,1,724.9,1,11.12,1,130.75,1,NA,0,10.85,130.88,1
1983,1,30,-23.98,0.75,727.35,1,9.29,1,146.12,1,NA,0,9.1,144.87,1
1983,1,31,NA,0.5,724.91,1,7.19,1,159,1,NA,0,7.08,159.03,1
1983,2,1,-24.19,0.875,719.43,0.875,8.34,0.875,129.57,0.875,NA,0,8.08,129.14,0.875
1983,2,2,-22.08,1,723.19,1,7.5,1,130.25,1,NA,0,7.28,128.74,1
1983,2,3,-26.01,0.875,722.34,1,8.8,0.875,152.12,1,NA,0,8.63,152.68,0.875
1983,2,4,-26.24,0.875,721.94,1,8.76,1,133.38,1,NA,0,8.59,135.03,1
1983,2,5,-23.57,0.75,727.69,1,7.95,1,136.62,1,NA,0,7.89,136.12,1
1983,2,6,NA,0.5,725.64,1,6.5,1,137.75,1,NA,0,5.51,136.05,1
1983,2,7,NA,0.625,726.76,1,5.58,1,167.62,1,NA,0,5.35,165.43,1
1983,2,8,-27.45,0.75,725.39,1,9.53,0.875,NA,0.625,NA,0,NA,NA,0.625
1983,2,9,-19.33,0.875,722.47,1,13.74,1,108.25,1,NA,0,12.93,109.52,1
1983,2,10,-13.48,1,729.38,1,10.34,0.875,77.88,1,NA,0,10.03,79.76,0.875
1983,2,11,-15.34,1,728.36,1,7.51,1,120.62,1,NA,0,7.31,121.92,1
1983,2,12,-18.41,1,718.54,1,6.66,1,126.25,1,NA,0,6.37,128.69,1
1983,2,13,-24.6,0.75,716.1,1,5.51,1,136.38,1,NA,0,5.38,136.77,1
1983,2,14,-28.21,0.875,716.2,1,8.84,1,131.62,1,NA,0,8.75,131.55,1
1983,2,15,-27.85,1,718.86,1,7.96,1,134.29,0.875,NA,0,7.88,134.69,0.875
1983,2,16,-27.71,1,713.14,1,10.91,1,NA,0.25,NA,0,NA,NA,0.25
