Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1997,12,20,-13.17,0.75,825,0.75,NA,0.625,NA,0,81.67,0.75,NA,NA,0
1997,12,21,NA,0.5,NA,0.5,NA,0.5,NA,0,NA,0.5,NA,NA,0
1997,12,22,NA,0.625,NA,0.625,NA,0.5,NA,0,NA,0.625,NA,NA,0
1997,12,23,NA,0.125,NA,0.625,NA,0.625,NA,0,NA,0.375,NA,NA,0
1997,12,24,NA,0.625,NA,0.625,NA,0.5,NA,0,NA,0.625,NA,NA,0
1997,12,25,-9.35,0.75,834.73,0.75,16.88,0.75,NA,0,89.67,0.75,NA,NA,0
1997,12,26,-10.21,0.75,836.9,0.75,16.25,0.75,NA,0,86,0.75,NA,NA,0
1997,12,27,-10.39,0.875,833.89,0.875,11.81,0.875,NA,0,80.57,0.875,NA,NA,0
1997,12,28,-9.44,0.875,829.6,0.875,13.6,0.75,NA,0,81.14,0.875,NA,NA,0
1997,12,29,-7.57,0.875,825.83,0.875,8.98,0.75,NA,0,81.43,0.875,NA,NA,0
1997,12,30,NA,0.625,NA,0.625,NA,0.5,NA,0,NA,0.625,NA,NA,0
1997,12,31,NA,0.5,NA,0.5,NA,0.5,NA,0,NA,0.5,NA,NA,0
1998,1,1,NA,0.375,NA,0.625,NA,0.375,NA,0,NA,0.5,NA,NA,0
1998,1,2,NA,0.375,NA,0.625,NA,0.5,NA,0,NA,0.625,NA,NA,0
1998,1,3,-11.35,0.75,823.5,0.75,9.87,0.75,NA,0,80,0.75,NA,NA,0
1998,1,4,-10.87,0.75,822.4,0.75,9.4,0.75,NA,0,81,0.75,NA,NA,0
1998,1,5,-10,0.875,825.43,0.875,11.07,0.875,NA,0,81.71,0.875,NA,NA,0
1998,1,6,-9.76,0.75,827.53,0.75,10.33,0.75,NA,0,78,0.75,NA,NA,0
1998,1,7,NA,0.5,830.83,0.875,5.27,0.875,NA,0,77.43,0.875,NA,NA,0
1998,1,8,NA,0.5,NA,0.5,NA,0.5,NA,0,NA,0.5,NA,NA,0
1998,1,9,-11.7,0.75,810.4,0.75,NA,0.625,NA,0,81.33,0.75,NA,NA,0
1998,1,10,-9.93,0.75,823.4,0.75,16.28,0.75,NA,0,87,0.75,NA,NA,0
1998,1,11,NA,0.625,NA,0.625,NA,0.375,NA,0,NA,0.625,NA,NA,0
1998,1,12,NA,0.375,829.06,0.875,1.84,0.875,NA,0,70,0.875,NA,NA,0
1998,1,13,NA,0.625,828,0.75,3.5,0.75,NA,0,80.67,0.75,NA,NA,0
1998,1,14,-11.61,0.75,832.14,0.875,3.47,0.75,NA,0,78,0.875,NA,NA,0
1998,1,15,-13.13,0.75,830.83,0.875,4.55,1,NA,0,73,1,NA,NA,0
