Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,2,20,-12.54,1,947.38,1,6.86,1,148,1,NA,0,6.58,154.32,1
1986,2,21,-9.3,1,938.25,1,13.1,0.875,161.88,1,NA,0,13,162.24,0.875
1986,2,22,-5.53,1,941.21,1,NA,0.5,151,1,NA,0,NA,NA,0.5
1986,2,23,-4.22,1,947.1,1,9.68,1,153.12,1,NA,0,9.59,152.88,1
1986,2,24,-4.69,1,952.7,1,4.4,0.75,156.5,1,NA,0,4.13,152.95,0.75
1986,2,25,-8.19,1,954.21,1,6.77,0.875,163.88,1,NA,0,6.66,160.02,0.875
1986,2,26,-11.14,1,956.64,1,4.84,1,160.88,1,NA,0,4.58,158.93,1
1986,2,27,-13.25,1,962.71,1,5.65,1,161.25,1,NA,0,5.26,161.72,1
1986,2,28,-15.08,0.75,964.46,1,5.11,1,171.5,1,NA,0,4.62,159.79,1
1986,3,1,-8.22,0.75,964.68,1,4.23,0.75,231,0.875,NA,0,3.02,3.71,0.75
1986,3,2,1.32,1,965.8,1,2,1,293.75,1,NA,0,1.91,338.96,1
1986,3,3,-2.38,1,963.51,1,4.59,1,351.75,1,NA,0,4.56,352.61,1
1986,3,4,NA,0.625,960.12,1,3.86,0.875,151.38,1,NA,0,1.96,104.5,0.875
1986,3,5,-3.29,0.875,960.6,0.875,2.85,0.75,245.67,0.75,NA,0,1.13,268.01,0.75
1986,3,6,-6,1,952.26,1,2.67,0.875,189.86,0.875,NA,0,0.41,30.62,0.875
1986,3,7,-10.83,0.875,942.19,1,4.06,1,234.88,1,NA,0,1.62,99.2,1
1986,3,8,-18.19,1,936.43,1,10.88,0.75,157.75,1,NA,0,10.67,159.83,0.75
1986,3,9,-19,1,936.96,1,6.88,0.75,166.75,1,NA,0,6.86,164.22,0.75
1986,3,10,-16.01,1,935.68,1,3.39,1,182.38,1,NA,0,0.99,358.17,1
1986,3,11,-16.49,1,934.4,1,3.21,1,97,1,NA,0,2.41,103.56,1
1986,3,12,-15.12,1,933.39,1,10.54,1,164.88,1,NA,0,10.43,165.48,1
1986,3,13,-11.7,1,935.28,1,9.4,1,160,1,NA,0,9.37,159.62,1
1986,3,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,3,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,3,16,-12.53,1,944.64,1,14.62,1,168.25,1,NA,0,14.43,168.85,1
1986,3,17,-12.4,1,948.75,1,13.21,0.875,159.38,1,NA,0,13.16,159.31,0.875
1986,3,18,-10.97,1,949.46,1,9.18,1,152.12,1,NA,0,9.15,152.28,1
1986,3,19,-11.85,1,948.99,1,5.92,1,146.5,1,NA,0,5.84,149.28,1
1986,3,20,-14.56,0.875,949.14,0.875,5.26,0.875,143.86,0.875,NA,0,5.19,145.32,0.875
1986,3,21,-19.11,0.875,951.99,0.875,7.89,0.875,147.43,0.875,NA,0,7.81,148.78,0.875
1986,3,22,-20.51,1,948.64,1,NA,0.625,133.5,1,NA,0,NA,NA,0.625
1986,3,23,-24.02,1,945.12,1,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1986,3,24,-24.31,1,948.15,1,2.67,1,352,1,NA,0,2.66,350.89,1
1986,3,25,-21.34,1,947.79,1,NA,0.25,NA,0.5,NA,0,NA,NA,0.25
1986,3,26,-22.15,1,939.72,1,15.11,0.875,155.62,1,NA,0,15.04,155.43,0.875
1986,3,27,-19.24,1,935.79,1,7.4,0.875,156.88,1,NA,0,7.39,156.26,0.875
1986,3,28,-18.54,1,923.62,1,14.8,0.75,159.25,1,NA,0,14.62,158.82,0.75
1986,3,29,-16.83,0.875,927.14,1,6.87,0.875,147.88,1,NA,0,6.63,157.83,0.875
