Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,4,3,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
2009,4,4,-2.11,1,1008.71,1,2.48,1,109.38,1,65.5,1,1.98,93.35,1
2009,4,5,-2.75,1,1002.38,1,4,1,96.25,1,64.24,1,3.96,95.42,1
2009,4,6,-2.39,1,1001.72,1,1.55,1,116.25,1,59.31,1,1.35,115.68,1
2009,4,7,-1.75,1,1002.84,1,1.49,1,140.62,1,66.93,1,0.85,137.89,1
2009,4,8,-2.75,1,1000.12,1,1.84,1,127.5,1,67.63,1,1.31,103.44,1
2009,4,9,-2.38,1,996.29,1,1.81,1,158,1,73.4,1,1.19,117.44,1
2009,4,10,0.6,1,979.16,1,NA,0.5,98.25,1,47.61,1,NA,NA,0.5
2009,4,11,1.07,1,986.94,1,4.83,0.75,142.75,1,50.26,1,3.77,105.69,0.75
2009,4,12,2.52,1,981.61,1,5.2,0.75,103.38,1,38.02,1,5.16,101.87,0.75
2009,4,13,-0.32,1,988.35,1,3.12,1,177.5,1,63.6,1,1.89,184.13,1
2009,4,14,-0.39,1,984.71,1,NA,0.625,108.75,1,82.39,1,NA,NA,0.625
2009,4,15,1.01,1,985.51,1,NA,0.625,236.38,1,83.29,1,NA,NA,0.625
2009,4,16,0.21,1,993.91,1,2.23,0.875,243.25,1,83.19,1,1.75,346.89,0.875
2009,4,17,-2.16,1,995.11,1,3.93,0.875,225.12,1,67.54,1,3.6,239.68,0.875
2009,4,18,-2.94,1,1003.48,1,1.84,1,237.25,1,65.36,1,1.08,231.63,1
2009,4,19,-1.32,1,1000.55,1,2.24,1,127.62,1,72.94,1,1.01,120.72,1
2009,4,20,-2,1,980.34,1,3.01,1,140.12,1,90.18,1,1.51,125.13,1
2009,4,21,-0.3,1,965.32,1,5.18,0.75,78,1,79.7,1,3.72,69.44,0.75
2009,4,22,-3.25,1,968.12,1,NA,0.375,128.75,1,74.8,1,NA,NA,0.375
2009,4,23,-4.61,1,968.54,1,NA,0.25,172,1,73.24,1,NA,NA,0.25
2009,4,24,-1.44,1,967.56,1,NA,0.5,160.38,1,88.94,1,NA,NA,0.5
2009,4,25,-3.28,1,962.8,1,NA,0.5,213.25,1,76.79,1,NA,NA,0.5
2009,4,26,-4.01,1,960.18,1,4.29,0.875,191.88,1,71.51,1,0.46,38.5,0.875
2009,4,27,-4.4,1,961.04,1,NA,0.625,80.75,1,63.5,1,NA,NA,0.625
2009,4,28,-4.47,1,969.85,1,NA,0.375,188.75,1,72.04,1,NA,NA,0.375
2009,4,29,-5.64,1,988.85,1,NA,0.625,227.75,1,60.5,1,NA,NA,0.625
2009,4,30,-4.38,1,981.05,1,NA,0.625,109.25,1,62.15,1,NA,NA,0.625
2009,5,1,-2.65,1,981.44,1,NA,0.5,136.38,1,79.88,1,NA,NA,0.5
2009,5,2,-1.27,1,985.55,1,NA,0.5,128.25,1,85.68,1,NA,NA,0.5
2009,5,3,-0.1,1,971.92,1,NA,0.375,109.62,1,92.39,1,NA,NA,0.375
2009,5,4,-0.48,1,959.89,1,NA,0.25,137.12,1,92.51,1,NA,NA,0.25
2009,5,5,-1.51,1,959.19,1,NA,0.625,105.62,1,53.21,1,NA,NA,0.625
2009,5,6,-0.59,1,975.94,1,NA,0.5,108.75,1,47.14,1,NA,NA,0.5
2009,5,7,-1.31,1,986.76,1,6.07,0.875,101.25,1,44.31,1,6,98.08,0.875
