Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2004,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,2,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2004,2,3,NA,0.25,NA,0,1.64,0.875,207.57,0.875,71.21,0.875,0.79,254.05,0.875
2004,2,4,NA,0,NA,0,1.15,1,218,1,60.28,1,1.07,219.85,1
2004,2,5,NA,0.25,NA,0,NA,0.625,NA,0.625,57.24,1,NA,NA,0.625
2004,2,6,NA,0.375,NA,0,2.59,1,140.38,1,71.1,1,2.5,144.33,1
2004,2,7,-16.15,0.75,NA,0,4.46,1,167.25,1,69.84,1,4.45,166.35,1
2004,2,8,NA,0.375,NA,0,2.09,0.875,160,0.875,66.43,1,0.53,152.3,0.875
2004,2,9,NA,0.375,NA,0,2.41,1,181.5,1,78.33,1,0.72,301.41,1
2004,2,10,-19.45,0.75,NA,0,4.65,1,201.75,1,77.98,1,4.55,202.62,1
2004,2,11,-23.42,0.75,NA,0,3.94,1,209,1,68.75,1,3.9,209.22,1
2004,2,12,NA,0.625,NA,0,4.19,1,218.75,1,69.51,1,4.16,217.65,1
2004,2,13,NA,0.375,NA,0,5.31,1,209.5,1,67.65,1,5.16,210.52,1
2004,2,14,NA,0.5,NA,0,3.5,0.75,192.86,0.875,75.54,1,2.34,236.81,0.75
2004,2,15,NA,0.5,NA,0,2.91,0.875,158.75,1,80.79,1,1.11,169.63,0.875
2004,2,16,-18.25,1,NA,0,7.88,1,209.12,1,79.02,1,7.72,209.18,1
2004,2,17,-17.45,0.75,NA,0,8.8,0.75,220.25,1,80.03,1,8.61,213.63,0.75
2004,2,18,NA,0.375,NA,0,1.73,1,221,1,75.56,1,1.18,329.99,1
2004,2,19,-14.38,0.75,NA,0,2.06,0.875,95.57,0.875,74.75,1,2.03,96.16,0.875
2004,2,20,NA,0.625,NA,0,1.94,1,151.12,1,78.27,1,1.63,126.74,1
2004,2,21,NA,0.375,NA,0,1.73,0.875,199.71,0.875,73.65,1,0.74,302.81,0.875
2004,2,22,NA,0.25,NA,0,1.36,0.875,306.57,0.875,82.16,1,1.26,306.14,0.875
2004,2,23,NA,0.25,NA,0,1.64,0.875,147.71,0.875,76.26,1,0.62,13.58,0.875
2004,2,24,NA,0.5,NA,0,7.9,0.75,181.75,1,82.94,1,7.57,197.74,0.75
2004,2,25,-27.32,0.75,NA,0,6.97,0.75,201,0.75,74.03,0.75,6.89,196.91,0.75
