Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,22,-10.06,0.875,953.79,1,4.19,0.875,84.38,1,73.33,1,3.99,59.61,0.875
2009,12,23,NA,0.625,951.01,1,3.48,1,80.5,1,74.22,1,2.54,74.18,1
2009,12,24,NA,0.375,954.28,1,1.51,0.875,213.62,1,76.91,1,1.32,357.19,0.875
2009,12,25,-7.35,0.75,950.48,1,NA,0.625,74.25,1,70.89,1,NA,NA,0.625
2009,12,26,-4.15,1,947.06,1,7.51,1,88.5,1,77.56,1,7.39,87.63,1
2009,12,27,-3.49,1,948.84,1,9.81,0.875,94.25,1,77.47,1,9.8,93.84,0.875
2009,12,28,-4.03,0.875,954.28,1,4.68,1,59.88,1,87.14,1,4.37,65.83,1
2009,12,29,NA,0.625,955.91,1,3.72,1,105.12,1,75.45,1,3.47,112.82,1
2009,12,30,-3.7,1,951.65,1,NA,0.625,95.75,1,74.46,1,NA,NA,0.625
2009,12,31,-7.03,1,961.82,1,7.12,1,75.25,1,86.42,1,6.83,74.23,1
2010,1,1,-6.95,1,966.08,1,5.12,1,93.62,1,82.03,1,5.03,94.69,1
2010,1,2,-8.28,0.75,970.49,1,2.65,1,99.75,1,70.1,1,1.58,92.14,1
2010,1,3,NA,0.125,966.75,1,1.16,1,225.12,1,81.96,1,0.94,1.81,1
2010,1,4,NA,0.5,971.15,1,3.24,1,97.75,1,70.7,1,2.55,88.52,1
2010,1,5,-6.82,0.75,971.08,1,2.69,1,139.5,1,71.94,1,1.63,78.03,1
2010,1,6,-4.45,1,970.06,1,4.54,1,100.88,1,71.4,1,4.48,102.82,1
2010,1,7,NA,0.375,967.39,1,1.97,1,158,1,69.72,1,1.41,75.27,1
2010,1,8,-3.98,1,966.15,1,4.66,0.875,103,1,66.1,1,4.13,118.02,0.875
2010,1,9,-3.16,0.875,968.19,1,7.75,0.75,114.62,1,70.19,1,7.6,88.47,0.75
2010,1,10,NA,0.5,965.95,1,1.9,0.875,201.75,1,90.72,1,0.95,310.43,0.875
2010,1,11,-8.69,0.875,963.76,1,3.4,1,101.62,1,79.94,1,2.6,68.99,1
2010,1,12,-5.47,0.875,960.15,1,4.79,1,91,1,70.06,1,3.95,92.71,1
2010,1,13,-7.2,1,959.54,1,6.53,0.875,81,1,71.79,1,6.38,81.36,0.875
2010,1,14,NA,0.625,961.51,1,3.02,0.75,114.25,1,70.61,1,2.31,93.4,0.75
2010,1,15,-2.69,0.875,955.44,1,6.17,0.75,87.38,1,73.94,1,5.47,91.23,0.75
2010,1,16,-0.79,1,950.96,1,7.86,1,88,1,74.78,1,7.58,88.24,1
2010,1,17,NA,0.5,953.38,1,1.57,0.75,114.38,1,79.05,1,1.25,49.48,0.75
2010,1,18,-3.63,0.75,956.48,1,3.54,0.875,101.5,1,64.69,1,2.98,115.22,0.875
2010,1,19,-2.73,0.75,959.68,1,3.83,1,142.88,1,55.96,1,3.36,119.36,1
2010,1,20,NA,0.375,958.51,1,1.69,1,216.88,1,65.22,1,0.4,262.21,1
2010,1,21,NA,0.5,959.7,1,2.4,0.875,131.88,1,65.08,1,1.92,76.94,0.875
2010,1,22,-5.9,0.75,964.6,0.75,NA,0.625,93.67,0.75,67.98,0.75,NA,NA,0.625
2010,1,23,-8.67,0.875,965.79,1,6.09,0.875,110.75,1,70.08,1,5.86,78.9,0.875
2010,1,24,-7.46,0.875,961.05,1,4.07,0.75,127.12,1,68.91,1,3.19,82.77,0.75
2010,1,25,-5.6,1,965.9,1,7.38,1,85.88,1,69.49,1,7.08,89.54,1
2010,1,26,NA,0.375,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
2010,1,27,NA,0.25,964.18,1,1.23,1,155.75,1,82.35,1,0.44,117.78,1
2010,1,28,-7.57,0.75,963.44,1,2.39,0.875,95.12,1,69.81,1,2.01,78.11,0.875
2010,1,29,-7.14,1,962.71,1,8.22,1,56.88,1,75,1,8.15,57.06,1
2010,1,30,-9.08,1,964.62,1,5.43,0.875,66.38,1,84.45,1,5.27,65.22,0.875
2010,1,31,-9.78,1,959.72,1,6.45,1,87.75,1,79.34,1,6.12,87,1
2010,2,1,-6.6,1,950.86,1,NA,0.375,105,1,73.66,1,NA,NA,0.375
2010,2,2,-5.91,1,957.04,1,NA,0.5,88.62,1,84.26,1,NA,NA,0.5
2010,2,3,-6.32,1,954.38,1,6.11,1,86,1,76.95,1,6.03,86.25,1
2010,2,4,-6.42,1,955.85,1,7.09,0.875,83.38,1,68.47,1,6.96,86.23,0.875
2010,2,5,-6.94,1,968.54,1,9.21,1,85,1,66.86,1,9.14,85.36,1
2010,2,6,-7.91,1,969.05,1,8.11,1,82.88,1,67.7,1,7.93,83.19,1
2010,2,7,-11.55,1,962.44,1,5.96,0.875,79.38,1,68.66,1,5.75,75.29,0.875
2010,2,8,-11.45,1,959.79,1,7.74,1,91.12,1,66.54,1,7.46,90.86,1
2010,2,9,-9.65,1,966.79,1,9.46,0.875,92.5,1,65.59,1,9.29,90.86,0.875
2010,2,10,-8.6,1,967.66,1,10.01,1,99.88,1,58.52,1,9.96,99.85,1
2010,2,11,-8.18,1,970.6,1,9.51,0.875,92.5,1,61.66,1,9.39,92.54,0.875
2010,2,12,-7.09,1,969.04,1,NA,0.625,88.62,1,59.85,1,NA,NA,0.625
2010,2,13,-11.82,1,966.1,1,9.18,0.75,86.25,1,70.45,1,9.07,86.56,0.75
2010,2,14,-11.59,1,965.28,1,6.46,1,88.5,1,74.9,1,6.28,88.15,1
2010,2,15,-10.71,1,962.18,1,5.05,1,84.88,1,80.05,1,5.01,84.7,1
2010,2,16,-13.86,0.875,961.94,1,NA,0.5,76.25,1,70.3,1,NA,NA,0.5
2010,2,17,-15.55,1,963.85,1,5.89,1,89.75,1,65.24,1,5.33,89.39,1
2010,2,18,-15.58,1,963.78,1,6.36,1,98.62,1,68.83,1,6.05,100.69,1
2010,2,19,-14.51,1,958.78,1,6.78,1,130.25,1,55.46,1,6.4,127.42,1
2010,2,20,-8.95,1,948.65,1,NA,0.625,116,1,61.6,1,NA,NA,0.625
