Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1980,12,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,10,NA,0.25,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1980,12,11,-6.97,0.875,988.83,1,4,1,255.62,1,NA,0,3.61,243.08,1
1980,12,12,-8.31,0.875,990.81,1,4.54,1,219.88,1,NA,0,4.35,214.72,1
1980,12,13,NA,0.125,990.07,1,1.61,0.875,113.86,0.875,NA,0,0.9,44.3,0.875
1980,12,14,NA,0.375,987.13,1,1.69,0.875,121.57,0.875,NA,0,1.58,25.55,0.875
1980,12,15,NA,0.375,986.16,1,2.21,1,152.38,1,NA,0,2.06,161.29,1
1980,12,16,-8.8,0.875,989.27,1,3.69,1,180,1,NA,0,3.55,175.72,1
1980,12,17,-10.6,0.75,990.86,1,2.84,1,179.12,1,NA,0,2.65,172.7,1
1980,12,18,-11.36,0.875,991.27,1,3.46,0.875,182.29,0.875,NA,0,3.26,175.11,0.875
1980,12,19,NA,0.375,984.74,1,1.87,0.875,300,0.875,NA,0,1.83,354.4,0.875
1980,12,20,NA,0.25,985.65,1,2.17,1,273.75,1,NA,0,2.04,266.83,1
1980,12,21,NA,0.625,985.74,1,3.67,0.875,248,0.875,NA,0,3.38,260.9,0.875
1980,12,22,NA,0.375,985.35,1,1.17,0.75,152.33,0.75,NA,0,0.3,229.05,0.75
1980,12,23,NA,0.5,983.25,1,3.3,1,239.62,1,NA,0,2.74,227.19,1
1980,12,24,-5.9,1,983.66,1,5.46,1,211.25,1,NA,0,5.11,213.46,1
1980,12,25,-7.69,0.875,987.53,0.875,5.96,0.875,203.43,0.875,NA,0,5.73,205.59,0.875
1980,12,26,-7.91,1,985.05,1,3.89,1,225.88,1,NA,0,3.78,223.52,1
1980,12,27,-7.89,0.875,985.71,1,5.8,1,NA,0.375,NA,0,NA,NA,0.375
1980,12,28,-7.74,1,989.93,1,6.87,0.875,220.25,1,NA,0,6.67,214.86,0.875
1980,12,29,-6.29,0.875,987.81,1,6.54,0.875,223.38,1,NA,0,6.44,222.22,0.875
1980,12,30,-5.13,1,980.84,1,8.86,1,217.57,0.875,NA,0,8.83,216.49,0.875
1980,12,31,-4.77,0.875,977.71,1,6.01,1,189.5,0.75,NA,0,4.65,185.93,0.75
1981,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,16,-12.03,0.875,987.7,1,3.5,1,217,1,NA,0,3.44,217.48,1
1981,1,17,NA,0.375,977.11,1,1.94,0.875,175.43,0.875,NA,0,1.01,208.34,0.875
1981,1,18,NA,0.375,979.33,1,3.41,1,144.5,1,NA,0,2.47,176.84,1
1981,1,19,-10.13,0.875,986.74,1,5.16,1,220.62,1,NA,0,4.76,221.19,1
1981,1,20,-8.24,0.875,981.28,1,3.86,0.875,211.62,1,NA,0,3.6,208.1,0.875
1981,1,21,-5.48,1,978.93,1,6.27,0.75,217.5,1,NA,0,6.24,223.25,0.75
1981,1,22,-4.66,1,985.54,1,5.5,0.75,227.5,1,NA,0,4.78,233.74,0.75
1981,1,23,-4.75,1,986.79,1,3.88,1,252,1,NA,0,2.91,250.02,1
1981,1,24,NA,0.375,977.99,1,2.34,0.875,212.43,0.875,NA,0,1.71,274.31,0.875
1981,1,25,NA,0.125,973.89,1,1.97,0.875,143.57,0.875,NA,0,1.03,54.21,0.875
1981,1,26,-10.13,0.75,976.56,1,2.57,0.875,196.57,0.875,NA,0,2.39,186.45,0.875
1981,1,27,-10.74,0.875,979.28,1,4.27,0.875,213.17,0.75,NA,0,NA,NA,0.625
