Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,2,6,NA,0,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2010,2,7,NA,0.5,931.7,1,3.72,1,244.5,1,68.85,1,3.35,267.75,1
2010,2,8,NA,0.625,926.69,1,3.46,1,234,1,82.86,1,1.84,267.41,1
2010,2,9,NA,0.625,925.52,1,NA,0.625,NA,0.625,91.77,1,NA,NA,0.625
2010,2,10,NA,0.625,920.71,1,NA,0.375,241.17,0.75,84.26,1,NA,NA,0.375
2010,2,11,-4.42,0.75,914.95,1,NA,0.625,240.62,1,77.85,1,NA,NA,0.625
2010,2,12,-1.77,0.875,925.88,1,4.5,0.75,170.88,1,78.6,1,4.26,170.61,0.75
2010,2,13,NA,0.5,937.31,1,1.86,0.875,190,1,86.28,1,0.33,236.3,0.875
2010,2,14,NA,0.375,940.8,1,2.67,1,238,1,83.31,1,2.47,272.27,1
2010,2,15,NA,0.5,938.52,1,3.58,1,263.12,1,61.84,1,3.48,265.92,1
2010,2,16,5.45,1,933.49,1,7.08,0.75,268.38,1,57.6,1,7.01,267.54,0.75
2010,2,17,0.98,0.75,926.74,1,NA,0.375,267.5,1,60.88,1,NA,NA,0.375
2010,2,18,-0.69,1,929.91,1,5.15,0.75,264.62,1,58.58,1,5.12,268.05,0.75
2010,2,19,-1.32,0.75,928.18,1,4.24,1,261.62,1,60.39,1,3.84,276.85,1
2010,2,20,NA,0.625,931.89,1,NA,0.625,NA,0.625,88.15,1,NA,NA,0.625
2010,2,21,NA,0.25,938.25,1,1.5,1,208.88,1,86.54,1,1.01,339.84,1
2010,2,22,NA,0.125,930.56,1,1.59,1,226.25,1,77.9,1,1.16,272.22,1
2010,2,23,NA,0.25,932.55,1,1.71,1,228.12,1,76.62,1,1.09,270.68,1
2010,2,24,NA,0.375,925.62,1,1.69,0.875,239.25,1,74.16,1,1.3,266.54,0.875
2010,2,25,NA,0.375,924.38,1,3.4,1,243.38,1,65.89,1,2.57,255.36,1
2010,2,26,NA,0.125,912.11,1,1.75,1,191,1,85.35,1,0.2,115.33,1
2010,2,27,NA,0.125,915.38,1,2.31,1,171.25,1,79.74,1,1.43,256.5,1
2010,2,28,NA,0.375,913.21,1,1.49,1,158.12,1,82.5,1,0.44,47.45,1
2010,3,1,-14.28,1,923.51,1,1.3,1,166.38,1,84.44,1,0.29,129.35,1
2010,3,2,NA,0.375,930.15,1,3.63,0.75,247.75,1,75.05,1,3.17,272.44,0.75
2010,3,3,-13.55,1,920.35,1,1.53,0.875,165,1,87.62,1,1.05,80.91,0.875
2010,3,4,-12.73,0.75,925.4,1,NA,0.625,217,1,78.8,1,NA,NA,0.625
2010,3,5,-0.9,1,937.19,1,NA,0.125,222.62,1,63.15,1,NA,NA,0.125
2010,3,6,-0.98,1,923.96,1,1.94,1,181.62,1,76.19,1,0.84,209.01,1
2010,3,7,NA,0.625,928.11,1,NA,0.625,237.25,1,67.25,1,NA,NA,0.625
2010,3,8,-3.01,0.875,914.74,1,2.09,1,170,1,84.16,1,1.01,116.32,1
2010,3,9,-1.03,0.875,902.68,1,NA,0.625,259.12,1,76.15,1,NA,NA,0.625
2010,3,10,-0.2,1,915.88,1,NA,0.5,271.25,1,61.73,1,NA,NA,0.5
2010,3,11,-4.72,1,920.48,1,2.1,0.875,258,1,80.59,1,0.36,274.26,0.875
2010,3,12,-9.95,0.75,923.16,1,1.26,1,265,1,85.9,1,0.87,278.25,1
2010,3,13,NA,0.5,924.96,1,1.89,1,213.62,1,83.69,1,1.33,267.77,1
2010,3,14,-10.94,0.875,927.51,1,1.6,1,217.88,1,89.89,1,0.83,301.84,1
2010,3,15,-8.98,0.75,925.04,1,1.48,1,188.38,1,82.01,1,0.41,228.86,1
2010,3,16,-12.21,1,923.62,1,1.65,1,214.38,1,86.89,1,0.69,329.89,1
2010,3,17,NA,0.625,929.7,1,1.54,1,154.62,1,81.65,1,0.22,271.61,1
2010,3,18,NA,0.625,924.95,1,1.32,1,182,1,85.21,1,0.96,256.73,1
2010,3,19,-19.26,1,920.71,1,1.76,1,137.75,1,85.99,1,1.57,92.37,1
2010,3,20,-21.76,1,913.51,1,1.35,1,164.12,1,84.14,1,0.75,98.89,1
2010,3,21,-22.99,1,906.6,1,1.35,1,205.38,1,83.26,1,0.36,106.67,1
2010,3,22,-23.68,1,909.66,1,NA,0.625,160.75,1,82.86,1,NA,NA,0.625
2010,3,23,NA,0.625,915,1,NA,0.125,NA,0.25,81.95,1,NA,NA,0.125
2010,3,24,-14.9,0.75,916.81,1,4.55,0.75,182.86,0.875,70.92,1,2.64,260.14,0.75
2010,3,25,-4.83,0.75,910.02,1,3.25,0.75,257.25,1,60.08,1,1.7,252.88,0.75
2010,3,26,NA,0.5,919.58,1,NA,0.625,236.62,1,71.64,1,NA,NA,0.625
2010,3,27,0.35,0.75,921.41,1,NA,0.375,208,1,67.74,1,NA,NA,0.375
2010,3,28,-14.18,1,915.59,1,2.12,1,127.12,1,89.45,1,1.68,110.66,1
2010,3,29,-20.21,1,912.54,1,2.3,1,184.25,1,84.9,1,0.98,171.36,1
2010,3,30,-21.15,1,910.75,1,1.72,1,185.75,1,84.35,1,0.49,187.77,1
2010,3,31,-21.18,1,916.04,1,1.67,0.75,161.12,1,83.85,1,0.49,107.55,0.75
2010,4,1,-22.54,1,913.49,1,3.45,0.75,150,1,81.84,1,3.04,116.39,0.75
2010,4,2,NA,0.625,921.24,1,NA,0.625,222,1,70.5,1,NA,NA,0.625
2010,4,3,-13.75,1,928.71,1,3.06,0.875,198.5,1,70.56,1,1.57,238.68,0.875
2010,4,4,-19.03,0.75,914.55,1,2.93,0.875,117.12,1,86.94,1,1.53,71.85,0.875
2010,4,5,-0.01,0.875,918.68,1,NA,0.25,269.17,0.75,76.69,1,NA,NA,0.25
2010,4,6,NA,0.375,922.02,1,NA,0.5,184,1,72.11,1,NA,NA,0.5
