Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2011,1,28,NA,0.375,964.99,0.875,2.01,0.875,81.43,0.875,70.76,0.875,1.58,52.46,0.875
2011,1,29,-4.07,0.75,964.89,1,3.23,1,82.25,1,70.69,1,3.02,83.89,1
2011,1,30,-6.92,0.75,968.85,1,2.85,1,84,1,82.04,1,1.92,54.35,1
2011,1,31,NA,0.375,969.89,1,1.72,1,152,1,81.03,1,0.44,50.15,1
2011,2,1,-5.48,0.75,968.6,1,2.35,1,119.75,1,71.31,1,0.62,84.84,1
2011,2,2,NA,0.625,965.11,1,2.54,1,74.25,1,69.06,1,2.4,33.89,1
2011,2,3,NA,0.5,964.75,1,2.47,0.875,104.75,1,67.58,1,2.11,30.33,0.875
2011,2,4,-5.91,1,962.78,1,5.21,1,49.5,1,71.46,1,5.19,48.9,1
2011,2,5,-4.31,1,961.06,1,3.54,1,78.75,1,71.09,1,3.14,40.02,1
2011,2,6,-5.8,0.875,968.25,1,3.05,1,76.13,1,80.41,1,2.45,68.99,1
2011,2,7,NA,0.625,962.41,1,NA,0.375,190.63,1,75.83,1,NA,NA,0.375
2011,2,8,-4.86,0.875,959.23,1,5.03,0.875,201.25,1,80.93,1,3.52,260.42,0.875
2011,2,9,-6.9,0.875,963.24,1,NA,0.5,159.14,0.875,81.46,1,NA,NA,0.5
2011,2,10,-6.26,0.875,957.63,1,5.5,0.75,201.75,1,70.1,1,3.56,308.62,0.75
2011,2,11,-8.11,1,964.01,1,6.29,1,46,1,84.41,1,5.89,42.31,1
2011,2,12,-7.2,0.875,971,1,3.01,1,245.25,1,67.25,1,2.35,262.04,1
2011,2,13,-8.03,0.875,967.08,1,NA,0.625,103.38,1,77.79,1,NA,NA,0.625
2011,2,14,NA,0.625,961.61,1,2.78,1,94,1,74.96,1,2.23,60.15,1
2011,2,15,NA,0.625,967.01,1,2.63,0.75,117.88,1,80.95,1,1.45,81.81,0.75
2011,2,16,-7.09,1,965.37,1,7.99,1,233.25,1,66.44,1,7.1,236.71,1
2011,2,17,-7.1,0.875,953.66,1,4.59,0.875,281.88,1,63.71,1,4.25,272.96,0.875
2011,2,18,-6.16,1,948.31,1,NA,0.375,120.38,1,80.44,1,NA,NA,0.375
2011,2,19,-6.86,1,958.74,1,5.96,0.875,92.88,1,91.03,1,4.19,74.02,0.875
2011,2,20,-4.94,0.875,962.53,1,5.5,0.875,284.13,1,76.54,1,5.32,295.85,0.875
2011,2,21,-4.68,1,960.91,1,7.78,0.75,181.88,1,81.59,1,3.43,86.15,0.75
2011,2,22,-6.91,1,950.66,1,NA,0.125,NA,0.125,92.99,1,NA,NA,0.125
2011,2,23,-7.21,1,953.43,1,NA,0.25,NA,0.375,92.84,1,NA,NA,0.25
2011,2,24,-7.24,0.875,953.41,1,NA,0.625,171.75,1,90.54,1,NA,NA,0.625
2011,2,25,-7,0.875,955.46,1,2.94,1,180.25,1,87.99,1,1.23,143.75,1
2011,2,26,-8.95,0.75,961.44,1,3.9,1,131.38,1,83.76,1,2.97,110.51,1
2011,2,27,NA,0.25,962.45,1,1.18,1,89.25,1,80.88,1,0.88,35.86,1
2011,2,28,-9.14,0.875,960.91,1,4.47,0.875,75.88,1,82.56,1,4.15,72.49,0.875
2011,3,1,-10.96,1,966.7,1,NA,0.25,72.86,0.875,90.3,1,NA,NA,0.25
2011,3,2,-9.36,1,970.46,1,3.91,1,185.75,1,89.76,1,0.68,260.89,1
2011,3,3,-10.99,1,956.34,1,NA,0.625,69,1,83.05,1,NA,NA,0.625
2011,3,4,-11.49,1,949.31,1,3.36,0.875,206.63,1,79.94,1,1.98,234.89,0.875
2011,3,5,-9.48,1,949.44,1,5.73,0.875,105.38,1,76.7,1,5.01,105.85,0.875
2011,3,6,-8.51,1,955.96,1,NA,0.625,114.5,1,77.55,1,NA,NA,0.625
2011,3,7,-10.64,1,957.89,1,NA,0.625,95.25,1,90.81,1,NA,NA,0.625
2011,3,8,-10.84,1,969.81,1,NA,0.625,101.86,0.875,90.48,1,NA,NA,0.625
2011,3,9,-12.2,1,969.89,1,7.03,1,46.38,1,89.86,1,6.9,47.52,1
2011,3,10,-14.96,1,963.53,1,5.89,1,39.88,1,88.2,1,5.56,39.58,1
2011,3,11,-14.34,1,954.27,1,5.79,0.875,251.75,1,85.24,1,4.44,262.89,0.875
2011,3,12,-14.24,1,951.97,1,8.07,0.875,286.25,1,86.84,1,7.22,289.68,0.875
2011,3,13,-14.83,1,956.93,1,5.88,0.75,131.25,1,87.91,1,3.54,105.34,0.75
2011,3,14,-16.51,1,958.12,1,3.65,1,128.25,1,87.07,1,3.36,124.81,1
2011,3,15,-17.43,1,961.61,1,1.89,1,60.5,1,86.88,1,1.72,64.32,1
2011,3,16,-16.89,1,970.18,1,2.05,1,237.63,1,86.76,1,1.6,339.4,1
2011,3,17,-15.69,1,969.4,1,4.8,0.75,271.13,1,82.56,1,4.46,264.19,0.75
2011,3,18,-17.88,1,968.93,1,NA,0.625,155.75,1,86.29,1,NA,NA,0.625
2011,3,19,-17.84,1,967.83,1,NA,0.25,82,0.875,86.11,1,NA,NA,0.25
2011,3,20,-15.51,1,966.48,1,6.88,0.75,172,1,88.06,1,2.84,108.87,0.75
2011,3,21,-12.02,1,963.89,1,NA,0.625,231.75,1,89.29,1,NA,NA,0.625
2011,3,22,-9.3,1,967.89,1,NA,0.375,147,1,89.6,1,NA,NA,0.375
2011,3,23,-10.51,1,968.7,1,5.61,0.875,205.13,1,85.86,1,2.77,311.09,0.875
2011,3,24,-10.39,1,977.27,1,4.85,0.75,174.5,1,79.46,1,1.93,291.91,0.75
2011,3,25,-13.26,1,983.71,1,2.11,1,146.5,1,79.94,1,1.59,142.36,1
2011,3,26,-14.24,1,974.2,1,4.67,0.75,308.5,1,83.28,1,4.37,300.8,0.75
2011,3,27,-16.19,1,971.96,1,NA,0.5,126.5,1,84.8,1,NA,NA,0.5
2011,3,28,-19.35,1,973.81,1,4.77,0.875,188.13,1,82.49,1,1.83,274.82,0.875
2011,3,29,-19.64,1,971,1,8.21,0.875,246.5,1,72.39,1,8.15,244.77,0.875
2011,3,30,-20.11,1,974.74,1,4.72,0.75,141.38,1,75.35,1,1.88,223.87,0.75
2011,3,31,-19.38,1,974.82,1,5.35,0.75,155.5,1,85.8,1,3.18,156.12,0.75
2011,4,1,-19.54,1,968.8,1,6.91,0.875,241.75,1,85.73,1,4.49,279.87,0.875
2011,4,2,-22.5,1,969.13,1,NA,0.375,NA,0.375,84.15,1,NA,NA,0.375
2011,4,3,-22.41,1,977.98,1,NA,0,NA,0,84.31,1,NA,NA,0
2011,4,4,-22.31,1,972.47,1,NA,0,NA,0,83.75,1,NA,NA,0
2011,4,5,-22.73,1,970.08,1,NA,0,NA,0,83.66,1,NA,NA,0
2011,4,6,-29.46,0.875,969.55,1,NA,0,NA,0,80.53,1,NA,NA,0
2011,4,7,-23.26,0.875,973.54,1,NA,0.625,NA,0.625,83.43,1,NA,NA,0.625
2011,4,8,-24.25,1,966.61,1,NA,0,NA,0,82.94,1,NA,NA,0
2011,4,9,-23.68,1,948.48,1,NA,0.375,NA,0.375,83.24,1,NA,NA,0.375
2011,4,10,-23.95,1,939.03,1,9.85,0.75,295.14,0.875,83.35,1,8.51,274.53,0.75
2011,4,11,-20.47,0.875,953.95,1,NA,0.125,NA,0.125,85.59,1,NA,NA,0.125
2011,4,12,-17.6,1,967.3,1,NA,0.125,NA,0.125,86.4,1,NA,NA,0.125
2011,4,13,-15.86,1,955.31,1,NA,0.625,266,1,86.61,1,NA,NA,0.625
2011,4,14,-8.24,0.875,957.29,1,NA,0.5,152.25,1,92.04,1,NA,NA,0.5
2011,4,15,-5.7,1,971.41,1,NA,0.375,134.83,0.75,93.61,1,NA,NA,0.375
2011,4,16,-7.79,1,969.31,1,NA,0.625,223.5,1,87.43,1,NA,NA,0.625
2011,4,17,-14.73,0.875,959.4,1,NA,0.5,211.67,0.75,88.8,1,NA,NA,0.5
2011,4,18,-17.18,1,964.78,1,NA,0,NA,0,87.38,1,NA,NA,0
2011,4,19,-19.37,1,972.09,1,NA,0,NA,0,86.28,1,NA,NA,0
2011,4,20,-18.81,1,968.63,1,NA,0,NA,0,86.55,1,NA,NA,0
2011,4,21,-22.13,0.875,966.21,1,NA,0,NA,0,84.69,1,NA,NA,0
2011,4,22,-27.71,1,972.2,1,NA,0,NA,0,82.11,1,NA,NA,0
2011,4,23,-25.99,1,973.21,1,NA,0.25,NA,0.25,77.78,1,NA,NA,0.25
2011,4,24,-23.86,1,967.06,1,3.17,0.75,147.75,1,78.21,1,0.76,134.42,0.75
2011,4,25,-23.47,0.75,964.05,1,NA,0.5,218.38,1,75.44,1,NA,NA,0.5
2011,4,26,-17.61,0.875,964.44,1,NA,0.375,196.25,1,83.96,1,NA,NA,0.375
2011,4,27,-20.58,1,959.28,1,4.77,0.75,163.63,1,81.01,1,4.51,0.94,0.75
2011,4,28,-21.26,1,961.25,1,NA,0.125,NA,0.125,84.53,1,NA,NA,0.125
2011,4,29,-20.04,1,964.06,1,4.75,1,196.13,1,80.08,1,3.08,339.71,1
2011,4,30,-22.45,1,967.06,1,4.63,0.75,240.13,1,85.79,1,3.24,319,0.75
2011,5,1,-22.14,1,969.31,1,NA,0.375,241.67,0.75,80.8,1,NA,NA,0.375
2011,5,2,-21,1,967.09,1,NA,0.625,NA,0.625,85.12,1,NA,NA,0.625
2011,5,3,-22.58,1,966.76,1,NA,0,NA,0,84.26,1,NA,NA,0
2011,5,4,-25.79,1,963.7,1,NA,0,NA,0,82.54,1,NA,NA,0
2011,5,5,-28.08,1,962.43,1,NA,0,NA,0,81.59,1,NA,NA,0
2011,5,6,-29.51,1,956.28,1,NA,0,NA,0,80.57,1,NA,NA,0
2011,5,7,-27.24,1,946.54,1,NA,0,NA,0,81.9,1,NA,NA,0
2011,5,8,-27.18,1,951.44,1,NA,0.5,NA,0.5,81.09,1,NA,NA,0.5
2011,5,9,-21.18,1,948.46,1,NA,0.625,215.13,1,83.31,1,NA,NA,0.625
2011,5,10,-17.1,1,958.97,1,NA,0.375,209.75,1,74.13,1,NA,NA,0.375
2011,5,11,-16.83,1,965.35,1,NA,0.5,238,1,65.95,1,NA,NA,0.5
2011,5,12,-17.53,1,963.81,1,4.77,0.75,232.25,1,64.46,1,2.38,260.36,0.75
2011,5,13,-19.15,1,963.83,1,5.02,0.75,186,1,78.25,1,2.67,217.48,0.75
2011,5,14,-22.34,1,964.39,1,2.24,1,166.63,1,86.44,1,1.51,169,1
2011,5,15,-24.28,1,960.25,1,7.11,0.875,264.14,0.875,78.66,1,7.03,259.92,0.875
2011,5,16,-23.43,1,961.21,1,6.32,0.75,256.88,1,76.41,1,6.06,248.85,0.75
2011,5,17,-21.38,1,958.16,1,NA,0.625,187.5,1,76.02,1,NA,NA,0.625
2011,5,18,-17.87,1,950.04,1,NA,0.625,154.75,1,86.36,1,NA,NA,0.625
2011,5,19,-14.8,1,936.78,1,7.27,1,248.13,1,86.71,1,5.04,257.8,1
2011,5,20,-11.51,1,932.16,1,5.78,0.75,193.88,1,86.31,1,1.94,147.74,0.75
2011,5,21,-10.74,1,936.05,1,6.7,1,137.88,1,90.75,1,4.32,135.4,1
2011,5,22,-15.46,1,940.43,1,NA,0.625,102.63,1,88.19,1,NA,NA,0.625
2011,5,23,-22.25,0.75,945.24,1,NA,0.625,228.33,0.75,84.59,1,NA,NA,0.625
2011,5,24,-23.66,1,949.74,1,NA,0.625,177.43,0.875,84.11,1,NA,NA,0.625
2011,5,25,-22.3,1,954.01,1,5.52,0.75,173.38,1,84.46,1,3.93,212.07,0.75
2011,5,26,-24.35,1,947.89,1,13.91,1,232,1,82.32,1,13.75,232.71,1
2011,5,27,-24.03,1,948.03,1,NA,0.625,293.88,1,82.46,1,NA,NA,0.625
2011,5,28,-23.26,1,962.93,1,3.39,0.875,250.29,0.875,84.4,1,1.65,320.3,0.875
2011,5,29,-22.26,1,962.74,1,NA,0.5,NA,0.5,82.14,1,NA,NA,0.5
2011,5,30,-24.98,0.75,957.58,1,NA,0.625,213,1,78.85,1,NA,NA,0.625
2011,5,31,-22.68,1,959.58,1,NA,0.5,246.25,1,80.75,1,NA,NA,0.5
2011,6,1,-19.11,1,959.05,1,5.23,0.875,184.5,1,86.06,1,1.96,246.83,0.875
2011,6,2,-22.53,1,958.55,1,1.7,1,182.5,1,84.25,1,0.35,188.02,1
2011,6,3,-21.64,1,955.57,1,NA,0.25,NA,0.25,84.69,1,NA,NA,0.25
2011,6,4,-23.84,1,960.03,1,NA,0.625,204.25,1,83.2,1,NA,NA,0.625
2011,6,5,-23.15,1,959.28,1,NA,0.625,243.25,1,83.63,1,NA,NA,0.625
2011,6,6,-23.04,1,954.44,1,10.02,0.75,223.75,1,83.16,1,8.26,274.22,0.75
2011,6,7,-22.2,1,954.33,1,NA,0.25,210.63,1,79.94,1,NA,NA,0.25
2011,6,8,-19.95,1,947.28,1,NA,0.5,230.25,1,67.55,1,NA,NA,0.5
2011,6,9,-14.99,1,946.7,1,6.08,0.75,217.88,1,85.69,1,2.47,296.76,0.75
2011,6,10,-15.88,1,955.75,1,NA,0.25,133.13,1,87.66,1,NA,NA,0.25
2011,6,11,-14.45,1,957.68,1,NA,0.25,172.63,1,87.15,1,NA,NA,0.25
2011,6,12,-13.55,1,952.53,1,NA,0.625,157.38,1,87.34,1,NA,NA,0.625
2011,6,13,-14.4,1,953.21,1,NA,0.625,124.25,1,87.76,1,NA,NA,0.625
2011,6,14,-16.11,1,959.04,1,3.13,0.75,172.5,1,87.73,1,1.81,177.9,0.75
2011,6,15,-13.89,1,961.12,1,NA,0.375,224.5,1,80.9,1,NA,NA,0.375
2011,6,16,-9.46,1,975.16,1,NA,0.625,268.88,1,72.9,1,NA,NA,0.625
2011,6,17,-11.2,1,978.75,1,NA,0.5,101.5,1,72.19,1,NA,NA,0.5
2011,6,18,-15.41,1,975.66,1,NA,0.625,NA,0.625,88.21,1,NA,NA,0.625
2011,6,19,-19.85,1,982.21,1,NA,0,NA,0,85.62,1,NA,NA,0
2011,6,20,-19.41,1,981.87,1,NA,0,NA,0,85.68,1,NA,NA,0
2011,6,21,-23.93,0.875,966.68,1,NA,0,NA,0,83.31,1,NA,NA,0
2011,6,22,-25.67,1,964.46,1,NA,0,NA,0,82.5,1,NA,NA,0
2011,6,23,-28.86,1,974.85,1,NA,0,NA,0,81.05,1,NA,NA,0
2011,6,24,-29.91,1,978.19,1,NA,0,NA,0,80.54,1,NA,NA,0
2011,6,25,-29.54,1,965.35,1,NA,0,NA,0,80.46,1,NA,NA,0
2011,6,26,-29.19,1,962.78,1,NA,0,NA,0,80.61,1,NA,NA,0
2011,6,27,-27.28,1,958.96,1,NA,0,NA,0,81.15,1,NA,NA,0
2011,6,28,-26.93,1,964.44,1,NA,0,NA,0,82.08,1,NA,NA,0
2011,6,29,-28.17,1,966.97,1,6.57,0.75,241.25,1,81.02,1,4.3,332.78,0.75
2011,6,30,-29.53,1,962.38,1,2.58,1,206.38,1,80.79,1,1.69,152.01,1
2011,7,1,-31.73,1,957.95,1,2.33,0.875,126.43,0.875,79.71,1,1.88,95.2,0.875
2011,7,2,-30.72,1,950.85,1,NA,0.375,NA,0.375,79.86,1,NA,NA,0.375
2011,7,3,-25.09,1,941.22,1,NA,0.625,209.29,0.875,82.35,1,NA,NA,0.625
