Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1984,10,29,NA,0.375,NA,0.5,NA,0.5,NA,0,NA,0,NA,NA,0
1984,10,30,NA,0.25,686.15,0.75,7.62,0.75,NA,0.625,NA,0,NA,NA,0.625
1984,10,31,NA,0.625,680.94,0.875,11.41,0.875,167,0.875,NA,0,11.36,167.35,0.875
1984,11,1,NA,0.25,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1984,11,2,NA,0.25,692.07,0.875,6.26,0.875,143.36,0.875,NA,0,6.25,143.38,0.875
1984,11,3,NA,0.125,691.28,0.75,3.48,0.75,179.17,0.75,NA,0,3.1,176.62,0.75
1984,11,4,NA,0.375,679.28,0.75,7.5,0.75,174.5,0.75,NA,0,7.31,173.85,0.75
1984,11,5,NA,0.625,668.94,0.875,8.37,0.875,163.29,0.875,NA,0,8.31,163.77,0.875
1984,11,6,NA,0.375,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1984,11,7,NA,0.25,NA,0.5,NA,0.5,NA,0.5,NA,0,NA,NA,0.5
1984,11,8,NA,0.25,686.45,0.75,7.07,0.75,169.83,0.75,NA,0,7.03,169.84,0.75
1984,11,9,NA,0.25,693.26,0.75,7.97,0.75,135.83,0.75,NA,0,7.85,136.22,0.75
1984,11,10,NA,0.375,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1984,11,11,NA,0.25,697.81,1,6.03,1,146.88,1,NA,0,6.01,147,1
1984,11,12,NA,0.375,696.8,0.875,7.31,0.875,155.71,0.875,NA,0,7.29,155.68,0.875
1984,11,13,NA,0.375,692.1,0.875,8.74,0.875,168.14,0.875,NA,0,8.68,167.93,0.875
1984,11,14,NA,0.375,690.48,0.75,9.7,0.75,NA,0.625,NA,0,NA,NA,0.625
1984,11,15,NA,0.25,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1984,11,16,NA,0.125,NA,0.5,NA,0.5,NA,0.125,NA,0,NA,NA,0.125
1984,11,17,NA,0.25,691.1,0.875,5.48,0.875,159.29,0.875,NA,0,5.45,158.59,0.875
1984,11,18,NA,0.25,692.33,0.75,5.55,0.75,155.83,0.75,NA,0,5.5,155.09,0.75
1984,11,19,NA,0.25,694.85,0.875,4.95,0.875,154.93,0.875,NA,0,4.9,154.37,0.875
1984,11,20,NA,0.25,695.97,0.875,3.61,0.875,133.07,0.875,NA,0,3.56,132.84,0.875
1984,11,21,NA,0.5,694.18,0.75,8.5,0.75,102.33,0.75,NA,0,8.45,102.22,0.75
