Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1985,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,19,NA,0.25,NA,0.625,NA,0.375,NA,0.375,NA,0,NA,NA,0.375
1985,1,20,NA,0,NA,0.25,NA,0.25,NA,0.25,NA,0,NA,NA,0.25
1985,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,24,NA,0.375,984.52,0.75,3.32,0.75,227.67,0.75,NA,0,3.12,228.18,0.75
1985,1,25,-8.21,0.875,982.45,1,6.06,1,210.75,1,NA,0,6,210.43,1
1985,1,26,-7.69,1,978.66,1,6.94,1,203,1,NA,0,6.75,202.93,1
1985,1,27,-7.09,1,978.15,1,7.72,1,189.25,1,NA,0,7.51,188.08,1
1985,1,28,-7.11,0.875,983.83,1,5.31,1,190.12,1,NA,0,5.08,192.22,1
1985,1,29,NA,0.625,986.49,1,2.61,1,257.62,1,NA,0,2.44,253.79,1
1985,1,30,-6.76,1,982.3,1,5.66,1,210.5,1,NA,0,5.49,207.18,1
1985,1,31,-9.13,0.875,979.58,1,3.98,0.75,177.75,1,NA,0,3.82,194.55,0.75
1985,2,1,NA,0.5,984.43,1,2.66,1,183.62,1,68.63,1,2.49,193.81,1
1985,2,2,-8,1,992.73,1,2.95,1,186.75,1,74.63,1,2.87,187.83,1
1985,2,3,NA,0.625,997,1,2.07,0.75,NA,0.625,65.13,1,NA,NA,0.625
1985,2,4,NA,0,994.79,1,0.66,1,49.67,0.75,63.63,1,0.78,52.2,0.75
1985,2,5,NA,0.375,990.79,1,2.04,0.875,141.57,0.875,70.25,1,1.31,125.01,0.875
1985,2,6,-16.1,1,990.75,1,4.75,1,215.25,1,72.38,1,4.45,214.5,1
1985,2,7,-15.03,1,990.83,1,4.3,1,251.25,1,60.63,1,4.28,251.05,1
1985,2,8,-9.17,0.875,990.46,1,4.39,1,190.88,1,72.88,1,3.46,174.78,1
1985,2,9,-9.83,0.875,987.24,1,3.79,1,177.62,1,73.13,1,3.72,175.25,1
1985,2,10,-9.72,0.75,980.28,1,2.41,1,173.75,1,78,1,2.33,177.68,1
1985,2,11,NA,0.625,976.63,1,NA,0.625,NA,0.625,71.63,1,NA,NA,0.625
1985,2,12,NA,0.625,984.94,1,NA,0.625,NA,0.625,58.25,1,NA,NA,0.625
1985,2,13,NA,0.5,985.94,1,3.16,1,170.62,1,61.25,1,3.05,164.96,1
1985,2,14,-13.41,1,977.88,1,5.96,1,132.75,1,72.88,1,5.87,133.48,1
1985,2,15,-15.14,1,977.2,1,5.1,1,191.38,1,69.25,1,4.09,184.06,1
1985,2,16,-17.28,0.75,983.28,1,2.96,0.875,115.38,1,63.25,1,2.89,128.95,0.875
1985,2,17,-18.5,1,984.46,1,3.65,1,181.38,1,67.5,1,3.16,180.74,1
1985,2,18,-26.25,0.75,984.02,1,4.8,1,230,1,52.63,1,4.72,229.54,1
1985,2,19,-23.32,0.75,986.72,1,6.2,1,252.25,1,51.88,1,6.1,254.45,1
1985,2,20,-21.98,1,985.2,1,6.3,0.875,266.38,1,57.25,1,5.97,272.19,0.875
1985,2,21,-26.28,0.75,986.51,1,2.58,1,213,1,59,1,2.46,214.27,1
1985,2,22,-22.2,0.75,987.6,1,2.36,0.875,242.57,0.875,60.63,1,2.24,250.29,0.875
1985,2,23,-28.7,0.75,984.56,1,5.25,1,241.88,1,52.75,1,5.01,246.18,1
1985,2,24,-24.88,0.75,976.79,1,4.26,1,250.75,1,51.13,1,4.18,252.47,1
1985,2,25,NA,0.5,972.79,1,4.01,1,262.38,1,49,1,3.86,261.83,1
1985,2,26,NA,0.5,974.03,1,3.99,1,280.75,1,51.63,1,3.93,282.73,1
1985,2,27,NA,0.5,983.73,1,5.39,1,298.62,1,50.25,1,5.01,303.74,1
1985,2,28,NA,0.375,989.61,1,4.7,0.875,153.12,1,57.88,1,1.25,133.71,0.875
1985,3,1,NA,0.375,989.66,0.875,3.07,0.875,229.86,0.875,50.14,0.875,1.24,45.7,0.875
1985,3,2,NA,0.625,977.01,1,11.51,0.875,97.75,1,79.63,1,11.31,96.08,0.875
1985,3,3,-22.3,0.875,980.2,1,10.86,0.875,173.88,1,65.5,1,10.37,177.86,0.875
1985,3,4,-25.44,1,983.68,1,6.74,1,208.62,1,55.88,1,6.23,206.7,1
1985,3,5,NA,0.625,980.25,1,4.26,1,220.5,1,51.75,1,4.06,220.73,1
1985,3,6,-33.69,0.875,980.88,1,0.97,0.75,220.67,0.75,48.25,1,0.87,261.95,0.75
1985,3,7,-32.84,1,985.19,1,2.66,0.875,266.86,0.875,46.75,1,2.26,253.85,0.875
1985,3,8,-33.37,0.75,985.39,1,2.73,0.875,209.29,0.875,50.13,1,2.59,237.64,0.875
1985,3,9,-33.58,0.75,982.72,1,3.95,1,254.62,1,49.88,1,3.92,254.5,1
1985,3,10,-29.1,0.75,976.16,1,5.1,1,260.5,1,50.5,1,4.42,263.65,1
1985,3,11,NA,0.625,976.26,1,4.5,1,173,1,56.25,1,4.39,176.56,1
1985,3,12,NA,0.625,970.69,1,6.75,1,219.62,1,64.5,1,6.57,218.88,1
1985,3,13,-14.83,0.75,963.84,1,3.68,1,142.12,1,77.25,1,3.18,145.86,1
1985,3,14,-15.71,1,978.75,1,4.06,1,174,1,75.75,1,3.34,184.31,1
1985,3,15,-20.68,1,978.99,1,6.34,1,207.75,1,69.75,1,5.99,206.4,1
1985,3,16,-22.54,1,981.59,1,10.1,0.875,193.62,1,66.5,1,9.88,192.77,0.875
1985,3,17,-24.42,1,981.11,1,5.35,0.75,200.12,1,63.63,1,5.32,201.18,0.75
1985,3,18,-26.05,1,978.14,1,6.45,1,224,1,62,1,6.38,222.78,1
1985,3,19,-26.64,0.875,979.28,1,4.38,1,231.12,1,60.63,1,4.26,226.41,1
1985,3,20,-29.7,1,990.16,1,NA,0.125,NA,0.125,57.88,1,NA,NA,0.125
1985,3,21,-22.82,0.75,991.55,1,2.3,1,231.88,1,65.88,1,1.92,217.02,1
1985,3,22,NA,0.5,990,1,NA,0.375,NA,0.375,56.38,1,NA,NA,0.375
1985,3,23,-31.94,1,995.11,1,NA,0.625,NA,0.25,54.5,1,NA,NA,0.25
1985,3,24,-27.06,1,986.44,1,4.42,1,278.25,1,60.88,1,4.31,281.39,1
1985,3,25,-29.16,1,982.03,1,NA,0.375,NA,0.5,55.75,1,NA,NA,0.375
1985,3,26,-25.49,1,987.51,1,3.84,1,113.88,1,62.25,1,3.55,111.82,1
1985,3,27,-30.51,1,988.08,1,6,1,130.38,1,54.88,1,5.31,131.87,1
1985,3,28,-32.73,1,983.61,1,7.68,1,212.12,1,51.13,1,7.32,214.02,1
1985,3,29,-28.68,1,974.19,1,6.01,1,228.75,1,56.29,0.875,5.9,229.4,1
1985,3,30,NA,0.625,975.91,1,5.51,1,280.62,1,62.5,1,5.04,278.24,1
1985,3,31,-35.57,0.875,994.5,1,2.31,0.875,308.43,0.875,48,1,2.23,305.92,0.875
1985,4,1,-30.94,0.875,995.54,1,1.66,1,38.5,1,NA,0,1.47,52.41,1
1985,4,2,-29.39,1,984.46,1,2.85,1,114.5,1,NA,0,2.56,106.54,1
1985,4,3,-37.95,0.75,983.18,1,3.44,1,212.75,1,NA,0,2.99,209.17,1
1985,4,4,-45.71,1,991.28,1,1.77,0.75,249.67,0.75,NA,0,1.26,286.64,0.75
1985,4,5,-48.33,0.875,986.09,1,4.76,0.875,252.14,0.875,NA,0,4.55,249.9,0.875
1985,4,6,-42.42,0.75,972.79,1,6.51,1,304.75,1,NA,0,5.72,300.54,1
1985,4,7,-44.41,1,979.76,1,1.56,1,68.75,1,NA,0,1.47,64.63,1
1985,4,8,-42.54,0.875,987.15,1,2.36,0.875,182.25,1,NA,0,2.13,208.48,0.875
1985,4,9,NA,0.625,987.35,0.75,3.77,0.75,232.33,0.75,NA,0,3.66,283.09,0.75
1985,4,10,NA,0.5,993.18,1,NA,0.625,237.57,0.875,NA,0,NA,NA,0.625
1985,4,11,-41.88,1,1004.27,1,1.83,0.875,256.71,0.875,NA,0,1.26,251.31,0.875
1985,4,12,NA,0.625,990.37,0.75,3.02,0.75,327.5,0.75,NA,0,2.7,330.66,0.75
1985,4,13,-42.05,0.75,976.79,0.875,2.54,0.875,251.71,0.875,NA,0,2.29,249.95,0.875
1985,4,14,-40.72,0.75,970.92,0.75,3.17,0.75,259.17,0.75,NA,0,2.73,261.49,0.75
1985,4,15,-35.17,0.875,974.12,1,5.8,0.875,219.62,1,NA,0,5.45,221.55,0.875
1985,4,16,-35.33,0.75,983,0.75,4.22,0.75,198.17,0.75,NA,0,3.83,203.18,0.75
1985,4,17,-39.58,1,979.24,1,2.78,1,244.88,1,NA,0,2.05,249.3,1
1985,4,18,-42.02,0.75,974.68,0.75,3.1,0.75,191.17,0.75,NA,0,2.55,186.7,0.75
1985,4,19,-43.66,0.875,985.76,0.875,2.13,0.75,245.5,0.75,NA,0,1.83,232.46,0.75
1985,4,20,-42.9,0.75,986.62,1,3.09,0.875,251.86,0.875,NA,0,3.02,253.18,0.875
1985,4,21,-48.64,1,984.54,1,NA,0.625,NA,0.5,NA,0,NA,NA,0.5
1985,4,22,NA,0.5,987.17,0.875,NA,0.375,NA,0.375,NA,0,NA,NA,0.375
1985,4,23,NA,0.125,986.62,1,4.1,1,210.12,1,NA,0,3.98,207.8,1
1985,4,24,-30.4,0.75,985.5,1,2.94,1,216.88,1,NA,0,2.38,214.16,1
1985,4,25,NA,0.625,978.15,1,3.28,1,235.88,1,NA,0,2.93,232.9,1
1985,4,26,-39.39,0.875,971.76,1,3.61,1,213.25,1,NA,0,3.46,208.19,1
1985,4,27,-32.18,0.75,976.34,0.875,2.16,0.875,194.14,0.875,NA,0,2.04,194.92,0.875
1985,4,28,-31.45,0.75,982.14,0.875,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1985,4,29,-31.41,0.875,981.43,0.875,NA,0.25,NA,0.25,NA,0,NA,NA,0.25
1985,4,30,-37.43,1,982.96,1,NA,0.5,NA,0.5,NA,0,NA,NA,0.5
1985,5,1,-29.53,0.875,987.56,0.875,NA,0.375,NA,0.375,56.71,0.875,NA,NA,0.375
1985,5,2,NA,0.5,988.95,0.75,NA,0,NA,0,51,0.75,NA,NA,0
1985,5,3,-41.03,0.75,984.03,0.75,NA,0,NA,0,40.83,0.75,NA,NA,0
1985,5,4,-37.36,0.875,981.53,1,NA,0.5,NA,0.5,46.5,1,NA,NA,0.5
1985,5,5,-35.07,0.875,982.33,0.875,NA,0.625,NA,0.625,48.57,0.875,NA,NA,0.625
1985,5,6,-39.3,0.75,987.07,1,NA,0.25,NA,0.25,42.75,1,NA,NA,0.25
1985,5,7,-40.93,1,992.76,1,NA,0,NA,0,41.38,1,NA,NA,0
1985,5,8,-29.3,0.875,997.1,0.875,NA,0,NA,0,57.14,0.875,NA,NA,0
1985,5,9,NA,0.625,997.76,1,NA,0,NA,0,39.75,1,NA,NA,0
1985,5,10,-45.71,1,998.14,1,NA,0,NA,0,35.13,1,NA,NA,0
1985,5,11,-37.9,0.75,1006.05,1,NA,0,NA,0,45.88,1,NA,NA,0
1985,5,12,-41.76,0.875,1005.4,1,NA,0.625,NA,0.125,39.5,1,NA,NA,0.125
1985,5,13,-46.53,1,996.16,1,NA,0.125,NA,0.125,33.63,1,NA,NA,0.125
1985,5,14,-50.36,1,985.22,1,NA,0,NA,0,28.88,1,NA,NA,0
1985,5,15,NA,0.625,978.5,0.875,NA,0,NA,0,30,0.875,NA,NA,0
1985,5,16,-37.85,0.75,974.38,0.75,NA,0,NA,0,44.83,0.75,NA,NA,0
1985,5,17,-38.03,0.75,975.14,1,NA,0,NA,0,44.5,1,NA,NA,0
1985,5,18,NA,0.25,974.39,1,NA,0,NA,0,59.75,1,NA,NA,0
1985,5,19,NA,0.5,979.83,0.75,NA,0,NA,0,41.83,0.75,NA,NA,0
1985,5,20,-37.4,0.875,980.93,1,NA,0,NA,0,45.13,1,NA,NA,0
1985,5,21,NA,0.625,983.89,0.875,NA,0,NA,0,49.14,0.875,NA,NA,0
1985,5,22,-36.22,0.75,976.93,1,NA,0,NA,0,47,1,NA,NA,0
1985,5,23,NA,0.625,974.53,0.875,NA,0,NA,0,56,0.875,NA,NA,0
1985,5,24,-27.38,0.75,984.42,0.75,NA,0,NA,0,60.17,0.75,NA,NA,0
1985,5,25,NA,0.375,971.85,1,NA,0.125,NA,0.375,70.38,1,NA,NA,0.125
1985,5,26,NA,0.625,952.2,0.875,5.97,0.75,204,0.875,76.57,0.875,4.05,176.9,0.75
1985,5,27,NA,0.625,974.77,0.75,5.1,0.75,41.5,0.75,62.33,0.75,4.78,30.96,0.75
1985,5,28,-27.52,0.75,980.38,0.75,2.27,0.75,240.5,0.75,61.5,0.75,1.84,272.74,0.75
1985,5,29,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1985,5,30,-36.8,0.875,987.29,1,6.2,1,272.38,1,47.88,1,5.65,271.47,1
1985,5,31,-34.61,1,985.9,1,6.2,1,255.5,1,50.38,1,6.05,255.62,1
1985,6,1,NA,0.625,983.63,1,5.72,0.75,256.86,0.875,NA,0,5.25,257.03,0.75
1985,6,2,NA,0.625,978.66,1,4.35,1,312.5,1,NA,0,3.58,301.26,1
1985,6,3,-46.66,1,986.04,1,2.33,0.875,252.14,0.875,NA,0,1.86,298.99,0.875
1985,6,4,-47.68,0.75,977.81,0.875,2.69,0.875,291.57,0.875,NA,0,2.55,337.9,0.875
1985,6,5,-43.74,1,974.94,1,2.21,1,121,1,NA,0,1.8,79.5,1
1985,6,6,-40.31,0.875,984.59,1,1.37,0.875,206.43,0.875,NA,0,0.44,200.74,0.875
1985,6,7,-45.49,0.875,977.71,1,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1985,6,8,NA,0.5,973.45,1,3.56,1,202.5,1,NA,0,2.3,231.87,1
1985,6,9,NA,0.5,971.03,1,NA,0.375,178.38,1,NA,0,NA,NA,0.375
1985,6,10,-17.2,0.75,953.15,1,NA,0.625,155.12,1,NA,0,NA,NA,0.625
1985,6,11,-29.51,0.875,973.98,1,7.29,1,135.25,1,NA,0,4.29,11.69,1
1985,6,12,-29.4,0.75,986.18,1,5.6,0.75,170.5,1,NA,0,3.78,203.13,0.75
1985,6,13,-28.43,0.75,974.55,1,8.19,1,292.62,1,NA,0,5.89,290.28,1
1985,6,14,NA,0.375,977.91,1,4.74,1,60.12,1,NA,0,4.6,13.17,1
1985,6,15,-24.27,0.75,994.51,1,4.65,1,153.5,1,NA,0,2.43,146,1
1985,6,16,-45.22,0.75,999.73,1,3.72,0.75,293.33,0.75,NA,0,3.19,285.13,0.75
1985,6,17,-42.03,1,992.53,1,4.95,0.75,212,0.75,NA,0,4.85,211.99,0.75
1985,6,18,NA,0.5,983.01,1,7.34,0.875,244,1,NA,0,7.2,243.5,0.875
1985,6,19,NA,0.25,968.81,0.875,NA,0.375,215.29,0.875,NA,0,NA,NA,0.375
1985,6,20,-43.39,0.875,978.96,0.875,2.95,0.75,233.83,0.75,NA,0,1.64,225.86,0.75
1985,6,21,-40.44,1,978.53,1,4.21,1,170.5,1,NA,0,1.72,95.2,1
1985,6,22,-43.97,0.875,994.97,1,3,1,212.12,1,NA,0,2.84,208.81,1
1985,6,23,NA,0.625,984.44,0.875,3.16,0.875,305.71,0.875,NA,0,2.8,313.09,0.875
1985,6,24,NA,0.5,976.54,1,3.35,1,201.5,1,NA,0,0.95,80.15,1
1985,6,25,NA,0.375,968.09,1,5.51,0.875,241.25,1,NA,0,1.41,195.88,0.875
1985,6,26,NA,0.5,971.46,1,5.93,0.75,221.62,1,NA,0,4.55,231.04,0.75
1985,6,27,-40.54,1,980.4,0.875,3.57,0.75,257.12,1,NA,0,2.66,289.62,0.75
1985,6,28,-41.05,1,984.19,1,4.68,1,227,1,NA,0,4.59,224.88,1
1985,6,29,-47.46,1,984.24,1,1.93,0.875,220.71,0.875,NA,0,1.12,263.19,0.875
1985,6,30,-50.54,1,979.69,1,0.81,0.875,90,0.875,NA,0,0.56,32.61,0.875
1985,7,1,-54.4,1,971.49,1,1.02,0.75,199.17,0.75,24.13,1,0.74,238.74,0.75
1985,7,2,-55.36,1,971.69,1,1.57,0.75,301,0.75,22.63,1,1.55,303.56,0.75
1985,7,3,NA,0.625,968.94,1,7.42,0.75,185.5,1,30,1,7.01,176.68,0.75
1985,7,4,NA,0.625,950.86,1,NA,0.625,154.88,1,50,1,NA,NA,0.625
1985,7,5,-35.49,1,961.61,1,6.6,1,170.38,1,48.88,1,6.44,171.41,1
1985,7,6,-39,1,961.68,1,3.83,0.875,176.38,1,43.88,1,2.57,255.56,0.875
1985,7,7,-45.55,0.75,972.59,1,4.69,0.875,199.25,1,33.88,1,4.4,204.57,0.875
1985,7,8,-51.55,1,966.69,1,NA,0.625,NA,0.625,27.5,1,NA,NA,0.625
1985,7,9,-49.36,0.875,961.24,1,4.04,1,242.62,1,30.63,1,3.35,272.1,1
1985,7,10,-50.13,1,973.46,1,1.45,0.75,103.33,0.75,29.5,1,0.67,114.2,0.75
1985,7,11,-42.53,0.75,974.93,1,3.26,1,219.62,1,38.5,1,2.81,208.04,1
1985,7,12,-48.25,1,968.79,1,4.29,1,242.88,1,31.63,1,4.08,241.65,1
1985,7,13,-48.64,0.875,968.51,1,NA,0.375,NA,0.375,31.63,1,NA,NA,0.375
1985,7,14,NA,0.625,974.34,1,2.64,1,219.25,1,34,1,1.93,229.88,1
1985,7,15,NA,0.625,984.56,1,2.11,0.875,81.43,0.875,36.25,1,1.66,17.24,0.875
1985,7,16,NA,0.625,974.79,1,3.54,1,243.75,1,29,1,2.68,258.58,1
1985,7,17,-55.08,1,974.86,1,1.76,0.875,82.86,0.875,23.25,1,1.68,80.74,0.875
1985,7,18,-52.57,0.75,970.18,1,1.81,0.875,87.43,0.875,24.63,1,1.64,50.65,0.875
1985,7,19,-61.3,1,969.01,1,NA,0.625,NA,0.625,15.88,1,NA,NA,0.625
1985,7,20,-59.76,1,979.64,1,2.07,0.875,201.43,0.875,17.75,1,1.97,235.93,0.875
1985,7,21,-56.58,0.75,983.4,1,1.94,0.875,274.12,1,21.88,1,1.34,299.53,0.875
1985,7,22,-53.51,0.875,984.39,0.875,2.36,0.875,49.43,0.875,25,0.875,2.25,47.56,0.875
1985,7,23,NA,0.25,NA,0.25,NA,0,NA,0,NA,0.25,NA,NA,0
1985,7,24,NA,0.5,NA,0.5,NA,0.25,NA,0.25,NA,0.5,NA,NA,0.25
1985,7,25,-60.38,0.75,963.43,0.875,NA,0.625,NA,0.625,17.43,0.875,NA,NA,0.625
1985,7,26,-58.84,1,972.81,1,NA,0.625,NA,0.625,18.5,1,NA,NA,0.625
1985,7,27,-57.68,1,970.73,1,3.11,1,233.38,1,20.13,1,2.89,233.77,1
1985,7,28,-57.99,0.875,967.61,1,2.71,1,261.5,1,20.63,1,2.57,296.48,1
