Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2005,1,31,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2005,2,1,NA,0.625,849.91,1,5.49,1,103.1,1,68.77,1,5.42,105.43,1
2005,2,2,-12.79,0.875,842.52,1,6.04,1,118.19,1,69.19,1,6.01,118.15,1
2005,2,3,NA,0.5,839.38,1,6.97,1,114.8,1,65.09,1,6.86,114.6,1
2005,2,4,NA,0.5,838.99,1,8.74,1,97.65,1,64.43,1,8.34,96.22,1
2005,2,5,-16.41,1,836.96,1,9.6,1,90.94,1,65.65,1,9.5,90.82,1
2005,2,6,-14.77,1,842.34,1,8,1,56.76,1,83.94,0.875,6.62,59.71,1
2005,2,7,NA,0.5,854.88,1,4.82,1,88.08,1,76.69,1,4.57,92.57,1
2005,2,8,-10.43,1,847.85,1,9.96,0.875,48.55,1,85.52,1,9.06,45.6,0.875
2005,2,9,-6.38,1,855.14,1,8.19,1,111.97,1,94.46,1,7.66,20.11,1
2005,2,10,-5.02,1,844.06,1,NA,0.625,29.49,1,95.71,1,NA,NA,0.625
2005,2,11,-11.05,0.875,825.18,1,NA,0.375,342.45,1,91.79,1,NA,NA,0.375
2005,2,12,-14.82,1,835.52,1,5.8,0.75,325.56,1,88.04,1,4.83,312.68,0.75
2005,2,13,-14.41,1,845.84,1,NA,0.625,248.5,1,87.97,1,NA,NA,0.625
2005,2,14,-11.86,1,839.08,1,7.46,0.875,150.15,1,90.75,1,5.57,16.44,0.875
2005,2,15,NA,0.625,833.85,1,NA,0.625,201.72,1,91.41,1,NA,NA,0.625
2005,2,16,-11.28,0.75,836.29,1,5.15,1,26.12,1,90.15,1,5.08,29.02,1
2005,2,17,-7.97,1,829.52,1,8.29,1,48.85,1,91.5,1,8.21,48.76,1
2005,2,18,-10.76,1,832.29,1,5.66,0.875,74.46,1,86.16,1,4.85,71.36,0.875
2005,2,19,-15.39,0.875,840.29,1,5.05,1,153.91,1,80.19,1,2.9,82.28,1
2005,2,20,-17.12,0.875,848.85,1,3.02,1,81.9,1,83.42,1,2.55,79.14,1
2005,2,21,NA,0.625,852.72,1,5.91,1,113.55,1,73.91,1,5,115.63,1
2005,2,22,-14.78,1,853.72,1,8.14,1,45.09,1,81.52,1,8.1,45.14,1
2005,2,23,-9.41,1,846.58,1,4.91,0.875,53.12,1,79.45,1,4.35,53.63,0.875
2005,2,24,-10.74,1,843.96,1,4.2,1,61.35,1,86.33,1,3.94,58.91,1
2005,2,25,-11.62,0.875,842.62,1,3.34,1,76.55,1,88.11,1,3.02,80.64,1
2005,2,26,NA,0.625,840.64,1,4.73,0.875,71.99,1,83.08,1,3.09,95.12,0.875
2005,2,27,-11.03,0.875,850.24,1,3.58,1,181.67,1,91.19,1,3.45,358.6,1
2005,2,28,-10.47,1,856.96,1,4.14,1,29.98,1,91.98,1,4.07,27.27,1
2005,3,1,-11.14,1,852.89,1,5.85,1,56.27,1,91.01,1,5.62,55.45,1
2005,3,2,NA,0.5,838.24,1,9.22,0.75,107.75,1,82.99,1,7.78,72.66,0.75
2005,3,3,-16.51,0.875,847.72,1,2.93,0.875,131.43,1,85.07,1,2.05,100.88,0.875
2005,3,4,-18.74,1,853.64,1,3,1,105.91,1,84.12,1,1.32,22.22,1
2005,3,5,-18.29,1,852.4,1,4.21,1,77.46,1,84.64,1,4.03,35.7,1
2005,3,6,-15.53,1,848.62,1,8.21,1,148.46,1,86.93,1,7.8,15.89,1
2005,3,7,-22.04,0.75,857.11,1,NA,0.625,183.54,1,78.36,1,NA,NA,0.625
2005,3,8,-25.98,0.75,856.49,1,7.13,0.875,117.72,1,69.66,1,7.07,119.21,0.875
2005,3,9,-21.11,1,849.11,1,12.16,0.875,126.28,1,74.53,1,11.96,128.21,0.875
2005,3,10,-22.06,1,848.9,1,9.57,1,125.22,1,69.99,1,9.52,126.93,1
2005,3,11,-18.81,1,852.61,1,6.7,0.875,114.94,1,68.87,1,6.64,113.13,0.875
2005,3,12,NA,0.625,856.31,1,5.81,0.875,120.22,1,67.09,1,5.8,121.19,0.875
2005,3,13,-20.09,0.75,857.86,1,4.34,1,78.45,1,76.02,1,3.47,80.89,1
2005,3,14,-15.78,1,851.64,1,6.35,1,36.01,1,86.69,1,6.33,35.92,1
2005,3,15,-16.14,1,849.02,1,6.78,1,18.34,1,86.96,1,6.71,19.62,1
2005,3,16,-10.78,1,850.62,1,11.5,1,61.61,1,91.38,1,11.22,16.6,1
2005,3,17,-8.97,1,853.22,1,10.96,1,219.59,1,92.96,1,10.65,356.78,1
2005,3,18,-12.24,0.875,858.3,1,NA,0.5,108.2,1,90.81,1,NA,NA,0.5
2005,3,19,-5.88,1,853.89,1,8.68,1,76.3,1,91.7,1,8.14,32.42,1
2005,3,20,-7.25,1,851.19,1,7.8,1,34.35,1,92.78,1,7.24,28.15,1
2005,3,21,-11.66,0.875,851.41,1,3.91,1,79.5,1,87.8,1,2.92,82.53,1
2005,3,22,-21.6,0.75,845.49,1,5.68,1,103.01,1,80.79,1,5.35,107.37,1
2005,3,23,NA,0.375,840.21,1,9.04,1,90.76,1,79.19,1,8.29,86.5,1
2005,3,24,-12.65,1,840.19,1,9.19,1,46.81,1,88.52,1,9.11,46.06,1
2005,3,25,-11.99,0.875,847.88,1,6.22,1,65.01,1,86.73,1,5.81,64.68,1
2005,3,26,-21.19,0.875,850.39,1,7.54,1,118.83,1,67.76,1,7.52,118.69,1
2005,3,27,-18.48,1,850.46,1,8.31,1,93.81,1,69.14,1,7.96,93.79,1
2005,3,28,-17.32,1,850.22,1,6.95,1,72.33,1,73.88,1,6.71,72.3,1
2005,3,29,-17.99,0.75,849.16,1,6.75,1,67.66,1,73.27,1,6.6,67.09,1
2005,3,30,-13.14,1,842.08,1,6.23,0.875,50.55,1,89.26,1,6.18,54.29,0.875
2005,3,31,-14.64,0.875,843.76,1,6.35,1,81.22,1,80.37,1,6.18,79.54,1
2005,4,1,-15.34,1,849.6,1,1.75,1,51.81,1,85.62,1,1.42,45.87,1
2005,4,2,-9.8,1,847.28,1,NA,0.375,67.1,1,92.23,1,NA,NA,0.375
2005,4,3,-14.21,0.75,859.48,1,8.3,0.75,250.76,1,88.71,1,8.21,353.34,0.75
2005,4,4,-21.54,0.75,863.15,1,5.14,0.875,85.34,1,80.87,1,4.64,85.46,0.875
2005,4,5,-14.85,0.75,854.21,1,7.89,1,42.19,1,85.61,1,6.89,38.59,1
2005,4,6,-9.92,1,840.94,1,8,1,37.99,1,91.34,1,7.46,36.51,1
2005,4,7,-10.38,1,834.89,1,5.5,1,38.9,1,88.78,1,5.14,43.62,1
2005,4,8,-15.39,0.75,837.96,1,5.61,0.875,114.94,1,82.59,1,5.12,126.18,0.875
2005,4,9,-22.08,0.875,852.34,1,7.56,1,125.79,1,70.29,1,7.55,125.89,1
2005,4,10,-20.17,0.75,858.01,1,5.92,1,94.38,1,69.2,1,5.44,98.21,1
2005,4,11,-13.08,1,857.4,1,6.38,1,46.45,1,85.83,1,6.26,47.7,1
2005,4,12,-10.99,1,848.69,1,7.24,1,33.12,1,90.26,1,7.11,32.93,1
2005,4,13,-13.35,1,845.79,1,6.04,1,96.24,1,90.11,1,5.9,6.26,1
2005,4,14,-15.86,1,839.36,1,8.27,0.875,42.08,1,87,1,7.64,41.15,0.875
2005,4,15,-10.04,0.875,833.6,1,7.21,0.875,48.51,1,90.92,1,6.87,47.78,0.875
2005,4,16,-13.25,1,830.66,1,11.39,1,71.04,1,79.54,0.875,11.35,70.56,1
