Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1993,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1993,1,26,NA,0.375,701.68,1,2.02,1,29.38,1,58.5,1,1.98,29.77,1
1993,1,27,-30.38,1,701.2,1,3.28,1,60,1,56.25,1,3.18,58.85,1
1993,1,28,-29.05,1,695.71,1,6.19,1,28.62,1,61.25,1,5.93,28.86,1
1993,1,29,-27.99,1,694.29,1,4.19,1,39.88,1,61.25,1,4.11,38.55,1
1993,1,30,-28.45,1,693.04,1,3.81,1,52.12,1,57.13,1,3.69,48.63,1
1993,1,31,-32.77,0.875,696.86,1,3.54,1,75.25,1,45.38,1,3.06,65.72,1
1993,2,1,-29,0.875,700.93,1,5.54,1,42.25,1,64.25,1,5.48,42.14,1
1993,2,2,-28.19,1,701.04,1,5.28,1,39.12,1,64.13,1,5.24,39.75,1
1993,2,3,-29.38,1,698.15,1,6.06,1,28.88,1,63.75,1,5.96,29.29,1
1993,2,4,NA,0.25,700.26,1,1.54,0.875,61.43,0.875,53.13,1,0.9,46.36,0.875
1993,2,5,NA,0,699.24,1,1.64,1,87.75,1,33.5,1,1.44,84.65,1
1993,2,6,-36.29,1,695.76,1,3.32,1,50.62,1,52,1,3.17,50.95,1
1993,2,7,-35.58,1,690.93,1,4.91,1,52.12,1,54.88,1,4.87,51.46,1
1993,2,8,-35.74,1,689.51,1,6.44,1,35.62,1,57,1,6.42,35.45,1
1993,2,9,-35.19,1,690.7,1,5.39,1,48.25,1,56.75,1,5.33,48.06,1
1993,2,10,-34.89,1,691.19,1,5.41,1,33.5,1,57.75,1,5.36,33.5,1
1993,2,11,-34.18,1,690.11,1,5.62,1,37.75,1,59.25,1,5.49,36.53,1
1993,2,12,-36.56,1,690.14,1,6.16,1,27.88,1,57.25,1,6.13,27.31,1
1993,2,13,-39.79,1,689.57,1,4.28,1,39.88,1,50.25,1,4.03,33.02,1
1993,2,14,-44.81,0.875,686.03,1,2.46,1,130.25,1,31.88,1,2.42,130.41,1
1993,2,15,-46.48,0.75,684.44,1,2.28,1,79.75,1,33.75,1,1.47,83.4,1
1993,2,16,NA,0.25,688.46,1,1.31,0.875,40.43,0.875,36.5,1,1.24,29.94,0.875
1993,2,17,NA,0.25,687.15,1,1.56,0.875,59.86,0.875,40.25,1,1.4,53.93,0.875
1993,2,18,-44.93,0.75,685.32,1,2.64,0.875,64,0.875,37.63,1,2.35,52.19,0.875
1993,2,19,NA,0.625,684,1,2.39,1,97.38,1,33,1,1.87,90.8,1
1993,2,20,-45.35,1,679.59,1,3.78,1,104.75,1,35.25,1,3.63,104.65,1
1993,2,21,-48.23,1,675.76,1,5.15,1,55.25,1,41.88,1,5.02,54.06,1
1993,2,22,-48.51,1,680.86,1,6.9,1,23.25,1,43.88,1,6.89,23.13,1
1993,2,23,-48.39,1,688.39,1,4.29,1,50.38,1,40.88,1,3.99,43.03,1
