Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,4,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,4,2,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2009,4,3,-0.55,1,1011.14,1,4.77,1,95,1,74.38,1,4.7,93.8,1
2009,4,4,-1.28,1,1010.08,1,1.99,1,159.12,1,69.74,1,1.35,129.5,1
2009,4,5,-1.84,1,1003.25,1,2.25,1,93.38,1,65.98,1,1.97,89.26,1
2009,4,6,-1.28,1,1002.25,1,4.41,1,88.88,1,63.79,1,4.32,88.75,1
2009,4,7,-0.85,1,1004.54,1,4.22,1,178.75,1,69.01,1,2.5,178.56,1
2009,4,8,-0.49,1,1000.54,1,3.72,1,130.88,1,77.14,1,2.38,69.72,1
2009,4,9,-0.1,1,992.94,1,14.85,1,48,1,90.61,1,14.83,47.9,1
2009,4,10,0.89,1,976.91,1,NA,0.625,79,1,75.98,1,NA,NA,0.625
2009,4,11,1.01,1,987.7,1,NA,0.375,58.88,1,79.5,1,NA,NA,0.375
2009,4,12,1.26,1,983.31,1,4.51,0.875,175.12,1,73.35,1,3.72,164.37,0.875
2009,4,13,-0.59,1,989.54,1,5.54,0.875,221.62,1,83.79,1,4.98,232.09,0.875
2009,4,14,0.49,1,982.61,1,NA,0.625,118.88,1,96.15,1,NA,NA,0.625
2009,4,15,0.86,1,988.46,1,9.12,0.75,274.12,1,87.98,1,8.99,264.13,0.75
2009,4,16,0.04,1,994.4,1,NA,0.625,274.5,1,92.45,1,NA,NA,0.625
2009,4,17,-2.85,1,999.28,1,10.16,0.875,216,1,69.73,1,10.11,215.71,0.875
2009,4,18,-1.69,1,1006.9,1,10.9,1,217.38,1,77.41,1,10.82,218.01,1
2009,4,19,-1.04,1,1003.46,1,8.51,0.875,213.25,1,84.26,1,6.91,227.95,0.875
2009,4,20,-0.44,1,977.78,1,11.9,0.75,46.88,1,97.53,1,11.76,48.42,0.75
2009,4,21,-0.48,1,962.99,1,NA,0.625,190.25,1,93.9,0.875,NA,NA,0.625
2009,4,22,-3.7,1,968.76,1,7.1,0.875,272.5,1,77.44,1,6.23,270.21,0.875
2009,4,23,-4.25,1,969.41,1,NA,0.625,253.88,1,72.88,1,NA,NA,0.625
2009,4,24,-2.36,1,967.1,1,NA,0.375,193,1,94.71,1,NA,NA,0.375
2009,4,25,-5.84,1,965.24,1,9.31,0.875,160.62,1,74.68,1,6.13,182.75,0.875
2009,4,26,-4.68,1,961.53,1,NA,0.5,159.12,1,69.95,1,NA,NA,0.5
2009,4,27,-3.99,1,957.38,1,NA,0.5,69.62,1,79.17,1,NA,NA,0.5
2009,4,28,-4.61,1,971.74,1,NA,0.375,163.5,1,78.43,1,NA,NA,0.375
2009,4,29,-5.09,1,991.96,1,11.63,0.875,213.75,1,69.69,1,11.5,213.49,0.875
2009,4,30,-2.99,1,976.95,1,NA,0.375,49.75,1,89.56,1,NA,NA,0.375
2009,5,1,-0.84,1,979.11,1,11.6,0.75,171.75,1,93.63,1,9.97,17.22,0.75
2009,5,2,-0.39,1,982.43,1,NA,0.5,94.62,1,94.39,0.875,NA,NA,0.5
2009,5,3,-0.37,1,968.66,1,NA,0.625,103.25,1,NA,0.625,NA,NA,0.625
2009,5,4,-0.05,1,958.34,1,NA,0.5,151.12,1,90.44,1,NA,NA,0.5
2009,5,5,0.34,1,958.86,1,10.59,1,100.5,1,69.1,1,10.52,101.55,1
2009,5,6,0.55,1,977.31,1,6.25,1,94.62,1,67.19,1,6.02,93.69,1
2009,5,7,-0.21,1,986.63,1,NA,0.5,131.5,1,78.51,1,NA,NA,0.5
2009,5,8,-1.36,1,988.93,1,5.62,1,280.38,1,84.79,1,4.06,298.9,1
2009,5,9,-2.39,1,992.54,1,2.04,1,131.12,1,68.18,1,1.39,1.46,1
2009,5,10,-2.59,1,990.45,1,5.01,0.875,40,0.875,73.09,1,4.72,27.54,0.875
2009,5,11,-1.87,1,985.53,1,NA,0.625,38.12,1,84.12,1,NA,NA,0.625
2009,5,12,-1.25,1,977.76,1,NA,0.5,65,1,73.66,1,NA,NA,0.5
2009,5,13,-0.75,1,984.69,1,NA,0.5,182,1,74.46,1,NA,NA,0.5
2009,5,14,0.25,1,980.19,1,NA,0.25,154.75,1,97.71,1,NA,NA,0.25
2009,5,15,0.32,1,971.34,1,NA,0.375,134.25,1,90.91,1,NA,NA,0.375
2009,5,16,0.63,1,978.21,1,16.5,0.75,42.75,1,92.65,1,16.45,43.14,0.75
2009,5,17,0.65,1,977.18,1,NA,0.375,65.5,1,79.45,1,NA,NA,0.375
2009,5,18,0.71,1,971.9,1,6.55,1,110.5,1,74.6,1,6.21,108.42,1
2009,5,19,-1.19,1,974.18,1,NA,0.625,36.62,1,78.35,1,NA,NA,0.625
2009,5,20,-2.53,1,980.28,1,6.03,0.875,57.5,1,70.59,1,5.85,50.33,0.875
2009,5,21,-3.31,1,982.58,1,4.96,1,117.62,1,74.56,1,4.26,82.33,1
2009,5,22,-2.25,1,982.83,1,NA,0.5,77.12,1,81.94,1,NA,NA,0.5
2009,5,23,-1.53,1,991.2,1,NA,0.5,90,1,94.46,1,NA,NA,0.5
2009,5,24,-0.15,1,999.6,1,10.29,0.875,30.38,1,94.27,0.875,10.09,32.35,0.875
2009,5,25,-0.08,1,982.2,1,NA,0.625,51.88,1,85.84,1,NA,NA,0.625
2009,5,26,-1.59,1,975.38,1,12.97,1,27.5,1,92.46,1,12.94,27.43,1
2009,5,27,-1.34,1,988.18,1,NA,0.5,245.25,1,83.23,1,NA,NA,0.5
2009,5,28,-1.59,1,990.79,1,NA,0.625,63.38,1,84.5,1,NA,NA,0.625
2009,5,29,-0.7,1,980.56,1,13.53,0.75,138.5,1,95.43,1,8.43,22.52,0.75
2009,5,30,-1.48,1,996.73,1,8.1,0.875,224,1,92.35,1,8.05,222.71,0.875
