Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,30,NA,0,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2009,12,31,-12.78,0.75,834.34,1,2.88,1,161.88,1,86.47,1,1.3,14.02,1
2010,1,1,-12.24,0.875,829.5,1,5.68,0.75,305.5,1,89.2,1,5.33,338.72,0.75
2010,1,2,-10.78,1,827.7,1,10.28,1,352.25,1,90.49,1,10.26,352.32,1
2010,1,3,-9.75,1,833.75,1,6.66,1,185.75,1,90.74,1,6.4,5.96,1
2010,1,4,-8.22,1,835.12,1,5.9,0.75,149.62,1,72.72,1,5.58,11.41,0.75
2010,1,5,-7.12,1,835.46,1,11.27,0.875,32.25,1,61.12,1,11.19,33.29,0.875
2010,1,6,-7.58,1,840.11,1,NA,0.625,46.62,1,59.19,1,NA,NA,0.625
2010,1,7,-6.61,0.875,841.52,1,7.1,0.875,25.75,1,60.02,1,6.97,23.87,0.875
2010,1,8,-4.9,1,842.12,1,7.11,0.875,48.12,1,44.38,1,6.92,49.31,0.875
2010,1,9,-5.21,1,841.66,1,9.39,1,66.62,1,41.5,1,9.34,66.46,1
2010,1,10,-9.24,0.875,839.3,1,4,0.75,131.57,0.875,76.08,1,3.57,19.4,0.75
2010,1,11,-9.56,1,837.82,1,4.25,1,75.88,1,76.83,1,3.85,26.48,1
2010,1,12,-7.16,1,842.01,1,4.7,1,73.25,1,83.16,1,4.48,26.61,1
2010,1,13,-1.49,1,843.48,1,6.64,1,34.5,1,52.86,1,6.56,32.82,1
2010,1,14,-3.31,1,836.41,1,12.69,0.875,76.88,1,54.39,1,12.08,83.81,0.875
2010,1,15,-8.49,1,826.51,1,18.72,1,86.88,1,61.29,1,18.49,87.22,1
2010,1,16,NA,0.625,826.81,1,NA,0.375,157.25,1,61.41,1,NA,NA,0.375
2010,1,17,-8.06,1,827.42,1,5.01,0.875,80.25,1,55.21,1,4.28,69.55,0.875
2010,1,18,-10.31,1,824.2,1,14.13,0.875,48.88,1,66.56,1,13.75,45.23,0.875
2010,1,19,-9.65,1,827.18,1,7.92,1,109.38,1,88.24,1,7.61,25.6,1
2010,1,20,-9.7,1,826,1,5.26,1,83.38,1,77.69,1,4.69,27.96,1
2010,1,21,-8.49,1,831.14,1,4.6,0.875,223.62,1,86.66,1,3.95,354.6,0.875
2010,1,22,-6.38,1,830.51,1,NA,0.375,42.25,1,63.88,1,NA,NA,0.375
2010,1,23,-6.69,1,827.68,1,13.57,0.75,67.88,1,70.47,1,13.37,67.88,0.75
2010,1,24,-7.04,0.875,829.12,1,7,0.875,111.25,1,74.41,1,6.53,67.8,0.875
2010,1,25,-9.01,1,827.75,1,12.78,0.75,105.88,1,80.8,1,12.61,103.37,0.75
2010,1,26,-9.95,1,824.94,1,12.19,0.875,86.75,1,74.31,1,11.94,86.53,0.875
