Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1991,2,22,NA,0.5,NA,0.625,NA,0.5,NA,0.625,NA,0.375,NA,NA,0.5
1991,2,23,NA,0.625,943.07,0.875,7.36,0.875,123.86,0.875,86,0.875,5.83,127.84,0.875
1991,2,24,NA,0.625,NA,0.625,NA,0.5,NA,0.625,NA,0.5,NA,NA,0.5
1991,2,25,NA,0.625,942.8,0.75,NA,0.25,93.5,0.75,94.67,0.75,NA,NA,0.25
1991,2,26,NA,0.5,NA,0.5,NA,0.25,NA,0.5,NA,0.375,NA,NA,0.25
1991,2,27,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.125,NA,NA,0.625
1991,2,28,NA,0.5,NA,0.5,NA,0.375,NA,0.5,NA,0.5,NA,NA,0.375
1991,3,1,NA,0.625,NA,0.625,NA,0.375,NA,0.625,NA,0.375,NA,NA,0.375
1991,3,2,-9.2,0.75,931.22,0.75,NA,0.375,207.67,0.75,NA,0.25,NA,NA,0.375
1991,3,3,-7.63,0.875,931.94,0.875,NA,0.25,80.86,0.875,93,0.75,NA,NA,0.25
1991,3,4,-4.93,0.75,926.42,0.75,NA,0.375,96,0.75,87.5,0.75,NA,NA,0.375
1991,3,5,NA,0.375,NA,0.625,NA,0.25,NA,0.625,NA,0.625,NA,NA,0.25
1991,3,6,NA,0.5,931.65,0.75,NA,0.625,101.83,0.75,86.67,0.75,NA,NA,0.625
1991,3,7,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,3,8,NA,0.375,NA,0.375,NA,0.375,NA,0.375,NA,0.375,NA,NA,0.375
1991,3,9,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,3,10,-9.97,0.75,924.72,0.75,NA,0.375,93.17,0.75,76.33,0.75,NA,NA,0.375
1991,3,11,NA,0.625,917.04,0.875,8.75,0.75,102.57,0.875,71,0.875,8.35,94.93,0.75
1991,3,12,-9.23,0.75,918.4,0.75,NA,0.375,63.67,0.75,80.83,0.75,NA,NA,0.375
1991,3,13,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,3,14,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.375,NA,NA,0.625
1991,3,15,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,3,16,NA,0.625,NA,0.625,NA,0.375,NA,0.625,NA,0.625,NA,NA,0.375
1991,3,17,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,3,18,-13.97,0.875,940.5,0.875,5.75,0.75,91,0.875,70.14,0.875,5.31,91.69,0.75
1991,3,19,NA,0.625,940.55,0.75,NA,0.375,165.83,0.75,54.83,0.75,NA,NA,0.375
1991,3,20,-7.25,0.75,932.9,0.75,NA,0.5,85.33,0.75,NA,0.25,NA,NA,0.5
1991,3,21,NA,0.5,NA,0.5,NA,0.125,NA,0.5,NA,0.5,NA,NA,0.125
1991,3,22,NA,0.625,NA,0.625,NA,0.25,NA,0.625,NA,0.625,NA,NA,0.25
1991,3,23,NA,0.5,NA,0.5,NA,0.25,NA,0.5,NA,0.375,NA,NA,0.25
1991,3,24,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,3,25,NA,0.5,NA,0.5,NA,0.25,NA,0.5,NA,0.5,NA,NA,0.25
1991,3,26,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,3,27,-7.25,0.75,916.37,0.75,NA,0.5,119.33,0.75,79.83,0.75,NA,NA,0.5
1991,3,28,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,3,29,NA,0.5,939.39,0.875,NA,0.625,78.86,0.875,81.43,0.875,NA,NA,0.625
1991,3,30,NA,0.625,956.77,0.75,NA,0.625,134.33,0.75,NA,0.375,NA,NA,0.625
1991,3,31,NA,0.5,NA,0.625,NA,0.5,NA,0.625,NA,0.5,NA,NA,0.5
1991,4,1,NA,0.25,NA,0.25,NA,0.125,NA,0.25,NA,0.25,NA,NA,0.125
1991,4,2,NA,0.5,NA,0.5,NA,0.375,NA,0.5,NA,0.5,NA,NA,0.375
1991,4,3,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
1991,4,4,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,4,5,-9.34,0.875,940.01,0.875,NA,0.375,158,0.875,81.43,0.875,NA,NA,0.375
1991,4,6,-5.84,0.875,935.36,0.875,NA,0.375,71,0.875,NA,0.625,NA,NA,0.375
1991,4,7,NA,0.625,NA,0.625,NA,0.5,NA,0.625,NA,0.625,NA,NA,0.5
1991,4,8,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,4,9,NA,0.625,NA,0.625,NA,0.375,NA,0.5,NA,0.625,NA,NA,0.375
1991,4,10,NA,0.625,NA,0.625,NA,0.375,NA,0.625,NA,0.625,NA,NA,0.375
1991,4,11,NA,0.5,NA,0.5,NA,0.375,NA,0.5,NA,0.5,NA,NA,0.375
1991,4,12,NA,0.375,NA,0.375,NA,0.25,NA,0.375,NA,0.375,NA,NA,0.25
1991,4,13,NA,0.625,NA,0.625,NA,0.5,NA,0.625,NA,0.625,NA,NA,0.5
1991,4,14,-8.47,0.875,938.07,0.875,NA,0.375,104.29,0.875,71.86,0.875,NA,NA,0.375
1991,4,15,-12.15,0.75,937,0.875,4.33,0.75,80.86,0.875,83.71,0.875,2.68,89.64,0.75
1991,4,16,NA,0.375,NA,0.375,NA,0.375,NA,0.375,NA,0.375,NA,NA,0.375
1991,4,17,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,4,18,NA,0.5,NA,0.5,NA,0.375,NA,0.5,NA,0.5,NA,NA,0.375
1991,4,19,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,4,20,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,4,21,NA,0.5,NA,0.5,NA,0.25,NA,0.5,NA,0.5,NA,NA,0.25
1991,4,22,NA,0.625,NA,0.625,NA,0.375,NA,0.625,NA,0.125,NA,NA,0.375
1991,4,23,-5.51,0.875,929,0.875,NA,0.25,80.43,0.875,NA,0.625,NA,NA,0.25
1991,4,24,NA,0.625,NA,0.625,NA,0.5,NA,0.625,NA,0.25,NA,NA,0.5
1991,4,25,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,4,26,NA,0.625,NA,0.625,NA,0.25,NA,0.625,NA,0.625,NA,NA,0.25
1991,4,27,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,4,28,-6.47,0.875,918.5,0.875,NA,0.375,93,0.875,75.57,0.875,NA,NA,0.375
1991,4,29,NA,0.625,NA,0.625,NA,0.5,NA,0.625,NA,0.625,NA,NA,0.5
1991,4,30,-10.77,0.75,935.98,0.75,NA,0.375,NA,0.625,77.17,0.75,NA,NA,0.375
1991,5,1,NA,0.625,NA,0.625,NA,0.375,NA,0.375,NA,0.625,NA,NA,0.375
1991,5,2,NA,0.625,932.53,0.875,NA,0.625,NA,0.625,91.86,0.875,NA,NA,0.625
1991,5,3,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,5,4,-16.4,0.75,933.42,0.75,NA,0.625,85.5,0.75,95,0.75,NA,NA,0.625
1991,5,5,NA,0.5,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1991,5,6,NA,0.375,NA,0.375,NA,0.375,NA,0.375,NA,0.375,NA,NA,0.375
1991,5,7,NA,0.625,NA,0.625,NA,0.25,NA,0.625,NA,0.625,NA,NA,0.25
1991,5,8,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,NA,0.5
1991,5,9,NA,0.625,932.27,0.75,NA,0.625,NA,0.625,89.5,0.75,NA,NA,0.625
