Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1986,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1986,1,29,NA,0.5,981.35,1,1.63,0.875,205.43,0.875,53.5,1,0.92,316.59,0.875
1986,1,30,NA,0.125,982.46,1,1.24,0.875,258.29,0.875,58.63,1,1.13,266.25,0.875
1986,1,31,NA,0.5,983.04,1,NA,0.25,NA,0.25,52.25,1,NA,NA,0.25
1986,2,1,-11.65,0.75,982.7,1,3.16,1,135.5,1,58.75,1,3.11,136.61,1
1986,2,2,NA,0.625,980.36,1,2.26,1,228.5,1,59,1,1.4,215.97,1
1986,2,3,-11.53,0.75,979.99,1,3.72,1,152,1,60,1,3.38,142.01,1
1986,2,4,-10.49,1,985.83,1,3.94,1,138.38,1,67,1,3.87,138.77,1
1986,2,5,-12.43,0.75,989.61,1,2.47,0.875,97.71,0.875,62.75,1,2.21,97.77,0.875
1986,2,6,-13.36,0.875,988.65,1,3.48,1,110.5,1,64.13,1,3.29,108.96,1
1986,2,7,-14.36,0.875,991.25,1,3.07,0.875,157.71,0.875,61.38,1,1.18,169.3,0.875
1986,2,8,-12.03,0.75,991.21,1,4.69,1,189.75,1,57.25,1,4.38,185.58,1
1986,2,9,-10.19,1,993.18,1,6.38,1,164.12,1,64.38,1,6.28,162.6,1
1986,2,10,-8.45,1,989.28,1,11.04,1,165.25,1,67.75,1,11.01,165.26,1
1986,2,11,-10.61,1,988.53,1,7.06,1,153.88,1,64.5,1,7.04,153.36,1
1986,2,12,-9.51,1,990.21,1,9.47,1,171.38,1,58.63,1,9.42,172.39,1
1986,2,13,-9.88,0.75,989.16,1,8.18,1,169.88,1,62.25,1,7.51,170.6,1
1986,2,14,-17.4,0.75,986.78,1,2.84,1,157.25,1,56.25,1,2.68,154.62,1
1986,2,15,-16.15,0.75,989.06,1,2.66,1,148.88,1,55,1,1.88,151.18,1
