Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1995,11,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1995,11,30,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
1995,12,1,NA,0.625,983.89,1,2.19,1,124.12,1,81.25,1,1.67,84.95,1
1995,12,2,NA,0.375,983.43,1,1.85,1,74.25,1,84.88,1,1.33,84.52,1
1995,12,3,NA,0.625,983.45,1,2.55,1,32.75,1,91.38,1,2.34,25.37,1
1995,12,4,NA,0.625,982.52,1,2.51,1,172.12,1,82.75,1,1.1,222.94,1
1995,12,5,NA,0.625,981.8,1,2.57,0.875,101.75,1,87.88,1,2.47,9.12,0.875
1995,12,6,-2.86,0.875,986.11,1,3.4,1,179.5,1,83.29,0.875,0.74,112.85,1
1995,12,7,-5.51,1,993.6,1,5.08,1,208,1,80.86,0.875,4.98,205.84,1
1995,12,8,-3.32,0.75,988.89,1,4.5,0.875,247.12,1,84.5,1,4.14,238.67,0.875
1995,12,9,-5.1,0.875,987.44,1,4.47,1,214.12,1,83.5,1,3.82,209.11,1
1995,12,10,-6.33,0.75,986.71,0.875,5.09,0.875,205,0.875,80,0.875,4.96,205.51,0.875
1995,12,11,NA,0.375,974.05,1,2.49,1,94.12,1,93.38,1,2.05,25.73,1
1995,12,12,NA,0.625,964.1,1,4.24,1,61.62,1,94.43,0.875,3.74,38.08,1
1995,12,13,-2.75,1,959.99,1,6.97,1,65.25,1,NA,0.625,6.68,63.03,1
1995,12,14,-1.51,1,966.39,1,3.9,1,69.5,1,85.33,0.75,3.61,71.05,1
1995,12,15,-2.14,1,972.34,1,6.27,1,138.88,1,84.17,0.75,6.17,139.23,1
1995,12,16,NA,0.5,NA,0.625,NA,0.625,NA,0.625,NA,0.5,NA,NA,0.625
1995,12,17,-8.13,0.75,972.62,0.75,10.88,0.75,192.67,0.75,91.67,0.75,10.85,192.77,0.75
1995,12,18,-5.86,1,974.88,1,11.74,1,198.38,1,91.33,0.75,11.66,198.73,1
1995,12,19,-6.75,1,974.91,1,8.3,1,200.62,1,85.33,0.75,8.23,200.98,1
1995,12,20,-4.47,1,976.79,1,5.09,1,182.62,1,83.5,1,5.04,182.73,1
1995,12,21,-2.49,0.875,972.96,0.875,2.76,0.875,180.57,0.875,78.86,0.875,2.71,182.02,0.875
1995,12,22,-4.32,1,972.99,1,6.97,1,NA,0.625,86.17,0.75,NA,NA,0.625
1995,12,23,-5.56,1,979.8,1,6.67,0.75,229.88,1,88.12,1,6.39,228.73,0.75
1995,12,24,-2.81,1,981.9,1,8.39,0.875,210.5,1,NA,0.5,8.31,211.09,0.875
1995,12,25,-2.8,0.75,981.5,1,3.86,0.875,133.12,1,88.57,0.875,0.98,328.68,0.875
1995,12,26,-3.46,1,978.2,1,6.55,1,33.38,1,NA,0.625,6.39,33.39,1
1995,12,27,-2.98,1,981.94,1,5.74,1,36,1,NA,0.625,5.66,36.73,1
1995,12,28,-3.11,0.875,977.41,1,3.52,1,88.88,1,78.71,0.875,3.14,91.93,1
1995,12,29,-5.46,0.875,981.66,1,3.56,1,149.88,1,79,0.875,3.19,147.31,1
1995,12,30,-4.7,0.75,987.99,1,3.04,0.875,244.71,0.875,89.12,1,1.91,332.57,0.875
1995,12,31,-4.3,1,987.26,1,5.71,1,28.38,1,NA,0.5,5.35,28.51,1
1996,1,1,-4.81,0.875,990.86,1,3.51,1,104.62,1,83,0.75,3.29,69.29,1
1996,1,2,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,0.25,NA,NA,0.25
1996,1,3,NA,0.375,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,NA,0.625
1996,1,4,NA,0.625,983.7,1,3.09,1,254.25,1,77.25,1,2.89,255.75,1
1996,1,5,NA,0.625,985.9,1,2.94,1,244,1,75.62,1,1.77,225.01,1
1996,1,6,NA,0.625,988.44,0.875,2.99,0.875,192.71,0.875,77,0.875,2.91,190.96,0.875
1996,1,7,-6.73,0.875,989.19,0.875,4.93,0.875,224.71,0.875,88.67,0.75,4.88,223.38,0.875
1996,1,8,-6.43,0.75,989.89,0.875,3.9,0.875,187.57,0.875,75,0.75,3.55,194.95,0.875
1996,1,9,-4.41,0.875,990.46,0.875,4.37,0.875,167.14,0.875,74.86,0.875,3.17,159.52,0.875
1996,1,10,-3.84,1,992.11,1,4,1,215.25,1,NA,0.625,3.84,213.73,1
1996,1,11,-4.47,0.75,990.64,1,3,0.75,282.29,0.875,87.86,0.875,2.01,290.76,0.75
1996,1,12,NA,0.625,992.17,0.75,6.63,0.75,206.83,0.75,84.17,0.75,6.49,206.68,0.75
1996,1,13,-7.73,0.75,990.51,0.875,4.74,0.875,206.57,0.875,74,0.75,4.02,201.02,0.875
1996,1,14,NA,0.625,989.75,1,4.79,0.875,262,1,79.43,0.875,4.33,259.58,0.875
1996,1,15,NA,0.5,986.5,0.75,NA,0.625,75.67,0.75,NA,0.625,NA,NA,0.625
1996,1,16,-3.76,1,978.22,1,8.6,0.875,28.12,1,NA,0.5,8.56,28.58,0.875
1996,1,17,-4.34,1,981.49,1,4.04,1,114.38,1,85,1,2.91,121.8,1
1996,1,18,-6.8,1,980.31,1,10.29,1,181.25,1,89,0.75,10.18,183.05,1
