Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1990,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1990,1,3,NA,0.5,NA,0.625,NA,0.375,NA,0.5,NA,0,NA,NA,0.375
1990,1,4,-14.11,1,800.96,1,NA,0.125,240,1,NA,0,NA,NA,0.125
1990,1,5,-14.61,1,804.06,1,6.57,0.875,198.75,1,NA,0,6.03,204.68,0.875
1990,1,6,-14.11,1,807.05,1,NA,0.25,NA,0.25,NA,0,NA,NA,0
1990,1,7,-12.4,1,807.34,1,NA,0.25,226.25,1,NA,0,NA,NA,0.25
1990,1,8,-13.44,1,803.34,1,NA,0.5,130,1,NA,0,NA,NA,0.5
1990,1,9,-14.85,1,801.44,1,NA,0.5,118.57,0.875,NA,0,NA,NA,0.5
1990,1,10,-14.38,1,804.68,1,NA,0.375,NA,0.5,NA,0,NA,NA,0.125
1990,1,11,-13.21,1,808.04,1,NA,0.25,212.5,1,NA,0,NA,NA,0.25
1990,1,12,-12.46,1,809.44,1,4.14,0.875,173.75,1,NA,0,2.07,184.56,0.875
1990,1,13,-14.4,0.875,812.07,1,NA,0.375,226.25,1,NA,0,NA,NA,0.375
1990,1,14,-13.95,1,814.75,1,NA,0.625,232.5,1,NA,0,NA,NA,0.625
1990,1,15,-13.3,1,812.7,1,NA,0.25,198.75,1,NA,0,NA,NA,0.25
1990,1,16,-11.75,1,815.25,1,NA,0.375,188.33,0.75,NA,0,NA,NA,0.25
1990,1,17,-10.46,1,815.45,1,NA,0.375,183.75,1,NA,0,NA,NA,0.375
1990,1,18,-11.61,1,813.53,1,NA,0.5,186.25,1,NA,0,NA,NA,0.5
1990,1,19,-13.47,0.75,816.78,1,NA,0.375,NA,0.625,NA,0,NA,NA,0.25
1990,1,20,NA,0.625,816.25,1,2.5,1,113.75,1,NA,0,1.2,146.5,1
1990,1,21,-11.79,1,813.38,1,4,1,182.5,1,NA,0,1.94,158.49,1
1990,1,22,-14.26,1,809.56,1,NA,0.5,NA,0.5,NA,0,NA,NA,0.5
1990,1,23,-14.18,1,811.53,1,NA,0.5,185.71,0.875,NA,0,NA,NA,0.5
1990,1,24,-13.39,0.875,810.86,1,4,0.75,170,1,NA,0,2.73,212.8,0.75
1990,1,25,-14.53,1,799.61,1,NA,0.125,255,1,NA,0,NA,NA,0.125
1990,1,26,-14.45,1,791.85,1,NA,0.375,247.5,1,NA,0,NA,NA,0.375
1990,1,27,-14.43,0.75,798.22,1,NA,0.625,138.75,1,NA,0,NA,NA,0.625
1990,1,28,-15.05,1,805.76,1,NA,0.125,237.5,1,NA,0,NA,NA,0.125
1990,1,29,-11.29,1,801,1,NA,0,232.5,1,NA,0,NA,NA,0
1990,1,30,-10.57,0.875,791.5,1,NA,0.375,68.75,1,NA,0,NA,NA,0.375
1990,1,31,-15.16,1,792.34,1,NA,0.375,105,1,NA,0,NA,NA,0.375
1990,2,1,-14.32,0.75,793.65,1,1.67,0.75,90,0.875,NA,0,0.92,53.72,0.75
1990,2,2,-13.9,1,796.11,1,NA,0.375,NA,0.375,NA,0,NA,NA,0.375
1990,2,3,-15.6,0.875,798.08,1,NA,0.25,117.14,0.875,NA,0,NA,NA,0.25
1990,2,4,-16.31,1,798.91,1,NA,0.25,123.33,0.75,NA,0,NA,NA,0.25
1990,2,5,-16.76,1,796.35,1,NA,0.5,216.25,1,NA,0,NA,NA,0.5
1990,2,6,-14.9,1,797.69,1,NA,0.25,217.5,1,NA,0,NA,NA,0.25
1990,2,7,-13.45,1,792.25,1,NA,0.5,248.75,1,NA,0,NA,NA,0.5
1990,2,8,-19.03,0.875,787.68,1,NA,0.375,185,1,NA,0,NA,NA,0.375
1990,2,9,-18.75,1,790.78,1,NA,0.625,150,0.875,NA,0,NA,NA,0.625
1990,2,10,-19.24,1,792.69,1,NA,0.625,173.75,1,NA,0,NA,NA,0.625
1990,2,11,-20.56,1,793.59,1,NA,0.375,171.25,1,NA,0,NA,NA,0.375
1990,2,12,-17.65,1,795.8,1,NA,0.5,NA,0.625,NA,0,NA,NA,0.25
1990,2,13,-17.2,1,799.55,1,4.17,0.75,137.5,1,NA,0,3.23,81.62,0.75
1990,2,14,-17.61,0.875,802.65,1,NA,0.375,142.5,1,NA,0,NA,NA,0.375
1990,2,15,-17.87,0.875,801.07,1,NA,0.625,147.5,1,NA,0,NA,NA,0.625
1990,2,16,-19.46,1,803.76,1,NA,0,181.25,1,NA,0,NA,NA,0
1990,2,17,-19.69,0.875,806.74,1,NA,0.5,214.29,0.875,NA,0,NA,NA,0.5
1990,2,18,-19.69,1,806.54,1,NA,0,226.25,1,NA,0,NA,NA,0
1990,2,19,-19.1,1,805.65,1,NA,0.25,242.5,1,NA,0,NA,NA,0.25
1990,2,20,-15.4,1,807.55,1,NA,0.25,223.75,1,NA,0,NA,NA,0.25
1990,2,21,-15.46,1,802.26,1,NA,0,213.75,1,NA,0,NA,NA,0
1990,2,22,-22.13,0.875,791.25,1,NA,0.125,136.25,1,NA,0,NA,NA,0.125
1990,2,23,-23.34,1,793.24,1,NA,0.375,131.67,0.75,NA,0,NA,NA,0.375
1990,2,24,-20.5,1,805.25,1,NA,0.5,135,1,NA,0,NA,NA,0.5
1990,2,25,-16.46,1,798.11,1,NA,0,238.75,1,NA,0,NA,NA,0
1990,2,26,-22.99,1,788.97,1,NA,0.25,146.25,1,NA,0,NA,NA,0.25
1990,2,27,-20.72,1,789.74,1,NA,0.25,192.86,0.875,NA,0,NA,NA,0.125
1990,2,28,-18.35,0.75,799.96,1,5.17,0.75,225,0.75,NA,0,NA,NA,0.5
1990,3,1,-19.84,1,799.79,1,NA,0.5,150,1,NA,0,NA,NA,0.5
1990,3,2,-21.79,1,801.38,1,3.57,0.875,88.75,1,NA,0,3.21,30.64,0.875
