No.,Station,Lat(℃),Lon(℃),Elevation(m),Institution,,,,,,,,,
1,Cape Hallett,-72.32,170.23,1,AMRC,,,,,,,,,
2,Pegasus South,-77.99,166.56,5,AMRC,,,,,,,,,
3,Bonaparte Point,-64.78,-64.07,8,AMRC,,,,,,,,,
4,Pegasus North,-77.95,166.5,8,AMRC,,,,,,,,,
5,Willie Field,-77.87,166.92,9,AMRC,,,,,,,,,
6,Pegasus,-78,166.64,10,AMRC,,,,,,,,,
7,Phoenix,-77.95,166.76,10,AMRC,,,,,,,,,
8,Dismal Island,-68.09,-68.83,12,AMRC,,,,,,,,,
9,Rothera,-67.57,-68.13,15,AMRC,,,,,,,,,
10,Spring Point,-64.29,-61.05,15,POLENET,,,,,,,,,
11,Larsen Ice Shelf,-67.01,-61.55,17,AMRC,,,,,,,,,
12,Racer Rock,-64.07,-61.61,17,AMRC,,,,,,,,,
13,Martha II,-78.38,-173.42,18,AMRC,,,,,,,,,
14,Zhongshan,-69.37,76.38,18,CHINARE,,,,,,,,,
15,Jennica,-74.69,164.12,20,PNRA,,,,,,,,,
16,Virginia,-74.95,163.69,20,PNRA,,,,,,,,,
17,Cape Spencer,-77.97,167.53,23,AMRC,,,,,,,,,
18,Cape Adams,-75.01,-62.53,25,AMRC,,,,,,,,,
19,Hugo Island,-64.96,-65.67,25,AMRC,,,,,,,,,
20,Laurie,-77.55,170.09,25,AMRC,,,,,,,,,
21,Nancy,-77.91,168.17,25,AMRC,,,,,,,,,
22,Santa Claus Island,-64.96,-65.67,25,AMRC,,,,,,,,,
23,Tiffany,-77.95,166.17,25,AMRC,,,,,,,,,
24,Herbie Alley,-78.1,166.67,30,AMRC,,,,,,,,,
25,Kirkwood Island,-68.34,-69.01,30,AMRC,,,,,,,,,
26,Pat,-74.88,163.1,30,AMRC,,,,,,,,,
27,Penguin,-74.33,165.13,30,PNRA,,,,,,,,,
28,Penguin Point,-67.62,146.18,30,AMRC,,,,,,,,,
29,Possession Island,-71.89,171.21,30,AMRC,,,,,,,,,
30,Scott Island,-67.37,-179.97,30,AMRC,,,,,,,,,
31,White Out,-77.87,168.16,30,AMRC,,,,,,,,,
32,Young Island,-66.23,162.28,30,AMRC,,,,,,,,,
33,Cape Denison,-67.01,142.66,31,AMRC,,,,,,,,,
34,Laurie II,-77.43,170.74,34,AMRC,,,,,,,,,
35,aws04,-72.75,-15.48,35,IMAU,,,,,,,,,
36,B9Berg,-67.24,148.46,35,AAD,,,,,,,,,
