Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1980,12,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1980,12,4,-9.66,0.875,974.06,0.875,11.41,0.875,223.86,0.875,NA,0,11.4,223.98,0.875
1980,12,5,-3.19,1,971.36,1,9.05,0.75,202.38,1,NA,0,8.81,203.52,0.75
1980,12,6,-3.25,1,969.7,1,9.7,1,219.5,1,NA,0,9.63,219.46,1
1980,12,7,-4.1,1,974.08,1,5.25,1,214.5,1,NA,0,5.07,212.23,1
1980,12,8,-3.71,1,981.46,1,6.26,0.875,207.62,1,NA,0,5.92,205.41,0.875
1980,12,9,-4.78,1,985.09,1,6.5,1,208.38,1,NA,0,6.12,208.71,1
1980,12,10,-5.84,0.875,987.16,1,3.98,1,227.25,1,NA,0,3.77,223.24,1
1980,12,11,-6.4,1,987.38,1,7.55,1,236.25,1,NA,0,7.32,234.3,1
1980,12,12,-8.02,0.75,989.85,1,5.06,1,220.75,1,NA,0,5.04,223.85,1
1980,12,13,NA,0.25,989.24,1,1.79,1,201,1,NA,0,1.18,350.18,1
1980,12,14,NA,0.125,986.68,1,1.46,1,217.75,1,NA,0,0.8,201.36,1
1980,12,15,NA,0,985.83,0.875,1.8,0.875,151.86,0.875,NA,0,1.28,176.29,0.875
1980,12,16,NA,0.625,988.7,1,4.05,1,188.5,1,NA,0,3.96,188.57,1
1980,12,17,NA,0.5,990.45,1,2.41,1,150.75,1,NA,0,2.32,147.75,1
1980,12,18,-10.87,0.75,990.61,1,2.7,0.875,158,0.875,NA,0,2.23,179.3,0.875
1980,12,19,-11.15,0.75,983.69,1,2.56,1,334.25,1,NA,0,2.14,340.68,1
1980,12,20,NA,0.25,985.11,1,2.14,1,258.62,1,NA,0,1.85,259.12,1
1980,12,21,NA,0.625,985.16,1,NA,0.625,210.75,1,NA,0,NA,NA,0.625
1980,12,22,NA,0.125,985.15,1,1.21,1,170,1,NA,0,0.15,288.62,1
1980,12,23,NA,0.625,983.06,1,4.14,1,250.62,1,NA,0,3.56,234.1,1
1980,12,24,-6.32,1,983.13,1,5.69,0.875,202.62,1,NA,0,4.77,208.16,0.875
1980,12,25,-7.32,0.75,987.15,0.75,6.17,0.75,197,0.75,NA,0,5.97,196.59,0.75
1980,12,26,-7,0.875,984.66,1,4.51,1,220.38,1,NA,0,4.37,220.81,1
1980,12,27,-7.44,1,985.46,1,6.44,1,220.38,1,NA,0,6.4,220.22,1
1980,12,28,-7.6,1,989.46,1,7.29,0.875,212.75,1,NA,0,6.87,209.85,0.875
1980,12,29,-5.95,1,987.35,1,8.16,1,214.75,1,NA,0,7.83,214.62,1
1980,12,30,-4.23,1,980.36,1,8.9,1,NA,0.5,NA,0,NA,NA,0.5
1980,12,31,-4.06,0.875,977.42,1,6.12,1,174.83,0.75,NA,0,5.13,177.6,0.75
1981,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1981,1,16,-11.65,1,986.99,1,4.25,1,215.75,1,NA,0,4.01,210.31,1
1981,1,17,NA,0.375,976.26,1,2.48,1,237.62,1,NA,0,0.81,244.79,1
1981,1,18,NA,0.375,979.15,1,2.64,0.875,175.62,1,NA,0,1.7,189.64,0.875
1981,1,19,-9.74,1,986.01,1,5.5,0.875,216.38,1,NA,0,5.22,211.66,0.875
1981,1,20,-7.89,1,980.39,1,5.7,0.875,219.12,1,NA,0,5.55,218.14,0.875
1981,1,21,-5.08,1,978.56,1,7.45,1,208.25,1,NA,0,7.04,210.58,1
1981,1,22,-4.61,0.875,985.04,1,5,1,193.88,1,NA,0,4.48,205.21,1
1981,1,23,-4.12,0.75,985.78,1,3.36,1,251.12,1,NA,0,2.69,246.96,1
1981,1,24,NA,0.375,977.18,1,2.43,0.875,154.71,0.875,NA,0,1.63,241.29,0.875
1981,1,25,NA,0.25,973.3,1,1.57,1,163.5,1,NA,0,0.97,345.04,1
1981,1,26,-11.19,1,975.91,1,5.34,1,211.5,1,NA,0,5.21,216.43,1
1981,1,27,-10.27,0.875,978.19,1,4.5,1,NA,0.5,NA,0,NA,NA,0.5
