Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,12,17,NA,0.625,773.1,0.75,4.58,0.75,223.67,0.75,42.05,0.75,4.26,218.73,0.75
2014,12,18,NA,0.5,771.82,1,4.66,1,118.12,1,44.41,1,3.78,106.53,1
2014,12,19,NA,0.5,772.39,1,2.38,1,251.5,1,82.77,1,1.23,353.12,1
2014,12,20,NA,0.5,765.1,1,3.67,1,103.25,1,48.64,1,2.68,74.6,1
2014,12,21,-14.7,0.75,765.46,1,3.21,1,265.25,1,78.61,1,3.02,357.37,1
2014,12,22,-14.46,0.875,762.51,1,2.69,1,140.12,1,51.91,1,2.43,7.17,1
2014,12,23,-15.06,1,764.71,1,3.19,1,59.38,1,56.4,1,2.9,59.44,1
2014,12,24,NA,0.625,763.54,1,3.66,1,90.88,1,74.03,1,2.66,58.08,1
2014,12,25,-17.15,0.75,762.3,1,NA,0.5,246,1,79.09,1,NA,NA,0.5
2014,12,26,-15.42,0.75,760.46,1,5.33,0.75,215.38,1,68.56,1,3.4,122.78,0.75
2014,12,27,-13.18,0.75,766.68,1,2.31,0.875,201.25,1,46.29,1,1.1,23.85,0.875
2014,12,28,NA,0.625,765.46,1,NA,0.625,122.25,1,45.41,1,NA,NA,0.625
2014,12,29,-13.64,1,765.84,1,3.89,1,224.38,1,54.31,1,3.85,0.34,1
2014,12,30,-14.64,1,766.11,1,4.5,1,64.12,1,58.32,1,4.34,63.62,1
2014,12,31,-15.1,1,765.59,1,5.69,0.875,59.62,1,67.73,1,4.86,63.57,0.875
2015,1,1,-15.45,1,760.89,1,9.7,1,112,1,77.04,1,9.41,112.13,1
2015,1,2,-15.9,1,759.64,1,11.61,1,133.12,1,74.69,1,11.58,133.37,1
2015,1,3,-14.31,1,763.51,1,9.45,0.75,137.88,1,67.13,1,9.16,133.22,0.75
2015,1,4,NA,0.625,768.55,1,2.49,1,152,1,59.01,1,1.57,90.67,1
2015,1,5,-11.66,1,767.18,1,4.12,1,60.75,1,65.41,1,3.6,64.21,1
2015,1,6,NA,0.375,765.63,1,2.2,1,120.88,1,72.84,1,1.5,115.83,1
2015,1,7,-11.54,1,768.16,1,2.72,1,73.75,1,67.98,1,2.23,74.19,1
2015,1,8,-12.52,1,765.88,1,6.83,0.875,82,1,77.6,1,4.96,86.75,0.875
2015,1,9,-14.04,1,759.38,1,8.55,0.75,117.88,1,77.58,1,8.46,117.54,0.75
2015,1,10,-15.04,1,758.68,1,13.25,0.75,132.5,1,76.73,1,13.22,132.42,0.75
2015,1,11,-14.24,1,761.84,1,8.39,1,118.88,1,74.68,1,8.36,119.62,1
2015,1,12,NA,0.5,762.68,1,2.73,0.875,119,1,78.34,1,1.64,49.45,0.875
2015,1,13,NA,0.25,765.66,1,1.56,1,138,1,80.44,1,0.65,45.95,1
2015,1,14,NA,0.375,767.85,1,1.9,0.875,132.88,1,74.35,1,1.39,37.74,0.875
2015,1,15,NA,0.25,771.09,1,1.64,1,26.62,1,79.09,1,1.5,26.21,1
2015,1,16,NA,0.5,769.41,1,2.84,1,114.12,1,79.85,1,2.52,32.41,1
2015,1,17,-17.43,1,765.36,1,6.74,1,107.75,1,75.64,1,6.22,117.13,1
2015,1,18,-17.65,1,757.54,1,8.86,1,113,1,76.41,1,8.57,113.32,1
2015,1,19,-16.39,1,763.59,1,3.33,0.875,169.5,1,66.19,1,2.28,174,0.875
2015,1,20,-13.36,0.875,773.03,1,4.69,1,97.5,1,71.83,1,3.46,50.22,1
2015,1,21,-14.19,1,765.24,1,4.39,1,239.88,1,59.8,1,4.28,238.45,1
2015,1,22,NA,0.625,758.96,1,NA,0.5,168.12,1,53.18,1,NA,NA,0.5
2015,1,23,-14.71,0.875,762.45,1,NA,0.625,134,1,81.55,1,NA,NA,0.625
2015,1,24,-15.21,0.875,758.54,1,NA,0.625,104.29,0.875,81.15,1,NA,NA,0.625
2015,1,25,-16.36,0.875,765.63,1,3.72,0.75,267.62,1,82.24,1,2.13,4.88,0.75
2015,1,26,-14.74,0.875,761.99,0.875,7.66,0.875,70.71,0.875,73.67,0.875,6.61,76.64,0.875
2015,1,27,-16.47,1,760.6,1,NA,0.375,170.12,1,81.27,1,NA,NA,0.375
