Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2015,1,1,-12.84,1,802.76,1,NA,0.625,NA,0.625,85.83,1,NA,NA,0.625
2015,1,2,-11.5,0.75,804.82,1,NA,0.5,NA,0.5,84.69,1,NA,NA,0.5
2015,1,3,NA,0.625,808.88,1,2.03,0.75,187.5,1,61.77,1,0.6,38.74,0.75
2015,1,4,-9.5,0.75,813.5,1,4.97,1,115.75,1,53.55,1,4.74,97.7,1
2015,1,5,-11.06,1,811.74,1,7.41,1,100.12,1,66.72,1,7.37,99.57,1
2015,1,6,-12.32,1,810.01,1,6.99,0.875,119.25,1,78.42,1,6.92,117.62,0.875
2015,1,7,-11.81,1,812.09,1,12.3,1,107.62,1,83.45,1,12.24,107.96,1
2015,1,8,-11.88,1,804.04,1,NA,0.125,NA,0.25,86.31,1,NA,NA,0.125
2015,1,9,-11.99,1,801.79,1,NA,0.5,NA,0.625,86.56,1,NA,NA,0.5
2015,1,10,NA,0.375,804.1,1,1.66,1,129.62,1,86.22,1,1.42,112.48,1
2015,1,11,NA,0.625,806.71,1,NA,0.5,149.75,1,86.54,1,NA,NA,0.5
2015,1,12,-11.36,0.875,807.84,1,3.75,1,122.62,1,86.11,1,3.52,117.48,1
2015,1,13,NA,0,811.41,1,1.39,1,189.5,1,85.56,1,0.62,202.95,1
2015,1,14,NA,0.125,813.76,1,1.41,1,238,1,83.95,1,0.36,84.04,1
2015,1,15,NA,0.125,817.12,1,1.12,1,164,1,85.11,1,0.35,20.83,1
2015,1,16,NA,0.375,815.08,1,1.95,1,127.75,1,84.03,1,1.48,122.75,1
2015,1,17,NA,0.625,810.54,1,2.74,1,178.38,1,84.56,1,2.41,154.64,1
2015,1,18,NA,0.625,802.5,1,4.28,0.75,115.88,1,76.16,1,3.88,91.29,0.75
2015,1,19,-12.21,1,809.45,1,3.34,1,185.5,1,56.34,1,2.67,178.64,1
2015,1,20,-10.67,0.75,817.29,1,NA,0.25,99.88,1,72.15,1,NA,NA,0.25
2015,1,21,-6.86,1,810.96,1,NA,0.5,180.25,1,40.14,1,NA,NA,0.5
2015,1,22,-8.85,0.75,801.46,1,NA,0.25,121,1,63.1,1,NA,NA,0.25
2015,1,23,-12.47,0.75,805.98,1,NA,0,NA,0.5,86,1,NA,NA,0
2015,1,24,-11.07,1,801.85,1,NA,0.125,NA,0.125,87.05,1,NA,NA,0.125
2015,1,25,-10.97,0.75,811.74,1,NA,0,NA,0,85.9,1,NA,NA,0
2015,1,26,-10.91,1,805.09,1,NA,0.25,NA,0.25,86.19,1,NA,NA,0.25
2015,1,27,NA,0.5,806.29,1,NA,0.625,NA,0.625,87.08,1,NA,NA,0.625
2015,1,28,-10.77,0.75,810.42,1,NA,0,NA,0,86.86,1,NA,NA,0
2015,1,29,NA,0.5,809.94,1,NA,0,NA,0,85.91,1,NA,NA,0
2015,1,30,NA,0.625,801.3,1,NA,0.375,100.25,1,56.06,1,NA,NA,0.375
2015,1,31,-14.8,0.875,805.35,1,3.78,1,133.75,1,83.59,1,2.8,56.22,1
2015,2,1,-15.28,1,803.05,1,NA,0.625,NA,0.625,83.99,1,NA,NA,0.625
2015,2,2,-14.72,0.75,803.05,1,4.9,1,115.5,1,68.54,1,4.86,115.03,1
2015,2,3,NA,0.375,804.32,1,2.07,0.875,186.88,1,50.77,1,1.48,177.67,0.875
2015,2,4,NA,0.625,808.39,1,6.28,0.75,145,1,53.83,1,5.73,104.67,0.75
2015,2,5,NA,0.625,809.91,1,3.7,0.75,143.12,1,44.4,1,3.34,125.61,0.75
2015,2,6,NA,0.625,800.55,1,NA,0.5,114.25,1,39.71,1,NA,NA,0.5
2015,2,7,-16.01,1,798.34,1,11.65,0.75,115.38,1,68.58,1,11.57,112.88,0.75
