Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2010,1,18,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2010,1,19,-10.88,1,856.74,1,5.16,1,139.12,1,85.35,1,0.87,47.25,1
2010,1,20,-11.38,0.75,856.29,1,2.74,1,131.12,1,90.85,1,0.78,139.55,1
2010,1,21,NA,0.375,860.18,1,1.66,1,100.5,1,89.11,1,0.81,76.52,1
2010,1,22,NA,0.625,861.45,1,3.06,1,101.5,1,80.21,1,2.44,70.57,1
2010,1,23,-3.6,1,857.69,1,4.62,1,94.12,1,69.83,1,2.97,23.73,1
2010,1,24,-5.73,0.75,859.01,1,3.58,1,185.88,1,70.8,1,2.01,309.17,1
2010,1,25,-8.91,0.875,860.88,1,4.28,0.75,135.62,1,85.13,1,1.93,90.83,0.75
2010,1,26,-9.53,1,858.93,1,3.5,0.875,104,1,73.02,1,3.21,109.57,0.875
2010,1,27,NA,0.5,859.36,1,2.17,1,158.38,1,87.58,1,0.71,177.98,1
2010,1,28,NA,0.375,864.65,1,1.95,1,87.62,1,84.44,1,1.9,91.45,1
2010,1,29,-9.36,1,867.32,1,3.57,0.75,86,1,89.51,1,3.4,98.27,0.75
2010,1,30,-10.08,1,864.33,1,3.54,1,87,1,90.24,1,3.47,86.96,1
2010,1,31,NA,0.375,862.04,1,2.84,0.875,142.38,1,90.05,1,1.29,211.23,0.875
2010,2,1,NA,0.375,864.03,1,1.5,1,148.88,1,89.87,1,0.74,110.87,1
2010,2,2,NA,0.25,864.89,1,1.56,1,96.38,1,89.1,1,1.23,75.41,1
2010,2,3,NA,0.5,862.09,1,2.41,0.875,202.38,1,83.16,1,1.03,280.97,0.875
2010,2,4,NA,0.5,863.66,1,2.28,0.75,156.5,1,82.58,1,0.68,23.35,0.75
2010,2,5,-12.92,0.75,870.45,1,NA,0.625,NA,0.625,90.18,1,NA,NA,0.625
2010,2,6,-14.35,0.75,868.71,1,NA,0.625,116.71,0.875,87.55,1,NA,NA,0.625
2010,2,7,-9,0.875,861.11,1,NA,0.375,280,1,79.15,1,NA,NA,0.375
2010,2,8,-8.7,1,861.95,1,NA,0.5,223.75,1,71.5,1,NA,NA,0.5
2010,2,9,-12.8,0.875,863.71,1,3.39,1,197.62,1,87.62,1,2.92,201.46,1
