Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,1,14,NA,0,NA,0.125,NA,0,NA,0,NA,0.125,NA,NA,0
2008,1,15,NA,0.5,586.51,1,2.29,1,86.75,1,36.6,1,2.27,83.11,1
2008,1,16,-34.38,0.75,585.39,1,2.81,1,80.5,1,47.76,1,2.77,79.65,1
2008,1,17,-35.14,0.875,583.59,1,3.2,1,38,1,49.98,1,3.08,40.13,1
2008,1,18,NA,0.625,582.99,1,2.38,1,145.12,1,38.23,1,2.23,12.3,1
2008,1,19,NA,0.5,583.25,1,3.34,1,298.25,1,39.41,1,3.2,337.91,1
2008,1,20,NA,0.25,584.69,1,3.52,1,332.5,1,43.05,1,3.36,330.89,1
2008,1,21,-34.85,0.75,584.52,1,3.2,1,339.62,1,39.96,1,3.1,340.68,1
2008,1,22,NA,0.625,583.64,1,5.5,1,307.12,1,50.39,1,5.13,304.32,1
2008,1,23,-36.67,0.75,584.78,1,4.58,1,273.62,1,49.7,1,4.55,273.07,1
2008,1,24,NA,0.375,585.11,1,2.98,1,305,1,43.35,1,2.88,302.02,1
2008,1,25,-38.75,0.75,584.42,1,3.38,1,255.62,1,32.95,1,3.19,255.82,1
2008,1,26,-39.53,0.75,583.9,1,4.38,1,235.25,1,36.06,1,4.32,234.97,1
2008,1,27,NA,0.375,582.55,1,1.71,1,209.5,0.75,29.31,1,1.81,217.42,0.75
2008,1,28,NA,0.25,581.71,1,2.4,1,295.12,1,34.42,1,2.13,272.39,1
2008,1,29,NA,0.5,581.35,1,3.58,1,249.75,1,33.17,1,3.49,252.82,1
2008,1,30,NA,0.5,577.01,1,5.38,1,248.12,1,38.09,1,5.3,248.88,1
2008,1,31,NA,0.625,577,1,3.9,1,249.75,1,36.88,1,3.71,249.92,1
2008,2,1,NA,0.625,578.12,1,3.38,1,251,1,34.95,1,3.06,252.39,1
2008,2,2,-45.22,0.75,577.24,1,5.05,1,259.62,1,35.12,1,4.93,263.08,1
2008,2,3,-41.73,0.75,577.26,1,6.2,1,265.25,1,43.35,1,6.14,264.97,1
2008,2,4,NA,0.5,576.25,1,5.03,1,277.5,1,47.21,1,4.97,277.83,1
2008,2,5,-44.7,0.875,576.19,1,6.3,1,263.62,1,41.81,1,6.17,264.21,1
2008,2,6,-43.6,0.875,580.2,1,7.61,1,260.38,1,44.1,1,7.56,261.11,1
2008,2,7,-41.65,0.75,579.96,1,7.25,1,258.38,1,44.12,1,7.24,258.14,1
2008,2,8,-43.35,0.75,576.09,1,4.91,1,255,1,40.27,1,4.9,254.99,1
2008,2,9,NA,0.625,576.62,1,4.94,1,253.5,1,42.14,1,4.91,253,1
