Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,2,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
2009,2,2,-10.38,0.75,988.41,0.875,3.06,0.875,184.71,0.875,59.31,0.875,2.35,180.86,0.875
2009,2,3,-10.64,0.875,981.61,1,3.55,1,254.88,1,65.64,1,2.76,254.64,1
2009,2,4,NA,0.375,980.46,1,1.85,1,226.25,1,75.54,1,1.45,323.56,1
2009,2,5,NA,0.5,977.78,1,2.06,1,199.38,1,77.51,1,0.66,68.4,1
2009,2,6,-12.76,1,973.93,1,4.85,1,118.75,1,77.16,1,4.8,118.78,1
2009,2,7,-13.53,0.75,973.84,1,3.59,0.875,149.5,1,70.2,1,2.83,130.66,0.875
2009,2,8,NA,0.625,978.23,1,2.37,0.875,211.75,1,71.65,1,0.57,107.91,0.875
2009,2,9,-17.07,0.875,985.45,1,2.37,0.875,238.25,1,80.39,1,2.24,254.87,0.875
2009,2,10,NA,0.25,987.85,1,1.9,1,283.75,1,79.6,1,1.71,282.09,1
2009,2,11,NA,0.25,987.45,1,1.44,1,202.25,1,82.7,1,0.64,117.02,1
2009,2,12,-17.4,0.875,984.47,1,3.36,1,140.75,1,81.65,1,2.86,125.63,1
2009,2,13,-16.72,0.75,979.01,1,2.66,1,183,1,71.7,1,1.79,188.04,1
2009,2,14,NA,0.625,977.07,1,2.06,1,183.88,1,71.79,1,0.72,163.3,1
2009,2,15,NA,0.125,980.78,1,1.49,1,169.62,1,72.68,1,0.87,120.86,1
2009,2,16,NA,0.625,984.1,1,3.22,1,266.12,1,79.5,1,3.17,268.77,1
2009,2,17,NA,0.625,987.91,1,2.26,1,283.38,1,77.28,1,1.96,288.73,1
2009,2,18,NA,0.375,988.49,1,1.26,1,103.38,1,77.23,1,1.07,94.36,1
2009,2,19,NA,0,990.82,1,1.24,1,211.75,1,73.95,1,0.85,211.45,1
2009,2,20,NA,0.375,987.43,1,2.04,1,218.75,1,68.18,1,1.11,299.05,1
2009,2,21,NA,0.375,978.57,1,2.35,1,202.62,1,73.23,1,0.82,259.59,1
2009,2,22,NA,0.5,977.79,1,2.2,1,201.88,1,69.98,1,1.23,145.92,1
2009,2,23,-32.2,1,982.7,1,2.67,0.75,115.88,1,69.34,1,2.53,111.96,0.75
2009,2,24,NA,0.625,972.95,1,2.71,1,161.88,1,69.11,1,2.13,166,1
2009,2,25,NA,0.625,963.34,1,5.99,1,144.25,1,75.09,1,5.41,131.28,1
2009,2,26,-20.3,0.875,970.03,1,8.7,0.75,117.25,1,82.06,1,8.46,117.93,0.75
2009,2,27,-15.85,1,969.64,1,11.25,0.75,118.88,1,82.21,1,11.11,117.84,0.75
2009,2,28,-12.06,1,963.89,1,15.42,0.75,120.5,1,81.89,1,15.27,117.41,0.75
2009,3,1,-14.55,1,971.5,1,9.74,0.875,104.88,1,77.69,1,9.61,106.78,0.875
2009,3,2,-16.64,1,974.71,1,3.38,0.75,142,1,80.39,1,3.14,128.17,0.75
2009,3,3,-14.49,1,969.24,1,4.61,1,200.12,1,84.71,1,3.92,208.42,1
2009,3,4,-18.93,0.75,962.39,1,9.24,1,106.12,1,82.45,1,9.22,106.26,1
2009,3,5,-24.79,0.875,970.54,1,3.33,0.75,253.88,1,77.34,1,3.3,276.51,0.75
2009,3,6,-21.33,0.75,973.93,1,1.45,1,183,1,77.59,1,0.89,199.98,1
2009,3,7,-9.6,0.875,975.34,1,8.05,0.75,117.75,1,86.26,1,7.93,114.16,0.75
2009,3,8,-20.68,0.75,980.63,1,7.11,1,100.5,1,79.69,1,6.79,97.16,1
2009,3,9,-21.76,1,980.38,1,3.91,1,97.5,1,79.8,1,3.83,103.87,1
2009,3,10,-21.2,1,977.03,1,1.41,1,172.62,1,80.83,1,1.06,151.02,1
2009,3,11,NA,0.625,970.66,1,1.39,1,170.25,1,73.25,1,0.77,152.39,1
2009,3,12,-31.3,0.75,962.14,1,3.75,1,152.5,1,74.33,1,1.62,2.49,1
2009,3,13,NA,0.625,969.69,1,5.38,1,120,1,69.38,1,4.81,117.05,1
2009,3,14,NA,0.625,966.44,1,7.72,0.75,158.25,1,71.73,1,5.37,141.67,0.75
2009,3,15,-25.75,0.75,968.38,1,4.9,0.875,152.12,1,74.03,1,4.64,134.79,0.875
2009,3,16,-36.51,0.875,965.23,1,NA,0.25,NA,0.25,66.83,1,NA,NA,0.25
2009,3,17,-39.6,1,972.31,1,3.74,0.875,156.29,0.875,62.31,1,2.38,123.7,0.875
2009,3,18,-37.94,0.875,975.91,1,2.98,1,197.88,1,63.54,1,1.56,208.15,1
2009,3,19,NA,0.5,986.58,1,8.07,0.875,154.88,1,72.23,1,7.22,141.94,0.875
2009,3,20,-20.88,1,989.85,1,7.77,0.875,117.12,1,76.28,1,7.54,114.31,0.875
2009,3,21,-30.23,0.875,984.1,1,2.93,0.875,141.5,1,67.99,1,2.73,135.11,0.875
2009,3,22,-28.46,1,974.79,1,2.96,0.875,252.75,1,73.41,1,1.55,296.96,0.875
2009,3,23,-26.29,1,980.95,1,3.7,1,129.38,1,75.94,1,1.72,107.13,1
2009,3,24,NA,0.375,977.78,1,NA,0.25,101.5,1,85.31,1,NA,NA,0.25
2009,3,25,NA,0.375,979.57,1,7.3,0.75,121.12,1,80.69,1,6.35,105.2,0.75
2009,3,26,-22.45,1,982.53,1,5.82,0.75,119.5,1,80.08,1,5.37,113.06,0.75
2009,3,27,-18.68,1,976.66,1,8.15,0.75,115.5,1,81.91,1,8.08,115.12,0.75
2009,3,28,-16.23,1,975.63,1,12.63,0.875,113.38,1,84.77,1,12.59,113.91,0.875
2009,3,29,-18.14,1,976.64,1,9.71,1,121.12,1,75.64,1,9.52,119.8,1
2009,3,30,-20.86,1,971.99,1,7.79,1,134.75,1,72.2,1,7.16,133.28,1
2009,3,31,-19.36,1,968.75,1,11.66,0.875,105.25,1,79.09,1,11.48,108.02,0.875
2009,4,1,NA,0.375,960.84,1,NA,0.5,101,1,83.79,1,NA,NA,0.5
