Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1985,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1985,1,24,-5.59,0.875,987.91,0.875,5.39,0.875,197,0.875,NA,0,5.25,195.63,0.875
1985,1,25,-6.56,1,987.23,1,4.61,1,211.25,1,NA,0,4.58,211.53,1
1985,1,26,-5.36,1,984.63,1,7.12,1,199,1,NA,0,6.97,196.41,1
1985,1,27,-4.48,1,983.95,1,9.07,1,177.12,1,NA,0,9,176.3,1
1985,1,28,-6.01,1,987.31,1,6.24,1,184.62,1,NA,0,6.14,183.1,1
1985,1,29,-6.33,0.875,989.39,1,4.58,1,202.25,1,NA,0,4.52,202.59,1
1985,1,30,-5.91,0.875,986.82,1,4.42,1,229,1,NA,0,4.15,223.48,1
1985,1,31,-7.63,0.875,981.76,1,2.79,0.875,219.29,0.875,NA,0,2.61,221.2,0.875
1985,2,1,NA,0.625,985.23,1,2.86,0.875,147.38,1,NA,0,2.41,198.96,0.875
1985,2,2,-7.79,0.875,994.74,1,3.08,1,208.5,1,NA,0,2.91,207.18,1
1985,2,3,NA,0.5,996.16,1,NA,0.25,NA,0.25,NA,0,NA,NA,0.25
1985,2,4,NA,0,993.35,1,1.07,1,275.62,1,NA,0,0.83,329.45,1
1985,2,5,NA,0.625,991.63,1,1.91,0.875,153.29,0.875,NA,0,1.76,181.25,0.875
1985,2,6,-13.32,0.75,992.74,1,3.19,0.875,213.29,0.875,NA,0,2.82,208.65,0.875
1985,2,7,NA,0.625,992.86,1,2.04,0.875,270.43,0.875,NA,0,2.01,268.48,0.875
1985,2,8,NA,0.5,991.56,1,2.54,1,245.88,1,NA,0,1.59,224.72,1
1985,2,9,-11.13,0.875,988.84,1,4.42,1,180.88,1,NA,0,4.23,174.67,1
1985,2,10,-12.56,1,981.96,1,3.46,1,211.5,1,NA,0,3.32,208.43,1
1985,2,11,-15.58,1,979.31,1,4.14,1,239.88,1,NA,0,3.93,237.3,1
1985,2,12,NA,0.5,984.56,1,2.29,0.875,295.71,0.875,NA,0,2.1,296.73,0.875
1985,2,13,NA,0.5,986.24,1,2.35,0.75,259.5,0.75,NA,0,2.31,256.21,0.75
1985,2,14,-18.23,0.75,979.69,1,3.66,1,248.88,1,NA,0,3.58,249.01,1
1985,2,15,NA,0.375,979.6,1,2.96,0.875,255.86,0.875,NA,0,2.83,252.02,0.875
1985,2,16,NA,0.25,983.34,1,2.17,1,223.88,1,NA,0,1.79,209.54,1
1985,2,17,-21.15,1,985.79,1,4.28,1,191,1,NA,0,4.2,192.29,1
1985,2,18,NA,0.625,987.94,1,4.36,1,225.88,1,NA,0,4.26,226.99,1
1985,2,19,NA,0.375,991.26,1,2.63,0.875,244.14,0.875,NA,0,2.49,245.38,0.875
1985,2,20,-22.65,1,988.38,1,5.03,0.875,252,1,NA,0,4.66,259.64,0.875
1985,2,21,NA,0.5,988.01,1,3.07,0.875,207.14,0.875,NA,0,2.59,194.6,0.875
1985,2,22,NA,0.625,987.93,1,3.36,1,238.62,1,NA,0,3.04,239.81,1
1985,2,23,NA,0.625,988.29,1,3.84,1,235,1,NA,0,3.5,228.81,1
1985,2,24,NA,0.5,977.24,1,3.21,0.875,296.62,1,NA,0,2.71,285.11,0.875
1985,2,25,NA,0.375,973.93,1,2.05,1,265.12,1,NA,0,1.65,265.79,1
1985,2,26,-26.82,0.75,976.03,0.875,3.27,0.875,263,0.875,NA,0,3.24,262.7,0.875
1985,2,27,NA,0.625,984.36,1,5.33,0.875,289.38,1,NA,0,5.06,292.23,0.875
1985,2,28,-25.22,0.75,989.65,1,3.74,0.875,310.62,1,NA,0,2.63,326.15,0.875
1985,3,1,-27.37,0.875,987.27,0.875,4.44,0.875,297.71,0.875,NA,0,2.95,310.18,0.875
1985,3,2,-24.66,0.875,972.63,1,7.82,0.75,143.75,1,NA,0,4,158.07,0.75
1985,3,3,NA,0.625,985.51,1,11.33,0.75,173.25,1,NA,0,11,180.87,0.75
1985,3,4,-23.97,0.875,987.9,1,NA,0.625,208.57,0.875,NA,0,NA,NA,0.625
1985,3,5,-22.87,0.875,984.74,1,4.86,1,229.5,1,NA,0,4.73,229.77,1
1985,3,6,-25.12,0.75,982.11,1,3.16,1,225,1,NA,0,3.07,225.51,1
1985,3,7,-23.48,0.75,986.81,1,2.37,0.875,225.71,0.875,NA,0,2.15,222.98,0.875
1985,3,8,NA,0.625,986.34,1,1.4,0.875,252.14,0.875,NA,0,1.14,243.18,0.875
1985,3,9,-31.15,1,983.91,1,3.02,0.75,290.5,0.75,NA,0,2.84,284.82,0.75
1985,3,10,NA,0.625,979.1,1,3.26,1,269.5,1,NA,0,2.76,266.53,1
1985,3,11,NA,0.625,977.45,1,4.98,0.75,180.88,1,NA,0,4.7,184.08,0.75
1985,3,12,NA,0.625,975,1,NA,0.625,213.62,1,NA,0,NA,NA,0.625
1985,3,13,-13.91,1,964.55,1,4.18,0.75,170.38,1,NA,0,4.05,167.3,0.75
1985,3,14,-13.56,1,980.51,1,2.88,1,179.12,1,NA,0,2.56,180.86,1
1985,3,15,-13.6,1,984.53,1,8.07,0.875,194.75,1,NA,0,7.5,186.53,0.875
1985,3,16,-17.43,0.875,988.41,1,9.7,0.875,185.12,1,NA,0,9.58,183.61,0.875
1985,3,17,-19.4,1,986.68,1,7.71,1,204.62,1,NA,0,7.62,204.07,1
1985,3,18,-23.29,1,984.07,1,5.36,0.875,219.62,1,NA,0,5.3,217.69,0.875
1985,3,19,-23.51,1,985.82,1,7.34,1,231.25,1,NA,0,7.24,232.22,1
1985,3,20,-20.65,1,991.59,1,6.72,1,237.62,1,NA,0,6.46,241.37,1
1985,3,21,-22.24,1,993.23,1,5.03,0.875,223.25,1,NA,0,4.44,226.15,0.875
1985,3,22,-26.7,0.75,991.83,1,6.57,0.875,250.5,1,NA,0,6.54,251.34,0.875
1985,3,23,-26.8,1,996.1,1,5.66,0.875,241.25,1,NA,0,5.4,246.75,0.875
1985,3,24,-29.19,0.875,987.52,1,6.55,0.75,268.38,1,NA,0,5.65,277.54,0.75
1985,3,25,-33.74,1,979.78,1,5.71,1,296.5,1,NA,0,5.25,298.53,1
1985,3,26,NA,0.25,985.89,1,2.34,1,260.75,1,NA,0,2.13,251.61,1
1985,3,27,NA,0.375,987.96,1,3.48,1,179.25,1,NA,0,2.91,191.16,1
1985,3,28,-36.65,1,987.74,1,4.49,0.875,224.75,1,NA,0,4.27,222.73,0.875
1985,3,29,-25.13,0.75,979.45,1,5.86,1,214.62,1,NA,0,5.83,214.84,1
1985,3,30,-27.45,1,978.89,1,3.33,0.875,249.88,1,NA,0,2.71,261.14,0.875
1985,3,31,-33.58,1,994.75,1,1.89,1,287.25,1,NA,0,1.6,277.8,1
1985,4,1,-34.53,0.875,993.15,1,3.73,0.875,252.86,0.875,NA,0,3.5,297.88,0.875
1985,4,2,-39.03,0.875,985.85,1,5.48,1,226.88,1,NA,0,5.42,224.95,1
1985,4,3,-40.89,0.875,984.45,1,3.48,1,239.38,1,NA,0,3.13,216.93,1
1985,4,4,-44.45,1,989.31,1,3.29,1,330.75,1,NA,0,3.15,333.72,1
1985,4,5,-46.42,0.75,988.24,1,3.36,1,230.25,1,NA,0,3.22,230.39,1
1985,4,6,-40.48,0.75,972.99,1,5.05,1,299,1,NA,0,4.06,292.2,1
1985,4,7,-47.59,0.875,975.69,1,2.2,1,90.88,1,NA,0,2,43.35,1
1985,4,8,-46.32,1,987.26,1,1.41,0.875,247.43,0.875,NA,0,0.98,346.2,0.875
1985,4,9,NA,0.625,989.63,0.875,4.1,0.875,274.29,0.875,NA,0,3.89,275.22,0.875
1985,4,10,NA,0.5,995.44,0.875,5.44,0.875,233.57,0.875,NA,0,4.48,238.58,0.875
1985,4,11,NA,0.625,1004.45,1,1.8,0.875,258.88,1,NA,0,1.19,239.38,0.875
1985,4,12,NA,0.5,989.87,0.75,NA,0.5,255.67,0.75,NA,0,NA,NA,0.5
1985,4,13,NA,0.625,978.19,0.875,2.27,0.75,173.83,0.75,NA,0,1.56,205.5,0.75
1985,4,14,-41.5,0.75,972.7,0.75,2.23,0.75,263.5,0.75,NA,0,1.46,306.27,0.75
1985,4,15,NA,0.625,976.5,0.75,2.33,0.75,237.17,0.75,NA,0,2.3,235.31,0.75
1985,4,16,NA,0.5,985.7,0.75,5.38,0.75,202,0.75,NA,0,4.89,195.4,0.75
1985,4,17,NA,0.5,980.99,1,5.03,0.75,227.17,0.75,NA,0,4.48,213.26,0.75
1985,4,18,NA,0.625,977.5,0.875,NA,0.5,180.57,0.875,NA,0,NA,NA,0.5
1985,4,19,-35.05,0.75,988.8,0.875,4.68,0.75,232.86,0.875,NA,0,4.49,232.82,0.75
1985,4,20,-35.19,0.875,990.83,0.875,4.89,0.875,239.14,0.875,NA,0,4.68,240.78,0.875
1985,4,21,NA,0.25,986.23,1,5.05,0.75,211.88,1,NA,0,4.96,216.14,0.75
1985,4,22,NA,0.375,986.8,0.875,5.23,0.75,160,0.875,NA,0,4.61,153.77,0.75
1985,4,23,-38.99,0.875,989.04,1,NA,0.625,197.67,0.75,NA,0,NA,NA,0.625
1985,4,24,-34.35,0.75,987.1,1,4.03,1,241.75,1,NA,0,3.32,221.2,1
1985,4,25,NA,0.625,982.99,1,6.4,1,227.5,1,NA,0,6.2,228.98,1
1985,4,26,-26.83,0.75,973.65,1,5.59,1,207.75,1,NA,0,5.24,208.22,1
1985,4,27,NA,0.625,977.76,0.875,2.47,0.875,210.57,0.875,NA,0,2.2,210.92,0.875
1985,4,28,NA,0.625,982.02,0.75,2.43,0.75,200.5,0.75,NA,0,2.25,208.64,0.75
1985,4,29,-28.53,0.875,982.44,0.875,1.87,0.75,212.67,0.75,NA,0,1.61,209.02,0.75
1985,4,30,-27.69,1,988.29,1,5.8,1,229.25,1,NA,0,5.58,227.04,1
1985,5,1,-29.1,0.875,991.07,0.875,NA,0.5,201.29,0.875,NA,0,NA,NA,0.5
1985,5,2,NA,0.625,991.22,0.75,4.42,0.75,213.67,0.75,NA,0,4.3,214.69,0.75
1985,5,3,-34.06,0.875,986.67,0.875,5.19,0.875,219.43,0.875,NA,0,5.08,219.4,0.875
1985,5,4,-30.64,1,987.31,1,7.32,1,220.12,1,NA,0,7.23,221.28,1
1985,5,5,-37.43,0.75,986.41,0.875,4.31,0.875,258.14,0.875,NA,0,3.83,252.3,0.875
1985,5,6,NA,0.5,990.51,1,6.37,0.875,254.12,1,NA,0,6.27,256.28,0.875
1985,5,7,-36.18,0.75,991.91,1,3.58,1,230.38,1,NA,0,2.72,313.76,1
1985,5,8,-40.47,0.875,994.04,0.875,4.06,0.875,312.29,0.875,NA,0,3.58,310.06,0.875
1985,5,9,-40.11,1,997.51,1,4.78,1,267.38,1,NA,0,4.54,263.75,1
1985,5,10,-38.24,0.875,996.66,1,7.82,1,297.38,1,NA,0,6.74,296.05,1
1985,5,11,NA,0.375,1004.85,1,6.09,1,269.62,1,NA,0,3.55,276.28,1
1985,5,12,-45.53,1,1009.31,1,4.31,1,196,1,NA,0,4.24,195.51,1
1985,5,13,-48.91,0.875,996.91,1,2.35,1,202,1,NA,0,1.13,304.59,1
1985,5,14,-48.68,0.75,984.62,1,2.2,0.875,282,0.875,NA,0,1.39,288.86,0.875
1985,5,15,NA,0.5,981.2,0.875,NA,0.5,234.33,0.75,NA,0,NA,NA,0.5
1985,5,16,NA,0.375,981.13,0.75,6.47,0.75,235.5,0.75,NA,0,6.36,234.37,0.75
1985,5,17,NA,0.5,982.61,1,7.5,1,220.5,1,NA,0,7.15,217.78,1
1985,5,18,NA,0.625,983.55,1,7.73,0.875,240.38,1,NA,0,7.55,240.38,0.875
1985,5,19,NA,0.5,983.13,0.75,NA,0.5,189.17,0.75,NA,0,NA,NA,0.5
1985,5,20,-27.91,0.875,986.3,0.875,6.46,0.875,209.29,0.875,NA,0,6.09,209.89,0.875
1985,5,21,NA,0.25,986.82,0.75,NA,0.625,171.83,0.75,NA,0,NA,NA,0.625
1985,5,22,-34.03,0.75,982,1,7.47,1,199,1,NA,0,6.88,197.51,1
1985,5,23,-24.75,0.75,979.11,0.875,6.36,0.875,219,0.875,NA,0,5.79,218.6,0.875
1985,5,24,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1985,5,25,NA,0.375,978.08,1,7.9,0.75,170.12,1,NA,0,6.73,173.88,0.75
1985,5,26,-16.21,0.875,957.09,0.875,NA,0.625,184.14,0.875,NA,0,NA,NA,0.625
1985,5,27,NA,0.625,973.65,0.75,5.92,0.75,233.5,0.75,NA,0,5.45,233.63,0.75
1985,5,28,NA,0.625,981.98,0.75,8.2,0.75,249.67,0.75,NA,0,7.95,251.62,0.75
1985,5,29,NA,0.625,NA,0.625,NA,0.625,NA,0.625,NA,0,NA,NA,0.625
1985,5,30,-32.66,1,990.47,1,NA,0.25,254.12,1,NA,0,NA,NA,0.25
1985,5,31,-34.15,0.75,988.66,1,6.21,0.875,262.75,1,NA,0,5.4,266.07,0.875
1985,6,1,-37.96,0.875,987.76,1,5.16,1,255.75,1,NA,0,5.12,256.37,1
1985,6,2,-36.85,0.75,977.28,1,5.46,1,300,1,NA,0,5.1,297.38,1
1985,6,3,-44.12,0.75,985.33,1,2.98,1,268.62,1,NA,0,1.95,301.18,1
1985,6,4,NA,0.625,974.59,0.875,4.9,0.875,330.57,0.875,NA,0,4.59,326.81,0.875
1985,6,5,-44.46,0.875,971.11,1,3.86,1,188.5,1,NA,0,1.95,33.93,1
1985,6,6,-44.66,1,984.61,1,2.22,1,231.25,1,NA,0,1.51,196.62,1
1985,6,7,-43.17,0.75,978.24,0.875,3.58,0.75,76.83,0.75,NA,0,0.5,187.97,0.75
1985,6,8,NA,0.625,977.96,1,7.46,0.875,216.25,1,NA,0,6.46,216.01,0.875
1985,6,9,NA,0.5,979.04,1,14.38,0.75,174.12,1,NA,0,14.36,178.39,0.75
1985,6,10,-16.46,0.875,960.19,1,NA,0.625,193.38,1,NA,0,NA,NA,0.625
1985,6,11,-21.65,1,978.2,1,8.86,1,199,1,NA,0,8.73,199.4,1
1985,6,12,NA,0.625,990.79,1,8.21,1,198.5,1,NA,0,7.65,197.54,1
1985,6,13,-29.53,1,977.11,1,NA,0.625,268.75,1,NA,0,NA,NA,0.625
1985,6,14,-27.89,0.875,974.84,1,6.75,0.75,251.38,1,NA,0,6.05,256.49,0.75
1985,6,15,-31.67,0.75,997.16,1,5.71,1,199.5,1,NA,0,5.53,196.18,1
1985,6,16,-43.55,1,1000.15,1,2.49,0.875,284.86,0.875,NA,0,2.23,276.27,0.875
1985,6,17,-42.93,0.75,994.68,1,2.46,1,235.25,1,NA,0,2.39,232.66,1
1985,6,18,-49.27,0.75,988.85,1,3.19,1,242.62,1,NA,0,3.04,246.62,1
1985,6,19,NA,0.375,979.77,0.875,NA,0.625,242.14,0.875,NA,0,NA,NA,0.625
1985,6,20,NA,0.375,980.86,0.875,NA,0.625,219.57,0.875,NA,0,NA,NA,0.625
1985,6,21,NA,0.25,977.61,1,NA,0.625,164.12,1,NA,0,NA,NA,0.625
1985,6,22,-42.96,0.875,995.99,1,NA,0.625,222.33,0.75,NA,0,NA,NA,0.625
1985,6,23,NA,0.625,985.37,0.875,NA,0.625,257.71,0.875,NA,0,NA,NA,0.625
1985,6,24,NA,0.625,978.85,1,NA,0.625,220.12,1,NA,0,NA,NA,0.625
1985,6,25,NA,0.125,970.61,1,NA,0.625,193.12,1,NA,0,NA,NA,0.625
1985,6,26,NA,0.25,975.63,1,5.81,0.875,197,1,NA,0,4.93,191.09,0.875
1985,6,27,NA,0.375,979.63,1,4.29,1,239.88,1,NA,0,1.83,290.33,1
1985,6,28,-40.76,0.875,986.19,1,2.91,0.875,233.86,0.875,NA,0,1.8,208.8,0.875
1985,6,29,-43.53,1,983.75,1,1.84,0.875,302.71,0.875,NA,0,1.77,296,0.875
1985,6,30,-50.59,1,977.68,1,0.71,0.875,178,0.875,NA,0,0.58,332.23,0.875
1985,7,1,-54.7,1,970.55,1,0.54,0.875,193.43,0.875,NA,0,0.28,267.44,0.875
1985,7,2,-55.22,0.75,970.99,1,NA,0.375,NA,0.25,NA,0,NA,NA,0.25
1985,7,3,-48.32,1,972.82,1,5.47,0.875,189.25,1,NA,0,4.97,174.67,0.875
1985,7,4,-37.54,0.875,958.82,1,NA,0.625,185,1,NA,0,NA,NA,0.625
1985,7,5,-38.1,0.75,966.88,1,8.45,1,183.75,1,NA,0,8.4,184.18,1
1985,7,6,NA,0.625,963.61,0.875,7.73,0.75,246.14,0.875,NA,0,6.1,245.43,0.75
1985,7,7,-40.41,0.875,976.45,1,6.95,0.75,191.43,0.875,NA,0,6.63,181.63,0.75
1985,7,8,-42.11,0.875,965.32,1,2.64,1,267.25,1,NA,0,1.99,310.22,1
1985,7,9,-50.18,0.75,961.55,1,2.11,1,291.25,1,NA,0,1.07,285.31,1
1985,7,10,-40.3,0.75,971.61,1,2.14,1,130,1,NA,0,0.44,112.61,1
1985,7,11,NA,0.5,976.51,1,2.26,1,220.5,1,NA,0,2.07,218.37,1
1985,7,12,-46.3,0.875,970.23,1,1.05,0.75,175.83,0.75,NA,0,0.49,229.31,0.75
1985,7,13,-44.08,0.75,965.59,1,4.42,1,333.12,1,NA,0,4.39,333.18,1
1985,7,14,NA,0.25,973.64,1,2.37,0.75,254.71,0.875,NA,0,1.77,249.96,0.75
1985,7,15,NA,0.375,983.16,1,6.14,0.875,267.88,1,NA,0,4.18,253.41,0.875
1985,7,16,-50.16,0.875,975.69,1,NA,0.625,160,1,NA,0,NA,NA,0.625
1985,7,17,NA,0.625,972.08,1,2.21,1,140,1,NA,0,0.59,353.59,1
1985,7,18,NA,0.625,968.28,1,2.5,0.75,223.38,1,NA,0,2.06,240.62,0.75
1985,7,19,-56.1,0.75,969.39,1,3.13,0.75,237.29,0.875,NA,0,1.78,224.23,0.75
1985,7,20,-57.63,0.875,980.09,1,2.9,0.875,248.43,0.875,NA,0,1.45,288.81,0.875
1985,7,21,-50.2,0.875,981.93,1,3.16,0.875,315.14,0.875,NA,0,2.48,316.66,0.875
1985,7,22,-54.32,0.75,982.91,0.875,2.3,0.875,224.29,0.875,NA,0,1.97,252.55,0.875
1985,7,23,NA,0.25,NA,0.25,NA,0.125,NA,0.125,NA,0,NA,NA,0.125
1985,7,24,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0,NA,NA,0.5
1985,7,25,-57.75,0.75,963.1,0.875,5.76,0.875,261.29,0.875,NA,0,4.93,248.34,0.875
1985,7,26,NA,0.625,973.51,1,3.22,1,233.88,1,NA,0,2.85,227.35,1
1985,7,27,-57.5,0.75,971.93,1,2.01,0.875,249.14,0.875,NA,0,1.68,242.19,0.875
