Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1987,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,25,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,26,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,27,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,28,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,29,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,30,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,1,31,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1987,2,1,-2.58,1,994.74,1,NA,0.125,197.5,1,49.25,1,NA,NA,0.125
1987,2,2,-5.61,0.875,998.43,0.875,NA,0.25,210,0.875,43.86,0.875,NA,NA,0.25
1987,2,3,-5.7,0.75,1002,0.875,3,0.75,210,0.875,71.43,0.875,2.37,7.3,0.75
1987,2,4,-5.64,1,1002.38,1,NA,0.5,216.25,1,66.13,1,NA,NA,0.5
1987,2,5,-7.27,0.875,1003.85,1,NA,0.125,181.25,1,62,1,NA,NA,0.125
