Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2014,10,5,NA,0.25,NA,0.375,NA,0.25,NA,0.375,NA,0.375,NA,NA,0.25
2014,10,6,7.36,0.875,1010.57,1,NA,0.625,231.12,1,77.15,1,NA,NA,0.625
2014,10,7,8.24,1,1002.35,1,NA,0.5,189,1,79.68,1,NA,NA,0.5
2014,10,8,2.38,1,993.1,1,3.17,0.875,205.25,1,85.86,1,0.54,153.74,0.875
2014,10,9,1.83,1,989.26,1,NA,0.5,239.88,1,71.39,1,NA,NA,0.5
2014,10,10,3.25,1,987.16,1,NA,0.25,234.88,1,79.96,1,NA,NA,0.25
2014,10,11,2.88,1,983.59,1,2.31,0.875,256.12,1,65.5,1,1.82,259.89,0.875
2014,10,12,2.74,1,976.98,1,NA,0.625,213,1,77.15,1,NA,NA,0.625
2014,10,13,0.74,1,985.37,1,NA,0.625,222.75,1,60.04,1,NA,NA,0.625
2014,10,14,1.36,1,967.26,1,3.2,0.875,168.71,0.875,79.05,1,1.45,55.92,0.875
2014,10,15,-0.95,1,974.86,1,NA,0.5,190,1,83.04,1,NA,NA,0.5
2014,10,16,0.5,1,988.38,1,NA,0.25,290.33,0.75,78.21,1,NA,NA,0.25
2014,10,17,2.01,1,989.03,1,NA,0.625,191.5,1,82.86,1,NA,NA,0.625
2014,10,18,1,0.875,983.93,1,2.85,1,231.75,1,82.51,1,2.39,220.83,1
2014,10,19,-1.35,1,986.29,1,NA,0.5,199.12,1,77.59,1,NA,NA,0.5
2014,10,20,-2.38,1,995.71,1,NA,0.25,126.71,0.875,79.14,1,NA,NA,0.25
2014,10,21,-2.5,1,1006.62,1,4.66,0.875,154.12,1,67.84,1,4.5,126.17,0.875
2014,10,22,-1.48,1,999.74,1,1.46,1,228.5,1,65.83,1,0.69,287.08,1
2014,10,23,2.05,1,982.54,1,NA,0.5,235.88,1,68.56,1,NA,NA,0.5
2014,10,24,2,0.875,971.4,1,NA,0.5,249.38,1,73.28,1,NA,NA,0.5
2014,10,25,-0.33,1,962.63,1,NA,0.375,146.12,1,72.04,1,NA,NA,0.375
2014,10,26,1.76,1,976.29,1,NA,0.375,203,1,73.29,1,NA,NA,0.375
2014,10,27,0.91,1,982.32,1,NA,0.625,206,1,68.66,1,NA,NA,0.625
2014,10,28,4.04,1,991.56,1,6.16,0.875,289.38,1,79.36,1,4.31,292.6,0.875
2014,10,29,7.54,1,981.86,1,NA,0.25,232.75,1,72.28,1,NA,NA,0.25
2014,10,30,NA,0.5,966.46,1,3.64,1,182.5,1,80.76,1,1.57,157.2,1
2014,10,31,-1.33,0.875,981.68,1,2.12,0.75,167.25,1,78.35,1,0.87,170.11,0.75
2014,11,1,-1.11,1,990.05,1,2.65,1,145.38,1,67.04,1,0.52,322.48,1
2014,11,2,0.3,1,983.73,1,NA,0.625,NA,0.625,84.87,1,NA,NA,0.625
2014,11,3,2.38,1,992.98,1,NA,0.5,212.71,0.875,78.63,1,NA,NA,0.5
2014,11,4,4.15,1,989.83,1,6.03,0.875,201,1,76.99,1,4,193.21,0.875
2014,11,5,2.6,1,986.14,1,5.45,0.75,204,1,73,1,3.79,224.52,0.75
2014,11,6,2.41,1,997.86,1,3.73,0.75,162.38,1,64.95,1,2.33,283.92,0.75
2014,11,7,10.58,1,990.5,1,NA,0.375,217.5,1,55.11,1,NA,NA,0.375
2014,11,8,7.63,0.75,983.21,1,2,0.75,195.5,1,76.95,1,1.39,162.17,0.75
2014,11,9,1.26,1,974.58,1,1.99,1,207.88,1,88.74,1,0.35,211.69,1
2014,11,10,0.34,1,989.69,1,2.65,1,197.25,1,86.05,1,0.92,230.44,1
2014,11,11,1.77,0.875,997.04,1,1.64,1,231.88,1,80.1,1,0.8,256.67,1
2014,11,12,4.55,1,998.69,1,NA,0.625,230,1,56.38,1,NA,NA,0.625
2014,11,13,4.18,0.75,986.23,1,4.76,0.875,204,1,68.41,1,2.55,169.23,0.875
2014,11,14,4.45,1,977.23,1,3.12,0.75,178.38,1,77.05,1,1.35,232.05,0.75
2014,11,15,2.36,0.875,966.83,1,NA,0.5,184.43,0.875,78.74,1,NA,NA,0.5
2014,11,16,1.69,1,987.19,1,NA,0.5,210.25,1,71.35,1,NA,NA,0.5
2014,11,17,3.66,0.875,986.26,1,5.03,1,212.62,1,70.16,1,2.15,241.17,1
2014,11,18,5.86,0.875,985.65,1,2.52,1,179.25,1,73.91,1,1.03,214.76,1
2014,11,19,7.02,0.75,989.71,1,NA,0.625,235.38,1,61.58,1,NA,NA,0.625
2014,11,20,2.1,0.875,999.45,1,NA,0.625,216.62,1,64.86,1,NA,NA,0.625
2014,11,21,5.09,0.875,993.18,1,NA,0.625,231.75,1,67.02,1,NA,NA,0.625
2014,11,22,5.99,1,989.61,1,5.38,1,227.88,1,71.51,1,2.25,213.89,1
2014,11,23,2.57,1,991.73,1,2.9,1,171.25,1,74.48,1,2.12,170.54,1
2014,11,24,1.14,1,989.25,1,1.86,1,155.5,1,82.41,1,0.93,140.22,1
2014,11,25,1.78,1,975.49,1,NA,0.625,168,1,79.1,1,NA,NA,0.625
2014,11,26,1.06,1,979.7,1,2.36,1,212.75,1,77.53,1,0.66,291.55,1
2014,11,27,-0.03,1,985.99,1,NA,0.375,137.75,1,76.58,1,NA,NA,0.375
2014,11,28,0.16,1,1008.26,1,2.12,0.75,142.75,1,64.82,1,1.58,145.02,0.75
2014,11,29,3.09,1,1006.8,1,2.02,1,134.88,1,61.55,1,0.91,134.16,1
2014,11,30,5.17,0.875,980.06,0.875,1.67,0.875,225.86,0.875,78.91,1,0.86,225.68,0.875
2014,12,1,3.27,0.75,979.82,1,NA,0.5,205.75,1,77.2,1,NA,NA,0.5
2014,12,2,1.19,0.875,976.91,1,4.06,1,186.12,1,74.34,1,0.79,122.67,1
2014,12,3,2.53,0.75,976.41,1,NA,0.5,221.75,1,70.62,1,NA,NA,0.5
2014,12,4,0.2,0.75,979.73,1,3.03,0.75,193.88,1,70.09,1,0.22,334.33,0.75
2014,12,5,0.85,1,991.04,1,4.44,1,220.12,1,62.26,1,2.58,296.76,1
2014,12,6,NA,0.5,980.6,1,3.29,0.875,164.38,1,74.25,1,1.95,192.39,0.875
