Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1997,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1997,1,18,-5.5,0.75,887.62,0.75,5.75,0.75,348.83,0.75,71.5,0.75,5.68,349.81,0.75
1997,1,19,-5.89,1,888.06,1,5.47,1,338,1,71.5,1,5.15,339.59,1
1997,1,20,-5.56,1,884.5,1,4.12,1,338.38,1,77,1,3.8,340.53,1
1997,1,21,-4.96,1,879.29,1,4.39,1,290.25,1,88.29,0.875,4.01,287.43,1
1997,1,22,-6.11,1,881.46,1,3.69,1,307.25,1,82.5,1,3.28,305.74,1
1997,1,23,-6.63,0.875,884,1,3.5,1,290.38,1,86.62,1,3.33,287.28,1
1997,1,24,NA,0.625,880.06,1,4.56,1,303.62,1,77.88,1,4.04,305.78,1
1997,1,25,-11.14,1,873.69,1,3.75,1,281.25,1,83.88,1,3.24,329.44,1
