Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2009,12,22,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,0.125,NA,NA,0.125
2009,12,23,-6.09,1,858.86,1,12,0.875,78.38,1,76.6,1,11.89,39.2,0.875
2009,12,24,-6.7,1,861.04,1,7.37,0.75,36,1,74.47,1,7.21,33.54,0.75
2009,12,25,-7.87,0.875,862.28,1,11.56,0.875,48.62,1,75.25,1,11.46,50.58,0.875
2009,12,26,-7.34,1,863.59,1,15.91,0.875,43.5,1,77.55,1,15.72,45.46,0.875
2009,12,27,-8.74,1,867.72,1,5.07,0.875,27.62,1,68.83,1,4.99,29.97,0.875
2009,12,28,-8.14,1,869.99,1,3.28,0.75,77.88,1,78.44,1,3.27,5.14,0.75
2009,12,29,-8.09,0.875,869.94,1,5.13,0.875,93.5,1,90.29,1,4.96,10.09,0.875
2009,12,30,-7.17,0.875,870.55,1,3.49,0.875,292.75,1,90.24,1,2.64,292.52,0.875
2009,12,31,-9.49,0.875,869.42,1,4.68,0.75,206.62,1,80.25,1,0.54,5.02,0.75
2010,1,1,-9.2,1,866.16,1,7.3,1,18.62,1,75.96,1,7.04,10.01,1
2010,1,2,-8.49,1,863.91,1,12.04,1,12.88,1,90.8,1,12.01,12.8,1
2010,1,3,-7.65,1,868.68,1,8.5,0.75,108.71,0.875,91.33,1,7.85,15.43,0.75
2010,1,4,-8.28,1,868.21,1,NA,0.25,NA,0.625,88.72,1,NA,NA,0.25
2010,1,5,-7.47,1,868.8,1,13.03,0.875,42.75,1,78.31,1,12.96,42.59,0.875
2010,1,6,-8.63,0.875,873.6,1,10.17,0.75,29.25,1,70.58,1,10.03,40.14,0.75
2010,1,7,-6.9,0.875,875.52,1,3.66,1,38,1,68.71,1,3.45,15.52,1
2010,1,8,-5.53,0.875,875.68,1,4,0.75,45.5,1,63.88,1,3.86,46.47,0.75
2010,1,9,-6.48,0.75,875.61,1,4.59,1,22.38,1,57.35,1,4.32,27.19,1
2010,1,10,-8.25,1,874.57,1,5.06,1,93.88,1,71.26,1,4.98,4.88,1
