Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
2008,12,9,-24.16,0.875,728.43,0.875,9.7,0.875,233.43,0.875,75.27,0.875,9.66,233.73,0.875
2008,12,10,-23.13,1,730.03,1,9.54,0.875,223.62,1,75,1,9.47,226.44,0.875
2008,12,11,-22.55,1,729.8,1,10.3,0.875,228.88,1,80.07,1,10.27,224.71,0.875
2008,12,12,-21.02,0.75,733.57,1,NA,0.625,190.62,1,80.39,1,NA,NA,0.625
2008,12,13,-21.93,1,736.98,1,8.55,1,235.12,1,77.57,1,8.49,233.96,1
2008,12,14,-22.24,0.875,735.09,1,10.01,0.875,230.12,1,82.25,1,9.9,228.57,0.875
2008,12,15,-21.1,0.875,736.06,1,4.48,0.75,146.88,1,82.46,1,2.23,234.9,0.75
2008,12,16,-20.66,1,736.21,1,7.62,1,228.75,1,80.89,1,7.54,227.74,1
2008,12,17,-20.17,1,738.19,1,9.81,0.875,223.75,1,82.15,1,9.81,223.25,0.875
2008,12,18,-19.93,1,743.55,1,9.01,1,227.75,1,84.04,1,8.9,227.82,1
2008,12,19,-20.45,1,744.73,1,8.01,0.875,224,1,83.91,1,8,223.48,0.875
2008,12,20,-20.14,1,741.52,1,7.38,1,225.62,1,83.21,1,7.34,225.05,1
2008,12,21,-20.29,1,740.14,1,NA,0.5,220.38,1,84.65,1,NA,NA,0.5
2008,12,22,-19.68,1,742.15,1,5.68,1,227.75,1,79.5,1,5.57,228.68,1
2008,12,23,NA,0.625,745.28,1,NA,0.625,158.38,1,74.46,1,NA,NA,0.625
2008,12,24,-18.35,1,749.7,1,7.38,1,223.88,1,72.79,1,7.22,224.35,1
2008,12,25,-16.24,1,751.54,1,7.4,1,213.38,1,57.68,1,7.18,211.8,1
2008,12,26,-13.13,1,753.16,1,8.84,1,203.5,1,55.4,1,8.45,202.11,1
2008,12,27,-15.71,1,750.19,1,NA,0.625,237.38,1,72.86,1,NA,NA,0.625
2008,12,28,-17.98,1,747.79,1,6.66,0.875,277.88,1,70.45,1,5.95,279.93,0.875
2008,12,29,-19.39,1,744.23,1,NA,0.625,258.12,1,80.39,1,NA,NA,0.625
2008,12,30,-19.43,1,741.2,1,NA,0.625,228.88,1,84.09,1,NA,NA,0.625
2008,12,31,NA,0.625,743.54,1,3.82,1,200.62,1,75.74,1,3.55,228.63,1
2009,1,1,-17.37,0.875,745.71,1,5.96,1,220.5,1,75.91,1,5.91,224.17,1
2009,1,2,-16.35,1,740.57,1,5.72,1,159.5,1,84.18,1,3.89,236.58,1
2009,1,3,-17.23,0.75,742.43,1,3.29,1,189,1,86.1,1,2.23,210.27,1
2009,1,4,-17.28,0.75,741.48,1,3.86,1,174.25,1,80.68,1,1.44,266.68,1
2009,1,5,-18.76,0.875,735.53,1,8.6,0.75,211.25,1,85.7,1,8.56,222.11,0.75
2009,1,6,-16.92,1,740.78,1,5.94,1,208.12,1,86.66,1,5.82,208.79,1
2009,1,7,-14.59,1,746.03,1,7.5,1,196,1,89.04,1,7.31,194.17,1
2009,1,8,-16.27,0.875,744.82,1,6.46,0.875,251.12,1,88.53,1,5.99,239.28,0.875
2009,1,9,-16.83,0.875,737.51,1,NA,0.625,154.62,1,87.31,1,NA,NA,0.625
2009,1,10,-16.89,0.875,737.58,1,3.53,0.75,118.57,0.875,88.34,1,3.31,23.34,0.75
2009,1,11,NA,0.625,737.18,1,4.02,0.75,181,1,86.27,1,3.01,239.13,0.75
2009,1,12,-19.89,0.875,736.08,1,NA,0.5,222.5,1,86.21,1,NA,NA,0.5
2009,1,13,NA,0.375,738.11,1,1.9,1,223,1,86.6,1,1.52,218.38,1
2009,1,14,-20.39,1,736.56,1,6.57,0.875,239.88,1,85.44,1,6.47,236.41,0.875
2009,1,15,-21.81,0.875,732.86,1,4.11,0.875,248,1,83.63,1,3.77,250.73,0.875
2009,1,16,-21.61,0.875,734.05,1,4.64,1,198.5,1,85.56,1,4.55,194.63,1
2009,1,17,-21.13,1,735.79,1,7.08,1,220.75,1,85.83,1,6.94,221.46,1
2009,1,18,-23.28,1,733.31,1,9.78,0.75,237,1,84.25,1,9.71,234,0.75
2009,1,19,-22.5,1,734.9,1,7.41,1,248.88,1,81.56,1,7.23,247.25,1
2009,1,20,-24.12,1,742.04,1,8.04,0.875,227,1,78.14,1,7.99,224.28,0.875
2009,1,21,-24.23,1,741.43,1,10.41,1,233.12,1,82.09,1,10.4,233.12,1
2009,1,22,-21.92,1,732.24,1,NA,0.625,268.5,1,83.76,1,NA,NA,0.625
2009,1,23,-21.21,1,733.5,1,7.47,0.75,192.38,1,85.31,1,6.35,240.24,0.75
2009,1,24,-20.9,0.875,737.85,1,6.75,1,226.12,1,80.31,1,6.5,235.78,1
2009,1,25,-22.7,1,735.24,1,10.75,1,228.12,1,82.61,1,10.63,227.71,1
2009,1,26,-24.43,1,733.93,1,11.89,0.875,224.88,1,84.09,1,11.85,224.71,0.875
2009,1,27,-23.57,0.75,735.49,1,NA,0.5,215.75,1,84.41,1,NA,NA,0.5
2009,1,28,-23.85,1,733.59,1,8.82,0.75,252.62,1,83.56,1,8.47,231.68,0.75
2009,1,29,-22.43,0.875,730.76,1,8.94,0.875,202,1,84.38,1,8.89,228.85,0.875
2009,1,30,-20.78,0.75,735.65,1,3.42,0.75,131.88,1,84.85,1,0.49,16.18,0.75
2009,1,31,-21.77,0.75,742.21,1,3.11,1,216,1,80.29,1,1.34,301.35,1
2009,2,1,-22.88,0.75,744.18,1,8.64,1,243,1,77.74,1,8.35,231.41,1
2009,2,2,-22.45,1,747.38,1,9.55,1,233.75,1,63.56,1,9.5,233.73,1
2009,2,3,-21.3,0.875,746.56,1,11.64,0.875,244.5,1,61.3,1,11.63,244.02,0.875
2009,2,4,-24.54,1,742.52,1,12.54,0.875,232.12,1,70.86,1,12.51,232.44,0.875
2009,2,5,-26.37,1,738.63,1,15.28,1,224.88,1,79.49,1,15.17,224.11,1
2009,2,6,-25.51,0.875,732.63,1,10.63,0.75,153.62,1,73.5,1,7.1,238.37,0.75
2009,2,7,-24.97,0.75,733.81,1,4.94,1,228.25,1,80.14,1,3.99,351.32,1
