Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1998,12,1,NA,0.5,NA,0,NA,0.5,194.71,0.875,72,0.75,NA,NA,0.5
1998,12,2,-12.82,0.75,NA,0,NA,0.625,237.75,1,70.13,1,NA,NA,0.625
1998,12,3,NA,0.5,NA,0,NA,0.5,261.5,1,57,1,NA,NA,0.5
1998,12,4,NA,0.375,NA,0,2.45,1,193.12,1,67.38,1,1.87,170.69,1
1998,12,5,-3.98,0.75,NA,0,4.02,0.75,268.25,1,72.25,1,3.79,324.02,0.75
1998,12,6,-3,1,NA,0,7,1,316.12,1,86.25,1,6.88,317.46,1
1998,12,7,NA,0.5,NA,0,3.04,0.875,175.5,1,73.13,1,1.39,146.11,0.875
1998,12,8,-7.73,0.875,NA,0,3.69,1,171.88,1,70.88,1,2.36,169.89,1
1998,12,9,NA,0.375,NA,0,2.11,1,129.75,1,72.14,0.875,1.42,24.66,1
1998,12,10,NA,0.5,NA,0,3.06,1,165.38,1,81.75,1,0.41,39.29,1
1998,12,11,-8.77,0.75,NA,0,4.94,1,154.12,1,74.38,1,4.74,162.51,1
1998,12,12,NA,0.25,NA,0,1.2,1,135.75,1,65.75,1,1,22.55,1
1998,12,13,NA,0.625,NA,0,4,0.875,133.29,0.875,83.71,0.875,1.08,3.1,0.875
1998,12,14,NA,0.125,NA,0,1.9,1,140.5,1,58.38,1,0.67,136.55,1
1998,12,15,-8.2,1,NA,0,8,0.875,180.5,1,84,0.75,7.75,184.02,0.875
1998,12,16,-7.65,1,NA,0,6.01,0.875,189.62,1,85.63,1,5.92,189.83,0.875
1998,12,17,NA,0.25,NA,0,1.23,1,213.75,1,57.5,1,0.72,153.9,1
1998,12,18,-6.57,0.75,NA,0,3.16,1,NA,0.625,71.5,1,NA,NA,0.625
1998,12,19,NA,0.25,NA,0,1.41,1,194.62,1,62.88,1,0.93,41.3,1
1998,12,20,NA,0.125,NA,0,2.19,1,NA,0.625,68.38,1,NA,NA,0.625
1998,12,21,NA,0.5,NA,0,NA,0.5,173.75,1,80,0.75,NA,NA,0.5
1998,12,22,-3.18,0.75,NA,0,3.53,0.875,292,1,67.63,1,3.1,328.84,0.875
1998,12,23,NA,0.5,NA,0,2.02,1,198.38,1,46,1,0.82,264.32,1
1998,12,24,NA,0.375,NA,0,2.78,1,146.88,1,52.29,0.875,0.46,82.79,1
1998,12,25,-5.53,0.875,NA,0,NA,0.375,224.38,1,81.29,0.875,NA,NA,0.375
1998,12,26,NA,0.375,NA,0,2.5,0.75,211.75,1,60.38,1,1.05,189.74,0.75
1998,12,27,NA,0.5,NA,0,2.45,1,159.5,1,82,1,1.04,150.08,1
1998,12,28,-3.22,0.75,NA,0,2.52,1,260.5,1,72,1,1.29,0.31,1
1998,12,29,NA,0.125,NA,0,1.57,1,98.5,1,71.75,1,1.47,90.75,1
1998,12,30,NA,0.625,NA,0,2.17,1,130.88,1,76.25,1,1.4,142.61,1
1998,12,31,-7,0.875,NA,0,2.89,1,66.38,1,91.88,1,2.75,19.74,1
