Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1982,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1982,1,23,NA,0.625,963.43,0.75,3.47,0.75,260.17,0.75,NA,0,2.52,305.29,0.75
1982,1,24,-6.29,0.875,957.49,0.875,NA,0.5,222,0.875,NA,0,NA,NA,0.5
1982,1,25,-4.58,0.75,957.45,1,2.83,0.75,148.25,1,NA,0,2.26,74.66,0.75
1982,1,26,-3.74,1,961.91,1,4.18,1,108,1,NA,0,3.86,16.21,1
1982,1,27,-4.76,1,960.89,1,5.98,0.75,258.25,1,NA,0,5.87,356.97,0.75
1982,1,28,-6.68,0.75,960.18,1,5.23,0.875,151.5,1,NA,0,4.97,158.8,0.875
1982,1,29,-7.01,0.875,964.93,0.875,NA,0.625,178.14,0.875,NA,0,NA,NA,0.625
1982,1,30,-5.89,1,962.76,1,NA,0.625,205.25,1,NA,0,NA,NA,0.625
1982,1,31,-4.79,0.875,961.56,1,NA,0.375,235.25,1,NA,0,NA,NA,0.375
1982,2,1,-4.62,0.75,957.78,1,NA,0.625,139.62,1,NA,0,NA,NA,0.625
1982,2,2,-6.75,1,958.89,1,4.23,0.875,290.38,1,NA,0,4.16,288.82,0.875
1982,2,3,NA,0.625,959.96,1,2.7,0.75,288.88,1,NA,0,2.62,283.52,0.75
1982,2,4,NA,0.125,962.49,1,1.8,1,219.62,1,NA,0,1.28,227.34,1
1982,2,5,-3.45,0.75,965.62,1,2.39,0.875,108.5,1,NA,0,1.93,102.81,0.875
1982,2,6,-3.43,0.75,963.55,1,NA,0.375,214.38,1,NA,0,NA,NA,0.375
1982,2,7,-3.21,0.875,959.58,1,NA,0.625,157.5,1,NA,0,NA,NA,0.625
1982,2,8,-6.71,1,956.88,1,13.22,0.75,168.62,1,NA,0,13.03,164.8,0.75
1982,2,9,-6.42,1,956.4,1,NA,0.375,179.5,1,NA,0,NA,NA,0.375
1982,2,10,-6.74,1,957.72,1,13.08,0.75,167.12,1,NA,0,12.97,167.09,0.75
1982,2,11,-7.38,0.75,964.17,0.75,5.65,0.75,158.17,0.75,NA,0,5.56,158.01,0.75
1982,2,12,-7.37,0.75,964.01,0.875,NA,0.125,152.29,0.875,NA,0,NA,NA,0.125
1982,2,13,-8.24,0.875,960.81,1,NA,0.125,280.5,1,NA,0,NA,NA,0.125
1982,2,14,-7.98,0.75,958.34,1,NA,0.625,277.75,1,NA,0,NA,NA,0.625
1982,2,15,-7.22,0.75,961.58,1,2.93,0.75,215.38,1,NA,0,1.02,241.25,0.75
1982,2,16,-9.19,1,961.65,1,NA,0.625,197.38,1,NA,0,NA,NA,0.625
1982,2,17,-9.85,1,955.29,1,NA,0.625,297.5,1,NA,0,NA,NA,0.625
1982,2,18,-7.72,1,947.86,1,NA,0.625,152,1,NA,0,NA,NA,0.625
1982,2,19,-6.7,1,948.68,1,6.3,0.75,180.38,1,NA,0,1.87,298.45,0.75
1982,2,20,-8.53,1,952.85,1,6.53,0.75,160.38,1,NA,0,2.14,2.54,0.75
1982,2,21,-8.33,0.875,952.18,1,NA,0.625,140.12,1,NA,0,NA,NA,0.625
1982,2,22,-7.35,1,947.11,1,8.93,0.875,129,1,NA,0,7.66,139.67,0.875
1982,2,23,-9.76,1,951.6,1,NA,0.25,259.62,1,NA,0,NA,NA,0.25
1982,2,24,-10.63,0.875,948.31,1,NA,0.5,259.5,1,NA,0,NA,NA,0.5
1982,2,25,-11.81,1,953.51,1,6.12,0.75,285.62,1,NA,0,6.06,285.59,0.75
1982,2,26,-11.87,0.875,956.44,1,NA,0.375,289,1,NA,0,NA,NA,0.375
1982,2,27,-12.09,1,957.09,1,NA,0.5,246.88,1,NA,0,NA,NA,0.5
1982,2,28,-11.89,0.875,953.35,1,3.47,0.875,246.38,1,NA,0,2.79,293.16,0.875
1982,3,1,-13.66,0.875,953.37,0.875,6.77,0.875,123.71,0.875,NA,0,6.62,123.54,0.875
1982,3,2,-11.39,1,955.62,1,9.57,0.875,96.75,1,NA,0,9.45,93.75,0.875
1982,3,3,-12.56,1,949.95,1,5.98,0.75,155.25,1,NA,0,4.38,89,0.75
1982,3,4,-14.64,1,938.66,1,NA,0.375,228.25,1,NA,0,NA,NA,0.375
1982,3,5,-11.41,1,937.61,1,NA,0.5,119.5,1,NA,0,NA,NA,0.5
1982,3,6,-11.1,1,940.2,1,NA,0.625,80.12,1,NA,0,NA,NA,0.625
1982,3,7,-16.1,0.75,937.52,1,5.68,0.75,259.88,1,NA,0,3.27,282.17,0.75
1982,3,8,-16.85,1,939.5,1,NA,0.625,224.5,1,NA,0,NA,NA,0.625
1982,3,9,-15.97,1,945.72,1,NA,0.25,291.88,1,NA,0,NA,NA,0.25
1982,3,10,-17.54,1,945.29,1,NA,0.625,291,1,NA,0,NA,NA,0.625
1982,3,11,-16.11,1,944.25,1,7.12,0.75,218.5,1,NA,0,5.28,266.01,0.75
1982,3,12,-14.81,1,946.59,1,NA,0.5,269.12,1,NA,0,NA,NA,0.5
1982,3,13,-16.58,1,945.78,1,4.8,0.875,261,1,NA,0,3.58,282.17,0.875
1982,3,14,-14.54,1,943.05,1,3.92,0.75,146.38,1,NA,0,3.11,8.01,0.75
1982,3,15,-14.83,0.875,933.2,1,NA,0.5,261.12,1,NA,0,NA,NA,0.5
1982,3,16,-16.95,1,944.14,1,NA,0.25,151.88,1,NA,0,NA,NA,0.25
1982,3,17,-19.96,1,954.6,1,6.64,1,122.12,1,NA,0,6.47,121.49,1
1982,3,18,-21.58,1,961.4,1,5.28,1,116.25,1,NA,0,4.99,117.8,1
1982,3,19,-20.64,1,958.08,1,NA,0.25,229.88,1,NA,0,NA,NA,0.25
1982,3,20,-21.71,1,954.72,1,NA,0.625,188.12,1,NA,0,NA,NA,0.625
1982,3,21,-18.24,1,956.38,1,NA,0.5,171.5,1,NA,0,NA,NA,0.5
1982,3,22,-20.34,1,959.32,1,NA,0.5,200.25,1,NA,0,NA,NA,0.5
1982,3,23,-16.84,0.875,945.6,1,4.17,0.75,303.5,1,NA,0,4.11,301.58,0.75
1982,3,24,-17.92,1,937.25,1,NA,0.625,173.62,1,NA,0,NA,NA,0.625
1982,3,25,-20.05,1,940.85,1,NA,0.5,196.62,1,NA,0,NA,NA,0.5
1982,3,26,-20.32,1,933.34,1,4.06,0.875,259.75,1,NA,0,2.81,349.19,0.875
1982,3,27,-21.15,1,936.34,1,3.91,0.875,181.12,1,NA,0,2.09,181.38,0.875
1982,3,28,-23.79,1,944.6,1,NA,0.625,130.75,1,NA,0,NA,NA,0.625
1982,3,29,-21.5,1,945.46,1,2.12,0.75,255.12,1,NA,0,2.07,255.17,0.75
1982,3,30,-20.64,1,948.38,1,NA,0.625,167.5,1,NA,0,NA,NA,0.625
1982,3,31,-21.61,1,953.44,1,NA,0.5,186.88,1,NA,0,NA,NA,0.5
1982,4,1,-22.73,0.875,953.06,0.875,NA,0.5,152.43,0.875,NA,0,NA,NA,0.5
1982,4,2,-24.93,0.75,951.7,1,1.6,0.875,287.12,1,NA,0,1.48,325.34,0.875
1982,4,3,-26.16,1,956.54,1,NA,0.625,219.75,1,NA,0,NA,NA,0.625
1982,4,4,-25.75,0.75,958.2,1,NA,0.375,205.25,1,NA,0,NA,NA,0.375
1982,4,5,-23.94,1,954.56,1,NA,0.625,167.5,1,NA,0,NA,NA,0.625
1982,4,6,-25.24,1,951.76,1,NA,0.625,167.75,1,NA,0,NA,NA,0.625
1982,4,7,-26.19,1,954.1,1,NA,0.375,255.88,1,NA,0,NA,NA,0.375
1982,4,8,-27.73,1,951.75,1,NA,0.25,235.25,1,NA,0,NA,NA,0.25
1982,4,9,-30.02,1,941.09,1,5.34,0.875,202.25,1,NA,0,3.3,314.26,0.875
1982,4,10,-27.49,1,923.3,1,NA,0.5,179.75,1,NA,0,NA,NA,0.5
1982,4,11,-29.01,1,929.44,1,5.47,0.75,225.12,1,NA,0,4.95,232.27,0.75
1982,4,12,-25.04,1,937.3,1,3.35,0.75,162.5,1,NA,0,2.91,161.11,0.75
1982,4,13,-25.41,1,946.24,1,3.68,1,285.62,1,NA,0,3.6,284.12,1
1982,4,14,-20.88,1,947.32,1,4.06,0.875,252.25,1,NA,0,3.45,284.13,0.875
1982,4,15,-19.92,1,952.24,1,4.88,1,194.12,1,NA,0,2.47,359.18,1
1982,4,16,-21.36,1,952.62,1,NA,0.625,177.12,1,NA,0,NA,NA,0.625
1982,4,17,-14.41,1,937.5,1,9.57,0.75,218.25,1,NA,0,9.22,281.64,0.75
1982,4,18,-15.72,0.75,943.82,1,NA,0.625,225.88,1,NA,0,NA,NA,0.625
1982,4,19,-17.8,1,953.49,1,3.25,0.75,236.88,1,NA,0,2.51,327.13,0.75
1982,4,20,-19.82,1,958.45,1,NA,0.5,187.62,1,NA,0,NA,NA,0.5
1982,4,21,-21.19,1,951.59,1,4.44,1,256.88,1,NA,0,2.27,282.97,1
1982,4,22,-21.08,1,957.28,1,5.31,1,145.75,1,NA,0,4.27,137.46,1
1982,4,23,-25.61,1,956.62,1,2.36,0.875,62.12,1,NA,0,1.85,67.12,0.875
1982,4,24,-29.15,1,953.32,1,4.63,0.75,214.25,1,NA,0,3.29,207.52,0.75
1982,4,25,-29.12,1,952.48,1,3.3,0.75,280.25,1,NA,0,2.68,298.62,0.75
1982,4,26,-29.18,1,952.18,1,3.16,1,192.88,1,NA,0,2.36,331.26,1
1982,4,27,-27.15,1,950.76,1,1.8,1,169.25,1,NA,0,1.29,335.29,1
1982,4,28,-25.66,1,945.71,1,2.32,0.75,202,1,NA,0,0.51,288.13,0.75
1982,4,29,-23.59,1,939.64,1,4.52,1,302.25,1,NA,0,4.39,302.82,1
1982,4,30,-18.35,1,940.26,1,NA,0.625,207.25,1,NA,0,NA,NA,0.625
1982,5,1,-23.89,0.875,947.02,1,NA,0.5,190.5,1,NA,0,NA,NA,0.5
1982,5,2,-26.92,1,952.45,1,2.14,0.875,209.25,1,NA,0,1.22,302.04,0.875
1982,5,3,-22.05,1,941.76,1,NA,0.625,314.38,1,NA,0,NA,NA,0.625
1982,5,4,-18.63,0.875,929.55,1,NA,0.375,199.5,1,NA,0,NA,NA,0.375
1982,5,5,-23.81,1,937.51,1,5.88,0.75,200.62,1,NA,0,0.72,229.89,0.75
1982,5,6,-26.61,1,941.52,1,3.38,0.75,106.5,1,NA,0,2.85,52.37,0.75
1982,5,7,-24.08,1,936.48,1,3.54,0.875,119.25,1,NA,0,1.18,43.75,0.875
1982,5,8,-23.85,1,940.56,1,3.26,0.875,195.88,1,NA,0,0.4,54.29,0.875
1982,5,9,-21.01,1,940.24,1,5.89,0.875,271,1,NA,0,4.1,270.16,0.875
1982,5,10,-21.12,0.75,951.32,1,NA,0.625,89,1,NA,0,NA,NA,0.625
1982,5,11,-21.32,1,959.29,1,3.49,1,130.38,1,NA,0,2.93,40.95,1
1982,5,12,-24.49,1,957.46,1,4.14,1,284.25,1,NA,0,3.79,285.15,1
1982,5,13,-25.58,1,960.2,1,2.08,0.75,190.25,1,NA,0,1.53,174.5,0.75
1982,5,14,-27.79,1,966.1,1,3.59,1,122.88,1,NA,0,3.42,126.39,1
1982,5,15,-31.34,1,963.28,1,NA,0.25,145.88,1,NA,0,NA,NA,0.25
1982,5,16,-30.79,1,957.41,1,NA,0.5,155.25,1,NA,0,NA,NA,0.5
1982,5,17,-28.14,1,962.59,1,NA,0.5,161.25,1,NA,0,NA,NA,0.5
1982,5,18,-28.27,1,970.08,1,1.88,1,220,1,NA,0,1.72,220,1
1982,5,19,-23.22,0.75,959.82,1,NA,0.625,300.62,1,NA,0,NA,NA,0.625
1982,5,20,NA,0.625,947.18,1,4.42,0.75,279,1,NA,0,3.83,298.88,0.75
1982,5,21,-19.92,1,951.96,1,NA,0.375,283,1,NA,0,NA,NA,0.375
1982,5,22,-18.82,1,957.1,1,NA,0.5,302,1,NA,0,NA,NA,0.5
