Year,Month,Day,Temperature(¡æ),wt_T,Pressure(hPa),wt_P,Wind Speed(m/s),wt_WS,Wind Direction,wt_WD,Relative Humidity(%),wt_RH,Vector Wind Speed(m/s),Vector Wind Direction(¡ã),wt_V
1992,1,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,4,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,8,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,11,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,12,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,13,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,14,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,15,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,16,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,17,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,18,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,19,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,20,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,21,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,22,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,23,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,24,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0
1992,1,25,NA,0.5,986.43,0.75,3.62,0.75,266.83,0.75,72,0.75,3.46,255.12,0.75
1992,1,26,NA,0.625,990.59,1,2.89,0.875,279.71,0.875,64.62,1,2.79,274.42,0.875
1992,1,27,NA,0.625,993.09,1,3.67,1,237.38,1,63.25,1,3.23,263.42,1
1992,1,28,NA,0.375,991.75,1,2.34,1,299.62,1,62.38,1,2.04,295.71,1
1992,1,29,NA,0.5,986.39,1,2.28,0.75,312,0.875,74.75,1,2.21,305.92,0.75
1992,1,30,-9.62,1,990.16,1,4.19,0.875,297,0.875,69.12,1,2.94,299.08,0.875
1992,1,31,-10.54,0.875,996.55,1,3.85,1,243.5,1,59.62,1,2.62,264.02,1
1992,2,1,NA,0.375,998.82,1,4.04,1,298.25,1,60.62,1,4,299.26,1
1992,2,2,NA,0.5,997.85,1,2.66,1,299.62,1,61.88,1,2.62,297.93,1
1992,2,3,NA,0.5,997.1,1,2.25,1,324.75,1,68,1,1.92,326.99,1
1992,2,4,NA,0.375,1002.14,1,2.11,1,303.5,1,61.62,1,2.01,306.03,1
1992,2,5,NA,0.375,999.59,1,2.56,1,292.12,1,54.75,1,2.43,294.52,1
1992,2,6,NA,0,994.54,1,1.3,1,265.12,1,38.75,1,1.13,345.12,1
1992,2,7,NA,0.25,984.14,1,2.17,1,243.38,1,39.62,1,1.5,330.41,1
1992,2,8,NA,0.5,980.58,1,2.21,1,240,1,45.5,1,1.64,23.39,1
1992,2,9,-6.2,0.75,983.58,1,3.03,0.75,226.29,0.875,64.38,1,2.25,210.4,0.75
1992,2,10,-7.28,0.75,985.82,1,4.3,1,260.38,1,63.75,1,2.98,220.62,1
1992,2,11,-10.67,0.75,982.95,1,3.15,1,312.62,1,58.25,1,3.06,313.28,1
1992,2,12,-10.2,1,996.34,1,6.73,0.875,236.62,1,66.25,1,6.58,232.43,0.875
1992,2,13,-10.75,0.75,1008.64,1,4.6,1,275.12,1,67,1,4,267.63,1
1992,2,14,-13.5,1,1009.19,1,3.5,1,309.5,1,58.62,1,3.33,310.54,1
1992,2,15,-14.06,1,1002.78,1,3.61,1,284.62,1,53.25,1,3.49,284.3,1
1992,2,16,NA,0.375,1009.49,1,1.51,1,304,1,62.75,1,1.29,304.22,1
1992,2,17,-12.51,1,1017.56,1,3.51,0.875,304.88,1,59,1,3.4,305.06,0.875
1992,2,18,NA,0.5,1005.68,1,4.05,0.75,292.25,1,59.38,1,3.97,300.15,0.75
1992,2,19,NA,0.625,1002.6,1,3.41,0.875,300.71,0.875,61.38,1,3.27,297.47,0.875
1992,2,20,NA,0.5,999.99,1,3.31,0.875,204.43,0.875,54.5,1,3.15,3.85,0.875
1992,2,21,-9.72,0.75,1001.02,1,3,1,269.25,1,55.5,1,2.34,310.81,1
1992,2,22,-13.19,0.875,1005.62,1,4.4,1,287.25,1,50.75,1,3.97,289.31,1
1992,2,23,-14.24,0.875,1011,1,3.78,1,302.25,1,51.25,1,3.71,305.6,1
1992,2,24,-15.21,1,1012.76,1,3.5,1,295,1,57.88,1,3.25,300.23,1
1992,2,25,-17.84,0.875,1012.29,1,4.88,1,284.75,1,60,1,4.58,289.8,1
1992,2,26,-19.21,1,1006.7,1,3.91,1,287.12,1,53.38,1,3.75,286.66,1
1992,2,27,NA,0.375,1012.14,1,1.61,1,276.12,1,50.5,1,1.3,277.86,1
1992,2,28,NA,0.625,1009.01,1,NA,0.625,295.43,0.875,59.5,1,NA,NA,0.625
1992,2,29,-21.02,1,1008.44,1,6.6,1,291.88,1,48.25,1,6.56,292.03,1
1992,3,1,-22.81,1,1000.21,1,5.66,1,288.5,1,43.5,1,5.57,287.08,1
1992,3,2,-24.5,0.75,996.35,1,3.76,0.875,253.5,1,45.62,1,3.06,295.9,0.875
1992,3,3,-20.56,1,994.16,1,NA,0.625,251.62,1,32.38,1,NA,NA,0.625
1992,3,4,-15.5,0.875,987.39,1,1.7,1,159,1,35.5,1,1.02,350.92,1
1992,3,5,-7.99,1,978.58,1,NA,0.25,196,1,68.38,1,NA,NA,0.25
1992,3,6,-5.94,1,976.34,1,12.23,0.75,177.12,1,86.38,1,12.21,172.34,0.75
1992,3,7,-6.9,1,985.31,1,NA,0.5,210,1,82.62,1,NA,NA,0.5
1992,3,8,-11.94,1,990.64,1,5.13,0.875,269.12,1,70,1,3.51,284.79,0.875
1992,3,9,-20.36,0.875,985.81,1,7.4,1,295,1,57.5,1,7.17,293.72,1
1992,3,10,-21.09,0.875,990.92,1,5.16,0.875,219.12,1,53.62,1,3.55,263.86,0.875
1992,3,11,-18.18,1,996.45,1,4.64,1,283.75,1,47.12,1,4.54,284.51,1
1992,3,12,-20.84,1,989.56,1,4.75,1,302.12,1,49.25,1,4.42,298.33,1
1992,3,13,-22.76,0.875,980.01,1,3.29,1,318.5,1,49.88,1,3.19,321.63,1
1992,3,14,-17.29,0.875,982.14,1,1.74,0.875,280.86,0.875,60.25,1,1.11,308.17,0.875
1992,3,15,-14.57,0.875,989.02,1,3.33,0.75,259.88,1,73,1,2.49,242.74,0.75
1992,3,16,-15.93,1,1004.59,1,NA,0.625,285.62,1,71.62,1,NA,NA,0.625
1992,3,17,-18.85,1,1007.36,1,3.82,0.75,260.5,1,67.25,1,3.58,272.04,0.75
1992,3,18,-25.12,1,1005.28,1,6.55,1,315.5,1,56.88,1,6.46,316.58,1
1992,3,19,-28.63,0.75,1002.36,1,4.24,1,335,1,53.38,1,4.14,334.72,1
1992,3,20,-25.04,0.875,999.41,1,1.81,0.875,296,0.875,51.75,1,1.73,294.48,0.875
1992,3,21,NA,0.625,987.74,1,NA,0.625,270.43,0.875,72.12,1,NA,NA,0.625
1992,3,22,-12.59,1,983.19,1,NA,0.625,200.75,1,71,1,NA,NA,0.625
1992,3,23,-13.05,1,974.35,1,4.61,1,238.38,1,70.75,1,3.52,213.19,1
1992,3,24,-13.85,0.75,981.01,1,NA,0.5,174.83,0.75,70.25,1,NA,NA,0.5
1992,3,25,-14.75,1,990.54,1,NA,0.625,235.14,0.875,74.25,1,NA,NA,0.625
1992,3,26,-17.86,1,1005.11,1,4.76,1,302.25,1,65.38,1,4.71,302.6,1
1992,3,27,-21.19,1,1006.98,1,3.36,1,280,1,59.75,1,3.28,279.83,1
1992,3,28,-22.84,1,1006.18,1,3.05,1,288,1,66,1,2.98,297.19,1
1992,3,29,-26.11,1,1004.72,1,6.54,1,306.75,1,57,1,6.52,306.3,1
1992,3,30,-26.72,0.75,1001.54,1,4.21,1,307.5,1,55,1,3.64,309.08,1
1992,3,31,-32.85,0.75,996.2,1,6.37,0.75,213,1,47.62,1,5.79,280.32,0.75
1992,4,1,NA,0.625,998.05,0.75,NA,0.625,NA,0.625,60.43,0.875,NA,NA,0.625
1992,4,2,NA,0.625,997.1,1,NA,0.5,NA,0.5,52.25,1,NA,NA,0.5
1992,4,3,-24.43,0.75,989.06,1,3.83,0.875,162,0.875,59.25,1,2.79,141.02,0.875
1992,4,4,-22.43,0.75,988.01,1,5.17,0.75,259,1,64.38,1,3.14,250.42,0.75
1992,4,5,NA,0.25,992.51,1,3.28,0.75,269.14,0.875,62.25,1,2.06,313.85,0.75
1992,4,6,-21.15,0.75,993.12,1,2.77,0.875,281.43,0.875,57.25,1,1.89,294.59,0.875
1992,4,7,-16.65,0.75,996.85,1,NA,0.625,NA,0.625,60.88,1,NA,NA,0.625
1992,4,8,-22.29,0.875,994.6,1,2.81,1,293.5,1,64.5,1,1.86,305.59,1
1992,4,9,-28.08,1,991.51,1,3.39,1,338.12,1,54.88,1,3.31,338.55,1
1992,4,10,NA,0.375,986.75,1,4.12,1,306.5,1,48.12,1,3.45,300.82,1
1992,4,11,NA,0.625,974.88,1,2.56,1,293.38,1,48.75,1,2.02,293.83,1
1992,4,12,NA,0.5,979.21,1,NA,0.5,231,0.75,56.38,1,NA,NA,0.5
1992,4,13,NA,0.625,977.68,1,NA,0.5,NA,0.5,52.38,1,NA,NA,0.5
1992,4,14,NA,0.125,NA,0.375,NA,0,NA,0,80.62,1,NA,NA,0
1992,4,15,-27.99,0.875,991.68,1,NA,0.25,NA,0.25,59.5,1,NA,NA,0.25
1992,4,16,NA,0.5,992.98,1,2.76,1,285.88,1,59.5,1,0.97,282.54,1
1992,4,17,-29.79,0.875,981.02,1,2.7,0.875,286.86,0.875,56,1,2.25,281.83,0.875
1992,4,18,NA,0.25,NA,0.5,NA,0.25,NA,0.25,76.12,1,NA,NA,0.25
1992,4,19,NA,0.5,1006.81,1,3.27,0.75,316.67,0.75,52.5,1,3.15,314.39,0.75
1992,4,20,-30.41,0.875,1002.48,1,2.53,0.875,306.25,1,56.25,1,2.46,300.76,0.875
1992,4,21,NA,0.5,991.82,1,NA,0.375,NA,0.375,55.5,1,NA,NA,0.375
1992,4,22,NA,0.625,979.85,1,1.92,0.75,302.83,0.75,49.12,1,1.78,304.24,0.75
1992,4,23,NA,0,NA,0,NA,0,NA,0,96.62,1,NA,NA,0
1992,4,24,NA,0.625,993.91,1,NA,0.125,NA,0.125,56.62,1,NA,NA,0.125
1992,4,25,NA,0.5,NA,0.625,NA,0.5,NA,0.5,66,1,NA,NA,0.5
1992,4,26,NA,0.5,992.66,0.875,NA,0,NA,0,66.38,1,NA,NA,0
1992,4,27,-33.75,0.75,995.44,1,NA,0,NA,0,52.5,1,NA,NA,0
1992,4,28,NA,0.5,996.4,1,NA,0,NA,0,59.25,1,NA,NA,0
1992,4,29,NA,0.25,997.09,1,NA,0.5,NA,0.5,55.38,1,NA,NA,0.5
1992,4,30,-20.07,0.875,1001.2,1,4.71,1,290.88,1,60.75,1,3.54,307.02,1
1992,5,1,-26.75,0.75,1010.68,1,3.41,0.875,284.75,1,58.25,1,2.79,299.35,0.875
1992,5,2,-34.97,0.875,999.32,1,3.1,0.875,278.14,0.875,49.88,1,2.92,323.42,0.875
1992,5,3,NA,0.625,984.34,1,NA,0.625,NA,0.625,52.5,1,NA,NA,0.625
1992,5,4,-24.78,0.75,988.18,1,NA,0.25,NA,0.25,61.75,1,NA,NA,0.25
1992,5,5,-21.95,1,1002.48,1,NA,0.5,NA,0.625,66,1,NA,NA,0.5
1992,5,6,NA,0.625,1007.51,1,NA,0,NA,0,62.88,1,NA,NA,0
1992,5,7,-25.31,0.875,1009.3,1,NA,0,NA,0,61.62,1,NA,NA,0
1992,5,8,NA,0.5,1005.82,1,NA,0,NA,0,57.38,1,NA,NA,0
1992,5,9,NA,0.5,997.27,0.875,NA,0,NA,0,64.12,1,NA,NA,0
1992,5,10,NA,0.375,NA,0.375,NA,0,NA,0,81,1,NA,NA,0
